Day,Timepoint,Mouse,ABX,Hormone,Group_Total,Group_Time_Total,Fat_percentage,Lean_mass_percentage,Free_water_percentage,Total_water_percentage
D-3,Baseline,501,Non_ABX,Saline,Non_ABX_Saline,Non_ABX_Saline_Baseline,3.22,14.82,0.28,13.39
D5,Endpoint,501,Non_ABX,Saline,Non_ABX_Saline,Non_ABX_Saline_Endpoint,3.76,14.66,0.08,12.96
D-3,Baseline,502,Non_ABX,Saline,Non_ABX_Saline,Non_ABX_Saline_Baseline,1.81,14.95,0.24,13.59
D5,Endpoint,502,Non_ABX,Saline,Non_ABX_Saline,Non_ABX_Saline_Endpoint,1.48,16.43,0.05,14.86
D-3,Baseline,503,Non_ABX,Saline,Non_ABX_Saline,Non_ABX_Saline_Baseline,1.70,15.04,0.27,13.60
D5,Endpoint,503,Non_ABX,Saline,Non_ABX_Saline,Non_ABX_Saline_Endpoint,1.82,16.31,0.68,15.27
D-3,Baseline,504,Non_ABX,Saline,Non_ABX_Saline,Non_ABX_Saline_Baseline,2.30,15.61,0.08,14.12
D5,Endpoint,504,Non_ABX,Saline,Non_ABX_Saline,Non_ABX_Saline_Endpoint,2.43,16.21,0.33,14.78
D-3,Baseline,505,Non_ABX,Saline,Non_ABX_Saline,Non_ABX_Saline_Baseline,1.91,16.34,0.16,14.52
D5,Endpoint,505,Non_ABX,Saline,Non_ABX_Saline,Non_ABX_Saline_Endpoint,1.36,17.05,0.22,15.54
D-3,Baseline,506,Non_ABX,Saline,Non_ABX_Saline,Non_ABX_Saline_Baseline,1.17,16.93,0.25,15.74
D5,Endpoint,506,Non_ABX,Saline,Non_ABX_Saline,Non_ABX_Saline_Endpoint,1.65,17.06,0.14,15.84
D-3,Baseline,511,ABX,Saline,ABX_Saline,ABX_Saline_Baseline,2.48,14.47,0.05,12.84
D5,Endpoint,511,ABX,Saline,ABX_Saline,ABX_Saline_Endpoint,2.50,15.03,0.00,13.28
D-3,Baseline,512,ABX,Saline,ABX_Saline,ABX_Saline_Baseline,1.63,15.43,0.00,14.00
D5,Endpoint,512,ABX,Saline,ABX_Saline,ABX_Saline_Endpoint,2.30,15.53,0.01,13.98
