Date,Time,Day,Mouse,Hormone,Antibiotics,Full_Group,Old_food_weight,New_food_weight,Food_consumption_g,Total food consumption,Notes
9/10/24,4:00 PM,D-2,501,Saline,Non_ABX,Saline_Non_ABX,0,94.4,,0,
9/11/24,10:00 AM,D-1,501,Saline,Non_ABX,Saline_Non_ABX,89.1,0,5.3,5.3,
9/11/24,6:00 PM,D-1,501,Saline,Non_ABX,Saline_Non_ABX,0,162.3,0,5.3,food added
9/12/24,9:30 AM,D0,501,Saline,Non_ABX,Saline_Non_ABX,156.9,156.9,5.4,10.7,
9/13/24,8:15 AM,D2,501,Saline,Non_ABX,Saline_Non_ABX,153.1,153.1,3.8,14.5,
9/14/24,10:30 AM,D3,501,Saline,Non_ABX,Saline_Non_ABX,148.6,148.6,4.5,19,
9/15/24,11:00 AM,D4,501,Saline,Non_ABX,Saline_Non_ABX,144.7,144.7,3.9,22.9,
9/16/24,8:30 AM,D5,501,Saline,Non_ABX,Saline_Non_ABX,140.7,140.7,4,26.9,
9/17/24,10:00 AM,D6,501,Saline,Non_ABX,Saline_Non_ABX,137,0,3.7,30.6,
9/17/24,7:15 PM,D6,501,Saline,Non_ABX,Saline_Non_ABX,0,85.8,0,30.6,
9/18/24,8:00 AM,D7,501,Saline,Non_ABX,Saline_Non_ABX,81.2,0,4.6,35.2,
9/18/24,4:00 PM,D7,501,Saline,Non_ABX,Saline_Non_ABX,0,146.6,0,35.2,
9/19/24,1:30 PM,D8,501,Saline,Non_ABX,Saline_Non_ABX,142.3,142.3,4.3,39.5,fixed typo of 142 as 192
9/10/24,4:00 PM,D-2,502,Saline,Non_ABX,Saline_Non_ABX,0,64.7,,0,
9/11/24,7:00 AM,D-1,502,Saline,Non_ABX,Saline_Non_ABX,61,0,3.7,3.7,
9/11/24,3:00 PM,D-1,502,Saline,Non_ABX,Saline_Non_ABX,0,187.8,0,3.7,
9/12/24,9:30 AM,D0,502,Saline,Non_ABX,Saline_Non_ABX,171.6,171.6,3.7,7.4,food must be mismeasured. Checked sheets. Going to assume same actual food consumption as day before over a similar time frame
9/13/24,8:15 AM,D2,502,Saline,Non_ABX,Saline_Non_ABX,163.6,163.6,8,15.4,
9/14/24,10:30 AM,D3,502,Saline,Non_ABX,Saline_Non_ABX,157.9,157.9,5.7,21.1,
9/15/24,11:00 AM,D4,502,Saline,Non_ABX,Saline_Non_ABX,154,154,3.9,25,
9/16/24,8:30 AM,D5,502,Saline,Non_ABX,Saline_Non_ABX,149.2,149.2,4.8,29.8,
9/17/24,7:15 AM,D6,502,Saline,Non_ABX,Saline_Non_ABX,144.5,0,4.7,34.5,
9/17/24,4:15 PM,D6,502,Saline,Non_ABX,Saline_Non_ABX,0,79.5,0,34.5,
9/18/24,10:30 AM,D7,502,Saline,Non_ABX,Saline_Non_ABX,76,0,3.5,38,
9/18/24,6:30 PM,D7,502,Saline,Non_ABX,Saline_Non_ABX,0,143.1,0,38,
9/19/24,1:30 PM,D8,502,Saline,Non_ABX,Saline_Non_ABX,139,139,4.1,42.1,
9/10/24,4:00 PM,D-2,503,Saline,Non_ABX,Saline_Non_ABX,0,73.4,,0,
9/11/24,10:00 AM,D-1,503,Saline,Non_ABX,Saline_Non_ABX,70.1,0,3.3,3.3,
9/11/24,6:00 PM,D-1,503,Saline,Non_ABX,Saline_Non_ABX,0,171.2,0,3.3,
9/12/24,9:30 AM,D0,503,Saline,Non_ABX,Saline_Non_ABX,163.7,163.7,7.5,10.8,
9/13/24,8:15 AM,D2,503,Saline,Non_ABX,Saline_Non_ABX,155.6,155.6,8.1,18.9,
9/14/24,10:30 AM,D3,503,Saline,Non_ABX,Saline_Non_ABX,149,149,6.6,25.5,
9/15/24,11:00 AM,D4,503,Saline,Non_ABX,Saline_Non_ABX,143.6,143.6,5.4,30.9,
9/16/24,8:30 AM,D5,503,Saline,Non_ABX,Saline_Non_ABX,139.7,139.7,3.9,34.8,
9/17/24,10:00 AM,D6,503,Saline,Non_ABX,Saline_Non_ABX,135.4,0,4.3,39.1,
9/17/24,7:15 PM,D6,503,Saline,Non_ABX,Saline_Non_ABX,0,74,0,39.1,
9/18/24,10:30 AM,D7,503,Saline,Non_ABX,Saline_Non_ABX,69.3,0,4.7,43.8,
9/18/24,6:30 PM,D7,503,Saline,Non_ABX,Saline_Non_ABX,0,146.1,0,43.8,
9/19/24,1:30 PM,D8,503,Saline,Non_ABX,Saline_Non_ABX,141.1,141.1,5,48.8,
9/10/24,7:00 PM,D-2,504,Saline,Non_ABX,Saline_Non_ABX,0,101.4,,0,
9/11/24,7:00 AM,D-1,504,Saline,Non_ABX,Saline_Non_ABX,96.3,0,5.1,5.1,
9/11/24,3:00 PM,D-1,504,Saline,Non_ABX,Saline_Non_ABX,0,171.4,0,5.1,
9/12/24,9:30 AM,D0,504,Saline,Non_ABX,Saline_Non_ABX,163.9,163.9,7.5,12.6,
9/13/24,8:15 AM,D2,504,Saline,Non_ABX,Saline_Non_ABX,157.4,157.4,6.5,19.1,
9/14/24,10:30 AM,D3,504,Saline,Non_ABX,Saline_Non_ABX,150.5,150.5,6.9,26,
9/15/24,11:00 AM,D4,504,Saline,Non_ABX,Saline_Non_ABX,142.7,142.7,7.8,33.8,
9/16/24,8:30 AM,D5,504,Saline,Non_ABX,Saline_Non_ABX,134.1,134.1,8.6,42.4,
9/17/24,7:15 AM,D6,504,Saline,Non_ABX,Saline_Non_ABX,129.8,0,4.3,46.7,
9/17/24,4:15 PM,D6,504,Saline,Non_ABX,Saline_Non_ABX,0,73.8,0,46.7,
9/18/24,8:00 AM,D7,504,Saline,Non_ABX,Saline_Non_ABX,67.4,0,6.4,53.1,
9/18/24,4:00 PM,D7,504,Saline,Non_ABX,Saline_Non_ABX,0,144.2,0,53.1,
9/19/24,1:30 PM,D8,504,Saline,Non_ABX,Saline_Non_ABX,136.8,136.8,7.4,60.5,
9/10/24,7:00 PM,D-2,505,Saline,Non_ABX,Saline_Non_ABX,0,97.1,,0,
9/11/24,10:00 AM,D-1,505,Saline,Non_ABX,Saline_Non_ABX,92.3,0,4.8,4.8,
9/11/24,6:00 PM,D-1,505,Saline,Non_ABX,Saline_Non_ABX,0,170.9,0,4.8,
9/12/24,9:30 AM,D0,505,Saline,Non_ABX,Saline_Non_ABX,165.5,165.5,5.4,10.2,
9/13/24,8:15 AM,D2,505,Saline,Non_ABX,Saline_Non_ABX,161.9,161.9,3.6,13.8,
9/14/24,10:30 AM,D3,505,Saline,Non_ABX,Saline_Non_ABX,152.5,152.5,9.4,23.2,
9/15/24,11:00 AM,D4,505,Saline,Non_ABX,Saline_Non_ABX,142.3,142.3,10.2,33.4,this could be legit given the consumption on other days?
9/16/24,8:30 AM,D5,505,Saline,Non_ABX,Saline_Non_ABX,132.4,132.4,9.9,43.3,
9/17/24,7:15 AM,D6,505,Saline,Non_ABX,Saline_Non_ABX,129.4,0,3,46.3,
9/17/24,4:15 PM,D6,505,Saline,Non_ABX,Saline_Non_ABX,0,73.3,0,46.3,
9/18/24,10:30 AM,D7,505,Saline,Non_ABX,Saline_Non_ABX,69.4,0,3.9,50.2,
9/18/24,6:30 PM,D7,505,Saline,Non_ABX,Saline_Non_ABX,0,145.6,0,50.2,
9/19/24,1:30 PM,D8,505,Saline,Non_ABX,Saline_Non_ABX,136.3,136.3,9.3,59.5,
9/10/24,7:00 PM,D-2,506,Saline,Non_ABX,Saline_Non_ABX,0,93.7,,0,
9/11/24,7:00 AM,D-1,506,Saline,Non_ABX,Saline_Non_ABX,89.6,0,4.1,4.1,
9/11/24,3:00 PM,D-1,506,Saline,Non_ABX,Saline_Non_ABX,0,162.1,0,4.1,
9/12/24,9:30 AM,D0,506,Saline,Non_ABX,Saline_Non_ABX,154,154,8.1,12.2,
9/13/24,8:15 AM,D2,506,Saline,Non_ABX,Saline_Non_ABX,149.7,149.7,4.3,16.5,
9/14/24,10:30 AM,D3,506,Saline,Non_ABX,Saline_Non_ABX,144.8,144.8,4.9,21.4,
9/15/24,11:00 AM,D4,506,Saline,Non_ABX,Saline_Non_ABX,140.6,140.6,4.2,25.6,
9/16/24,8:30 AM,D5,506,Saline,Non_ABX,Saline_Non_ABX,136.4,136.4,4.2,29.8,
9/17/24,10:00 AM,D6,506,Saline,Non_ABX,Saline_Non_ABX,132.1,0,4.3,34.1,
9/17/24,7:15 PM,D6,506,Saline,Non_ABX,Saline_Non_ABX,0,78,0,34.1,
9/18/24,8:00 AM,D7,506,Saline,Non_ABX,Saline_Non_ABX,73.2,0,4.8,38.9,
9/18/24,4:00 PM,D7,506,Saline,Non_ABX,Saline_Non_ABX,0,147.3,0,38.9,
9/19/24,1:30 PM,D8,506,Saline,Non_ABX,Saline_Non_ABX,142.4,142.4,4.9,43.8,
9/13/24,4:00 PM,D-2,511,Saline,ABX,Saline_ABX,0,170.7,,0,
9/14/24,10:00 AM,D-1,511,Saline,ABX,Saline_ABX,165.9,0,4.8,4.8,
9/14/24,6:00 PM,D-1,511,Saline,ABX,Saline_ABX,0,138.7,0,4.8,
9/15/24,10:00 AM,D0,511,Saline,ABX,Saline_ABX,133.8,133.8,4.9,9.7,
9/16/24,9:30 AM,D2,511,Saline,ABX,Saline_ABX,129.5,129.5,4.3,14,
9/17/24,8:00 AM,D3 ,511,Saline,ABX,Saline_ABX,124.8,124.8,4.7,18.7,
