Date,Time,Day,Mouse,Hormone,Antibiotics,Full_Group,Weight_g
9/10/24,1:00 PM,D-2,501,Saline,Non_ABX,Saline_Non_ABX,19.6
9/11/24,12:00 PM,D-1,501,Saline,Non_ABX,Saline_Non_ABX,19.7
9/12/24,9:30 AM,D0,501,Saline,Non_ABX,Saline_Non_ABX,20.6
9/13/24,8:15 AM,D2,501,Saline,Non_ABX,Saline_Non_ABX,20.4
9/14/24,10:30 AM,D3,501,Saline,Non_ABX,Saline_Non_ABX,20.3
9/15/24,11:00 AM,D4,501,Saline,Non_ABX,Saline_Non_ABX,20.5
9/16/24,8:30 AM,D5,501,Saline,Non_ABX,Saline_Non_ABX,20.7
9/17/24,4:15 PM,D6,501,Saline,Non_ABX,Saline_Non_ABX,20.4
9/18/24,8:00 AM,D7,501,Saline,Non_ABX,Saline_Non_ABX,20.4
9/19/24,1:30 PM,D8,501,Saline,Non_ABX,Saline_Non_ABX,20
9/10/24,1:00 PM,D-2,502,Saline,Non_ABX,Saline_Non_ABX,18.4
9/11/24,12:00 PM,D-1,502,Saline,Non_ABX,Saline_Non_ABX,18.8
9/12/24,9:30 AM,D0,502,Saline,Non_ABX,Saline_Non_ABX,19
9/13/24,8:15 AM,D2,502,Saline,Non_ABX,Saline_Non_ABX,18.9
9/14/24,10:30 AM,D3,502,Saline,Non_ABX,Saline_Non_ABX,19.1
9/15/24,11:00 AM,D4,502,Saline,Non_ABX,Saline_Non_ABX,19.4
9/16/24,8:30 AM,D5,502,Saline,Non_ABX,Saline_Non_ABX,20
9/17/24,12:15 PM,D6,502,Saline,Non_ABX,Saline_Non_ABX,19.2
9/18/24,10:30 AM,D7,502,Saline,Non_ABX,Saline_Non_ABX,19.5
9/19/24,1:30 PM,D8,502,Saline,Non_ABX,Saline_Non_ABX,19.9
9/10/24,1:00 PM,D-2,503,Saline,Non_ABX,Saline_Non_ABX,16.6
9/11/24,12:00 PM,D-1,503,Saline,Non_ABX,Saline_Non_ABX,20.1
9/12/24,9:30 AM,D0,503,Saline,Non_ABX,Saline_Non_ABX,20.6
9/13/24,8:15 AM,D2,503,Saline,Non_ABX,Saline_Non_ABX,20.8
9/14/24,10:30 AM,D3,503,Saline,Non_ABX,Saline_Non_ABX,20.2
9/15/24,11:00 AM,D4,503,Saline,Non_ABX,Saline_Non_ABX,20.5
9/16/24,8:30 AM,D5,503,Saline,Non_ABX,Saline_Non_ABX,20.1
