Mouse,SI_length,Colon_length,Cecum_full_g,Cecum_empty_g
505,31.0,6.5,0.3538,0.0532
704,36.4,5.4,0.4141,0.0388
606,36.0,6.4,0.3908,0.0535
604,33.1,5.6,0.3028,0.0596
701,34.8,5.5,0.3707,0.0676
502,31.8,5.9,0.2868,0.0582
601,35.9,6.6,0.4770,0.0480
702,36.1,6.4,0.3613,0.0355
506,35.8,7.9,0.4167,0.0636
706,36.0,6.7,0.3939,0.0700
504,33.1,6.6,0.4540,0.0704
602,34.2,7.1,0.3899,0.0603
603,36.2,5.0,0.4457,0.0603
503,33.4,6.6,0.3586,0.0727
703,34.0,5.3,0.3909,0.0646
501,34.9,5.5,0.3860,0.0596
705,30.5,6.0,0.3962,0.0497
605,33.9,6.2,0.4751,0.0681
512,39.0,6.4,1.4312,0.1198
615,37.4,6.7,1.2407,0.1131
715,37.9,6.5,1.2983,0.1096
513,38.1,7.6,1.4446,0.1125
616,39.1,7.9,1.3111,0.1009
716,37.8,7.8,1.2510,
511,31.3,5.5,0.6566,0.0886
614,40.4,6.1,1.3316,0.1447
712,38.0,7.5,1.2841,0.1360
515,38.0,6.5,1.1896,0.0942
613,41.1,6.7,1.5318,0.1160
713,37.0,7.1,1.5213,0.1240
514,36.4,6.7,1.2257,0.1120
612,39.4,6.2,1.5213,0.1149
714,35.5,6.5,1.3245,0.1068
516,39.6,7.6,1.4260,0.1113
611,38.1,7.8,1.3348,0.1357
711,35.5,6.2,1.2420,0.1134
