Date,Day,Mouse,Time_min,Blood_glucose,Notes,,,,,
9/11/24,D-1,502,0,167.5,(*only includes successful tests*),,,,,
9/11/24,D-1,502,15,97.5,We had one double fail – 504 didn't work for baseline or endpoint so will have to be excluded,,,,,
9/11/24,D-1,502,30,106,,,,,,
9/11/24,D-1,502,60,122.5,,,,,,
9/11/24,D-1,502,90,149,,,,,,
9/11/24,D-1,502,120,206,,,,,,
9/11/24,D-1,506,0,174,,,,,,
9/11/24,D-1,506,15,82.5,,,,,,
9/11/24,D-1,506,30,124,,,,,,
9/11/24,D-1,506,60,175,,,,,,
9/11/24,D-1,506,90,195.5,,,,,,
9/11/24,D-1,506,120,187,,,,,,
9/11/24,D-1,603,0,181.5,,,,,,
9/11/24,D-1,603,15,147.5,,,,,,
9/11/24,D-1,603,30,113.5,,,,,,
9/11/24,D-1,603,60,139.5,,,,,,
9/11/24,D-1,603,90,175.5,,,,,,
9/11/24,D-1,603,120,181.5,,,,,,
9/11/24,D-1,604,0,165.5,,,,,,
9/11/24,D-1,604,15,104,,,,,,
9/11/24,D-1,604,30,101.5,,,,,,
9/11/24,D-1,604,60,150,,,,,,
9/11/24,D-1,604,90,192.5,,,,,,
9/11/24,D-1,604,120,194.5,,,,,,
9/11/24,D-1,701,0,190.5,,,,,,
9/11/24,D-1,701,15,94.5,,,,,,
9/11/24,D-1,701,30,97.5,,,,,,
9/11/24,D-1,701,60,129.5,,,,,,
9/11/24,D-1,701,90,176,,,,,,
9/11/24,D-1,701,120,208,,,,,,
9/11/24,D-1,703,0,206,,,,,,
9/11/24,D-1,703,15,92.5,,,,,,
9/11/24,D-1,703,30,103.5,,,,,,
9/11/24,D-1,703,60,162.5,,,,,,
9/11/24,D-1,703,90,179.5,,,,,,
9/11/24,D-1,703,120,205.5,,,,,,
9/11/24,D-1,706,0,168.5,,,,,,
9/11/24,D-1,706,15,90,,,,,,
9/11/24,D-1,706,30,99,,,,,,
9/11/24,D-1,706,60,130.5,,,,,,
9/11/24,D-1,706,90,162,,,,,,
9/11/24,D-1,706,120,195,,,,,,
9/11/24,D-1,501,0,189,,,,,,
9/11/24,D-1,501,15,132.5,,,,,,
9/11/24,D-1,501,30,102,,,,,,
9/11/24,D-1,501,60,128,,,,,,
9/11/24,D-1,501,90,155,,,,,,
9/11/24,D-1,501,120,186,,,,,,
9/11/24,D-1,503,0,101,,,,,,
9/11/24,D-1,503,15,74,,,,,,
9/11/24,D-1,503,30,102,,,,,,
9/11/24,D-1,503,60,135.5,,,,,,
9/11/24,D-1,503,90,140.5,,,,,,
9/11/24,D-1,503,120,137,,,,,,
9/11/24,D-1,505,0,186.5,,,,,,
9/11/24,D-1,505,15,122,,,,,,
9/11/24,D-1,505,30,104.5,,,,,,
9/11/24,D-1,505,60,130,,,,,,
9/11/24,D-1,505,90,177.5,,,,,,
9/11/24,D-1,505,120,189,,,,,,
9/11/24,D-1,601,0,202,,,,,,
9/11/24,D-1,601,15,101.5,,,,,,
9/11/24,D-1,601,30,84.5,,,,,,
9/11/24,D-1,601,60,126.5,,,,,,
9/11/24,D-1,601,90,166,,,,,,
9/11/24,D-1,601,120,195,,,,,,
9/11/24,D-1,606,0,184.5,,,,,,
9/11/24,D-1,606,15,101.5,,,,,,
9/11/24,D-1,606,30,90,,,,,,
9/11/24,D-1,606,60,142,,,,,,
9/11/24,D-1,606,90,181,,,,,,
9/11/24,D-1,606,120,195,,,,,,
9/11/24,D-1,702,0,200,,,,,,
9/11/24,D-1,702,15,150,,,,,,
9/11/24,D-1,702,30,112.5,,,,,,
9/11/24,D-1,702,60,167,,,,,,
9/11/24,D-1,702,90,187,,,,,,
9/11/24,D-1,702,120,193,,,,,,
9/11/24,D-1,704,0,185.5,,,,,,
9/11/24,D-1,704,15,86,,,,,,
9/11/24,D-1,704,30,96.5,,,,,,
9/11/24,D-1,704,60,158,,,,,,
9/11/24,D-1,704,90,183.5,,,,,,
9/11/24,D-1,704,120,188.5,,,,,,
9/11/24,D-1,705,0,234,,,,,,
9/11/24,D-1,705,15,127,,,,,,
