Date,Day,Mouse,Time_min,Blood_glucose
9/10/24,D-2,501,0,192
9/10/24,D-2,501,15,266.5
9/10/24,D-2,501,30,311
9/10/24,D-2,501,60,254.5
9/10/24,D-2,501,90,199.5
9/10/24,D-2,501,120,193.5
9/10/24,D-2,502,0,190
9/10/24,D-2,502,15,267
9/10/24,D-2,502,30,223.5
9/10/24,D-2,502,60,197
9/10/24,D-2,502,90,194
9/10/24,D-2,502,120,178.5
9/10/24,D-2,503,0,157.5
9/10/24,D-2,503,15,278.5
9/10/24,D-2,503,30,157
9/10/24,D-2,503,60,156
9/10/24,D-2,503,90,176.5
9/10/24,D-2,503,120,166.5
9/10/24,D-2,601,0,203
9/10/24,D-2,601,15,306
9/10/24,D-2,601,30,244.5
9/10/24,D-2,601,60,212.5
9/10/24,D-2,601,90,206
9/10/24,D-2,601,120,161
9/10/24,D-2,602,0,226.5
9/10/24,D-2,602,15,361
9/10/24,D-2,602,30,318.5
9/10/24,D-2,602,60,240
9/10/24,D-2,602,90,216
9/10/24,D-2,602,120,197
9/10/24,D-2,603,0,192
9/10/24,D-2,603,15,267
9/10/24,D-2,603,30,251.5
9/10/24,D-2,603,60,229.5
9/10/24,D-2,603,90,210
9/10/24,D-2,603,120,196.5
9/10/24,D-2,701,0,193.5
9/10/24,D-2,701,15,242
9/10/24,D-2,701,30,223
9/10/24,D-2,701,60,234
9/10/24,D-2,701,90,192.5
9/10/24,D-2,701,120,204.5
9/10/24,D-2,702,0,210
9/10/24,D-2,702,15,299.5
9/10/24,D-2,702,30,219
9/10/24,D-2,702,60,247.5
9/10/24,D-2,702,90,213
9/10/24,D-2,702,120,196
9/10/24,D-2,703,0,189
9/10/24,D-2,703,15,302.5
9/10/24,D-2,703,30,246.5
9/10/24,D-2,703,60,237
9/10/24,D-2,703,90,213
9/10/24,D-2,703,120,218
9/10/24,D-2,504,0,200
9/10/24,D-2,504,15,261
9/10/24,D-2,504,30,213
9/10/24,D-2,504,60,207
9/10/24,D-2,504,90,196
9/10/24,D-2,504,120,202.5
9/10/24,D-2,505,0,200.5
9/10/24,D-2,505,15,306
9/10/24,D-2,505,30,280
9/10/24,D-2,505,60,216.5
9/10/24,D-2,505,90,195.5
9/10/24,D-2,505,120,183
9/10/24,D-2,506,0,190.5
9/10/24,D-2,506,15,281.5
9/10/24,D-2,506,30,235
9/10/24,D-2,506,60,208.5
9/10/24,D-2,506,90,193.5
9/10/24,D-2,506,120,177
9/10/24,D-2,604,0,203.5
9/10/24,D-2,604,15,289.5
9/10/24,D-2,604,30,301
9/10/24,D-2,604,60,227
9/10/24,D-2,604,90,209
9/10/24,D-2,604,120,199
9/10/24,D-2,605,0,198
9/10/24,D-2,605,15,273
9/10/24,D-2,605,30,242
9/10/24,D-2,605,60,190
9/10/24,D-2,605,90,193.5
9/10/24,D-2,605,120,183
9/10/24,D-2,606,0,179.5
9/10/24,D-2,606,15,284
9/10/24,D-2,606,30,264
9/10/24,D-2,606,60,200.5
9/10/24,D-2,606,90,219
