Sample_ID,Mouse_Num,Day,Genomes/g feces
HEB24001,604,D0,1.71E+10
HEB24002,512,D-3,8.32E+09
HEB24003,711,D-3,4.33E+09
HEB24004,502,D0,4.86E+09
HEB24005,615,D-5,8.01E+09
HEB24006,713,D-3,1.32E+08
HEB24007,515,D-5,1.65E+08
HEB24008,703,D-3,1.57E+08
HEB24009,505,D-3,1.48E+10
HEB24010,706,D-3,5.28E+08
HEB24011,603,D0,1.79E+08
HEB24012,616,D-5,3.33E+09
HEB24013,512,D-5,6.11E+09
HEB24014,712,D0,2.34E+08
HEB24015,611,D-3,1.92E+10
HEB24016,516,D0,2.93E+10
HEB24017,514,D-5,1.93E+10
HEB24018,606,D-3,8.22E+09
HEB24019,704,D0,2.05E+10
HEB24020,714,D-3,1.35E+08
HEB24021,612,D-5,1.47E+10
HEB24022,712,D-3,4.12E+08
HEB24023,503,D-3,2.14E+10
HEB24024,515,D0,6.06E+08
HEB24025,503,D0,1.60E+10
HEB24026,601,D0,6.07E+09
HEB24027,515,D-3,8.16E+08
HEB24028,616,D0,1.43E+08
HEB24029,605,D-3,1.61E+10
HEB24030,511,D-5,1.38E+10
HEB24031,711,D0,2.77E+08
HEB24032,704,D-3,2.06E+10
HEB24033,703,D0,
HEB24034,613,D-5,8.09E+09
HEB24035,706,D0,9.08E+09
HEB24036,506,D-3,7.25E+09
HEB24037,715,D-5,9.52E+10
HEB24038,516,D-5,1.17E+10
HEB24039,505,D0,3.06E+10
HEB24040,511,D0,1.50E+08
HEB24041,501,D-3,2.80E+09
HEB24042,701,D-3,1.14E+10
HEB24043,716,D-5,4.29E+09
HEB24044,603,D-3,9.14E+09
HEB24045,504,D-3,1.45E+10
HEB24046,513,D0,1.79E+08
HEB24047,612,D-3,2.64E+08
HEB24048,713,D0,9.00E+06
HEB24049,702,D-3,1.36E+10
HEB24050,715,D0,2.48E+08
HEB24051,614,D0,1.59E+08
HEB24052,501,D0,1.00E+10
HEB24053,713,D-5,1.35E+10
HEB24054,716,D-3,5.82E+08
HEB24055,604,D-3,3.82E+10
HEB24056,615,D0,3.24E+08
HEB24057,502,D-3,6.68E+09
HEB24058,705,D-3,4.70E+09
HEB24059,514,D0,7.58E+07
HEB24060,616,D-3,1.52E+08
HEB24061,506,D0,2.16E+10
HEB24062,712,D-5,8.59E+09
HEB24063,714,D0,1.01E+08
HEB24064,614,D-5,6.29E+09
HEB24065,514,D-3,1.88E+08
HEB24066,702,D0,1.95E+10
HEB24067,611,D-5,1.37E+10
HEB24068,513,D-3,5.49E+08
HEB24069,613,D0,1.11E+08
HEB24070,714,D-5,7.16E+09
HEB24071,715,D-3,4.11E+08
HEB24072,602,D0,1.49E+11
HEB24073,504,D0,3.49E+10
HEB24074,601,D-3,5.51E+10
HEB24075,711,D-5,1.84E+10
HEB24076,615,D-3,2.29E+08
HEB24077,513,D-5,7.12E+09
HEB24078,605,D0,2.10E+10
HEB24079,701,D0,2.68E+09
HEB24080,716,D0,1.45E+08
HEB24081,606,D0,1.55E+10
HEB24082,516,D-3,1.58E+08
HEB24083,512,D0,1.02E+08
HEB24084,612,D0,9.47E+07
HEB24085,511,D-3,1.75E+08
HEB24086,611,D0,1.29E+08
HEB24087,614,D-3,8.33E+07
HEB24088,705,D0,1.07E+10
HEB24089,602,D-3,1.31E+10
HEB24090,613,D-3,3.09E+08
HEB24091,501,D3,2.25E+10
HEB24092,502,D3,1.20E+10
HEB24093,503,D3,2.79E+10
HEB24094,504,D3,1.49E+10
HEB24095,505,D3,2.39E+10
HEB24096,506,D3,2.29E+10
HEB24097,601,D3,5.13E+09
HEB24098,602,D3,1.88E+10
HEB24099,603,D3,2.41E+10
HEB24100,604,D3,1.59E+10
HEB24101,605,D3,1.94E+10
HEB24102,606,D3,2.82E+10
HEB24103,701,D3,5.94E+09
HEB24104,702,D3,8.83E+09
HEB24105,703,D3,1.41E+10
HEB24106,704,D3,8.81E+09
HEB24107,705,D3,8.71E+09
HEB24108,706,D3,1.63E+10
HEB24109,511,D3,1.64E+08
HEB24110,512,D3,1.76E+08
HEB24111,513,D3,1.24E+08
HEB24112,514,D3,1.09E+08
HEB24113,515,D3,1.60E+08
HEB24114,516,D3,7.30E+07
HEB24115,611,D3,5.83E+07
HEB24116,612,D3,8.43E+07
HEB24117,613,D3,1.58E+08
HEB24118,614,D3,7.20E+07
HEB24119,615,D3,7.58E+07
HEB24120,616,D3,9.08E+07
HEB24121,711,D3,8.03E+07
HEB24122,712,D3,1.14E+08
HEB24123,713,D3,7.28E+07
HEB24124,714,D3,8.31E+07
HEB24125,715,D3,1.57E+08
