feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Cyanobacteria.c__Chloroplast	Antibiotics	Non_ABX	-7.31019966960317	0.346853243262356	60	60	1.00628193252419e-27	1.81625515090467e-26
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria	Antibiotics	Non_ABX	-7.09397179251778	0.340398634039507	60	60	1.7297668103854e-27	1.81625515090467e-26
Unassigned.__.__	Antibiotics	Non_ABX	-8.26226543926225	0.437708672520943	60	44	1.92226075693503e-25	1.34558252985452e-24
k__Bacteria.__.__	Antibiotics	Non_ABX	-6.18004878381649	0.332725560011719	60	60	4.0987011215364e-25	2.15181808880661e-24
k__Bacteria.p__Actinobacteria.c__Actinobacteria	Antibiotics	Non_ABX	-5.91994334437837	0.390538714148444	60	60	4.18795990829125e-21	1.75894316148233e-20
k__Bacteria.p__Bacteroidetes.c__Bacteroidia	Antibiotics	Non_ABX	4.35531662739211	0.294787549967865	60	60	1.2849436647614e-20	4.49730282666489e-20
k__Bacteria.p__Firmicutes.__	Antibiotics	Non_ABX	-3.84886140764176	0.304976909812941	60	60	9.7304758103406e-18	2.91914274310218e-17
k__Archaea.p__Euryarchaeota.c__Halobacteria	Antibiotics	Non_ABX	-5.34285260012827	0.497592143307531	60	25	5.18839777345356e-15	1.36195441553156e-14
k__Bacteria.p__Actinobacteria.c__Coriobacteriia	Antibiotics	Non_ABX	-1.92724464412629	0.222204509367979	60	60	8.20356461877348e-12	1.91416507771381e-11
k__Bacteria.p__Firmicutes.c__Clostridia	Antibiotics	Non_ABX	1.84162739744513	0.218480125996917	60	60	2.01330064817935e-11	4.22793136117664e-11
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria	Antibiotics	Non_ABX	-2.31221830913911	0.318179769234576	60	60	1.51785591692687e-09	2.89772493231492e-09
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria	Antibiotics	Non_ABX	-1.678393624609	0.294751006240918	60	60	5.24698923789666e-07	9.18223116631916e-07
k__Bacteria.p__Tenericutes.c__Mollicutes	Antibiotics	Non_ABX	2.400517541909	0.419954505559007	60	60	0.000193960630061255	0.000313321017791258
k__Bacteria.p__Firmicutes.c__Bacilli	Antibiotics	Non_ABX	-1.29431708159298	0.266880710755281	60	60	0.000671788055732411	0.00100768208359862
k__Bacteria.p__Deferribacteres.c__Deferribacteres	Antibiotics	Non_ABX	0.654960372339474	0.184395744019294	60	60	0.000767185820185935	0.00105282997779141
k__Bacteria.p__Proteobacteria.c__Epsilonproteobacteria	Antibiotics	Non_ABX	-1.4902849752788	0.419552981972169	60	11	0.000802156173555359	0.00105282997779141
k__Bacteria.p__Bacteroidetes.c__Flavobacteriia	Antibiotics	Non_ABX	-1.25828899458581	0.36097372841285	60	10	0.000982489221615125	0.0012136631561128
k__Bacteria.p__.Thermi..c__Deinococci	Antibiotics	Non_ABX	-1.04099439957234	0.316169406743211	60	9	0.00175500520118123	0.00204750606804476
k__Bacteria.p__Bacteroidetes.__	Antibiotics	Non_ABX	0.903253155428639	0.484764576765472	60	39	0.092017873665722	0.101703965630535
k__Bacteria.p__Firmicutes.c__Erysipelotrichi	Antibiotics	Non_ABX	0.593398728578582	0.718617210318518	60	60	0.428205867054008	0.449616160406709
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae	Antibiotics	Non_ABX	0.227349931330047	0.319056698491535	60	60	0.492403714028062	0.492403714028062
