feature	k__Bacteria.p__Bacteroidetes.c__Bacteroidia	k__Bacteria.p__Firmicutes.c__Bacilli	k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae	k__Bacteria.__.__	k__Bacteria.p__Firmicutes.c__Clostridia	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria	k__Bacteria.p__Cyanobacteria.c__Chloroplast	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria	k__Bacteria.p__Firmicutes.c__Erysipelotrichi	k__Bacteria.p__Actinobacteria.c__Actinobacteria	k__Bacteria.p__Tenericutes.c__Mollicutes	k__Bacteria.p__Firmicutes.__	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria	k__Bacteria.p__Deferribacteres.c__Deferribacteres	Unassigned.__.__	k__Bacteria.p__Bacteroidetes.__	k__Bacteria.p__Actinobacteria.c__Coriobacteriia	k__Archaea.p__Euryarchaeota.c__Halobacteria	k__Bacteria.p__Proteobacteria.c__Epsilonproteobacteria	k__Bacteria.p__Bacteroidetes.c__Flavobacteriia	k__Bacteria.p__.Thermi..c__Deinococci
HEB24009	2630	618611	418	5625	81589	296	1941	5709	661	521	1177	34	12	7	74	3	1165	0	0	0	3
HEB24012	3575	125999	550	9062	391751	391	457	383	504	177	235	22	13	18	11	8	70	0	0	0	0
HEB24020	191205	134418	450	272	172677	248	92	88	808	102	1090	9	15	12	0	4	39	0	0	0	0
HEB24027	360472	124657	441	251	110161	228	97	62	917	66	806	12	12	10	0	6	34	0	0	0	0
HEB24028	261468	107430	508	193	170978	233	97	63	355	57	1294	15	18	11	0	5	33	0	0	0	0
HEB24029	168220	205086	7438	247	139622	214	91	63	1530	72	4333	20	7	11	0	0	25	0	0	0	0
HEB24030	167338	201853	336	192	53305	185	70	60	279	54	241	16	11	7	0	0	27	0	0	0	0
HEB24031	287756	275448	480	377	74550	238	116	72	515	73	294	17	18	13	0	9	64	0	0	0	0
HEB24032	118260	263280	427	392	149454	294	122	73	7351	99	1172	20	9	11	0	5	32	0	0	0	0
HEB24033	171569	131638	708	248	168837	265	90	87	371	66	541	21	11	7	0	6	19	0	0	0	0
HEB24035	3543	145988	530	529	425954	334	186	154	405	132	92	21	19	14	6	0	54	2	0	0	0
HEB24041	246835	13243	489	408	222109	247	107	81	528	84	1365	14	15	10	0	6	59	0	0	0	0
HEB24045	175550	193347	405	199	99767	240	98	61	393	67	872	20	19	6	4	5	22	0	0	0	0
HEB24046	3786	382705	314	114758	19759	527	47772	15568	229	7346	36	182	19	11	1895	7	170	21	0	0	0
HEB24055	131206	70361	494	211	239209	303	101	68	440	94	398	32	22	10	0	11	23	0	0	0	0
HEB24056	189303	83065	802	305	387824	416	165	105	600	159	697	49	32	18	0	9	29	0	0	0	0
HEB24057	151176	132864	638	450	278128	357	132	95	594	113	293	27	17	12	5	4	34	0	0	0	0
HEB24064	11006	536769	926	100481	57589	2728	116382	58937	532	33938	12	970	49	9	3975	0	377	444	79	21	0
HEB24068	147269	271321	537	483	208857	338	128	181	2319	113	745	25	13	12	6	0	51	0	0	0	0
HEB24071	107687	75585	536	509	278155	375	125	75	462	95	503	19	20	14	0	0	35	0	0	0	0
HEB24072	83618	298992	12878	11372	105786	2291	30104	8573	1595	4029	1061	415	196	8	285	0	189	71	71	60	0
HEB24073	36025	454969	498	22613	76294	3152	77239	52768	2072	25674	243	1470	742	4	781	3	224	602	298	124	0
HEB24074	6163	496065	451	159071	37080	1678	104153	43464	251	18141	64	1549	62	4	2352	5	203	123	0	11	0
HEB24082	2655	441362	411	4012	228311	224	2563	3849	384	236	351	29	24	12	26	4	296	0	0	0	0
HEB24084	253177	30134	621	282	226053	274	128	84	422	75	1581	14	12	7	4	0	35	0	0	0	0
HEB24089	209335	90796	1763	203	134472	225	88	56	424	51	400	16	10	3	3	0	42	0	0	0	0
HEB24091	200600	843956	36490	28558	266840	1195	40592	41709	2462	11206	2248	728	424	20	895	2	502	60	17	0	10
HEB24093	57667	149773	350	179	170984	212	86	66	356	68	246	8	8	13	2	5	14	0	0	0	0
HEB24101	10989	450355	554	184535	37539	542	47813	14770	985	14618	115	704	109	3	1713	0	188	141	0	0	0
HEB24102	7060	395472	240	212826	23038	462	18397	4070	294	5337	23	252	32	7	1022	3	114	48	0	0	0
HEB24103	6275	349995	437	51009	30216	1283	62431	29356	397	21509	72	421	130	8	1093	3	194	50	0	0	37
HEB24104	6271	378203	319	237466	28914	9791	24101	11231	247	7194	40	1573	203	24	1538	0	134	0	858	303	0
HEB24105	16951	197104	429	348	226039	327	101	73	352	71	442	32	10	10	0	0	36	0	0	0	0
HEB24114	2254	465660	384	4451	102966	138	3486	8721	407	174	425	18	7	10	44	0	150	0	9	0	0
HEB24115	17396	580228	1270	24562	110614	3214	34427	45397	743	9542	44	978	367	5	1482	0	524	174	0	57	56
HEB24117	2691	522530	413	2835	111609	264	3092	2972	753	301	498	31	14	5	42	0	1314	0	0	0	0
HEB24127	110104	56585	659	641	297132	327	101	83	451	104	466	11	14	11	0	0	146	2	0	0	0
HEB24128	9885	535338	1378	103264	72997	3747	32632	24608	1762	17037	375	424	371	5	1497	0	249	1691	282	0	0
HEB24129	222711	164705	1674	243	174276	245	104	57	831	110	420	24	6	9	3	0	51	0	0	0	0
HEB24130	375990	234666	534	443	137276	319	133	107	604	111	1050	18	19	13	0	8	74	0	0	0	0
HEB24131	303527	210255	388	394	45899	227	100	65	491	61	274	9	9	6	0	0	55	0	0	0	0
HEB24132	272414	133125	524	385	139279	305	102	71	121894	79	306	20	20	11	4	5	61	0	0	0	0
HEB24145	120135	917868	2556	188779	122148	111014	45297	92129	12941	399954	885	1068	2208	31	3494	6	336	303	173	20	0
HEB24146	50115	2061615	2000	131083	163652	3930	229102	56404	2248	79318	691	4272	750	30	5835	11	488	1226	0	0	0
HEB24147	202153	1152347	1442	186199	190344	7755	45261	38517	72022	45676	1735	2197	754	17	2456	10	330	1269	294	162	0
HEB24148	45210	1884116	2254	109709	146942	3329	68242	21618	1337	54231	1093	2602	741	30	3422	8	2543	1035	0	271	0
HEB24149	75470	1194048	2957	105272	208755	5014	123369	48143	4236	43688	1489	3403	986	30	7947	4	548	385	0	265	0
HEB24150	98172	1198292	2707	95414	245702	2810	131067	30591	1460	78769	1217	2679	1189	26	5015	11	625	830	128	0	30
HEB24163	601882	153861	990	663	399674	502	198	146	685	165	1758	37	31	20	3	11	89	0	0	0	0
HEB24164	528405	508090	989	613	223227	514	249	182	897	173	1930	42	29	17	5	10	74	0	0	0	0
HEB24165	498882	156364	1140	567	300692	495	181	168	1138	123	3620	23	22	17	8	10	89	0	0	0	0
HEB24166	82105	553714	1032	777	504544	631	229	186	862	194	1098	61	30	26	10	9	80	0	0	0	0
HEB24167	302877	290905	1134	933	505536	670	204	165	1460	205	1052	61	36	22	7	10	83	0	0	0	0
HEB24168	152582	200208	1152	770	567421	699	249	180	47008	190	1025	55	35	26	6	7	71	0	0	0	0
HEB24181	20334	1172909	1192	44040	73285	3460	168169	114288	983	77112	171	3280	174	19	3140	6	513	109	0	0	40
HEB24182	34918	681676	1149	154167	79420	1345	290949	407460	957	13632	198	881	99	8	1969	0	165	644	0	0	0
HEB24183	13249	1178460	998	149662	60516	2047	90336	36007	696	74088	136	2714	371	23	4882	4	392	223	0	0	83
HEB24184	29794	1273355	915	213896	109297	1997	48994	27116	1095	57309	420	2272	537	11	4259	6	295	1194	42	0	0
HEB24185	14022	529843	867	50190	75195	7434	141465	41294	2128	50967	181	781	20	52	2938	6	211	397	0	0	24
HEB24186	8990	525758	902	24951	33179	1789	494769	455893	580	4938	77	642	199	20	802	0	86	115	0	0	45
