feature	k__Bacteria.p__Bacteroidetes.c__Bacteroidia	k__Bacteria.p__Firmicutes.c__Bacilli	k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae	k__Bacteria.__.__	k__Bacteria.p__Firmicutes.c__Clostridia	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria	k__Bacteria.p__Cyanobacteria.c__Chloroplast	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria	k__Bacteria.p__Firmicutes.c__Erysipelotrichi	k__Bacteria.p__Actinobacteria.c__Actinobacteria	k__Bacteria.p__Tenericutes.c__Mollicutes	k__Bacteria.p__Firmicutes.__	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria	k__Bacteria.p__Deferribacteres.c__Deferribacteres	Unassigned.__.__	k__Bacteria.p__Bacteroidetes.__	k__Bacteria.p__Actinobacteria.c__Coriobacteriia	k__Archaea.p__Euryarchaeota.c__Halobacteria	k__Bacteria.p__Proteobacteria.c__Epsilonproteobacteria	k__Bacteria.p__Bacteroidetes.c__Flavobacteriia	k__Bacteria.p__.Thermi..c__Deinococci
HEB24009	0.00365036448125961	0.858614304987258	0.000580171997401718	0.00780733848178149	0.113243189224901	0.000410839500552413	0.00269405226544673	0.00792392806977609	0.000917449019814678	0.000723133039823672	0.0016336422032101	4.71910237121014e-05	1.66556554278005e-05	9.7157989995503e-06	0.000102709875138103	4.16391385695013e-06	0.0016169865477823	0	0	0	4.16391385695013e-06
HEB24012	0.00670447427544793	0.2362956795055	0.00103145758083814	0.0169946701773732	0.734680979547134	0.000733272571104935	0.000857047480805512	0.000718269551747289	0.000945190219531681	0.000331941803287912	0.000440713693630843	4.12583032335257e-05	2.43799064561743e-05	3.37567935547029e-05	2.06291516167629e-05	1.50030193576457e-05	0.0001312764193794	0	0	0	0
HEB24020	0.38124415537287	0.268016405830969	0.000897256190569239	0.000542341519632962	0.344301127153166	0.000494487856135936	0.000183439043405267	0.000175463432822429	0.00161107333773321	0.000203378069862361	0.00217335388382327	1.79451238113848e-05	2.99085396856413e-05	2.3926831748513e-05	0	7.97561058283768e-06	7.77622031826674e-05	0	0	0	0
HEB24027	0.602562216665107	0.208375680338063	0.000737172200751548	0.000419569665280359	0.184144278473903	0.000381123042565426	0.000162144452319501	0.000103638722101125	0.00153285013172147	0.000110325091268939	0.00134730338731462	2.00591075034435e-05	2.00591075034435e-05	1.67159229195362e-05	0	1.00295537517217e-05	5.68341379264232e-05	0	0	0	0
HEB24028	0.481739559803817	0.19793351733185	0.00093596040961165	0.000355591257982379	0.315017005737364	0.00042928892803054	0.000178716849866791	0.000116073830325854	0.000654066821677433	0.00010501917981863	0.00238411962605802	2.76366262680605e-05	3.31639515216726e-05	2.02668592632444e-05	0	9.21220875602018e-06	6.08005777897332e-05	0	0	0	0
HEB24029	0.31921575622558	0.389173003098795	0.0141144144263813	0.00046870937931113	0.264947939101938	0.000406088288148105	0.000172682402904101	0.000119549355856685	0.00290334149937664	0.000136627835264783	0.00822233903058756	3.79521764624397e-05	1.32832617618539e-05	2.08736970543418e-05	0	0	4.74402205780496e-05	0	0	0	0
HEB24030	0.394689296985193	0.476097590890007	0.000792501426974296	0.000452857958271026	0.125727049300193	0.000436347511875728	0.000165104463952978	0.000141518111959696	0.000658059220612585	0.000127366300763726	0.000568431083038111	3.77381631892522e-05	2.59449871926109e-05	1.65104463952978e-05	0	0	6.3683150381863e-05	0	0	0	0
HEB24031	0.449590650584339	0.430360602462346	0.000749953127929504	0.000589025685894632	0.116477095181551	0.000371851759265046	0.000181238672582964	0.000112492969189426	0.000804637210174364	0.000114055371539279	0.000459346290856821	2.65608399475033e-05	2.81232422973564e-05	2.03112305480907e-05	0	1.40616211486782e-05	9.99937503906006e-05	0	0	0	0
HEB24032	0.218594790028115	0.486653444263504	0.000789277653830584	0.00072458276417234	0.27625457254238	0.000543437073129255	0.000225507901094453	0.00013493505557291	0.0135877752536502	0.000182994116461892	0.00216635459084179	3.69685083761398e-05	1.66358287692629e-05	2.03326796068769e-05	0	9.24212709403495e-06	5.91496134018237e-05	0	0	0	0
HEB24033	0.36159069641969	0.277434012527293	0.00149214725891706	0.000522673051146087	0.35583286264658	0.000558501445781101	0.000189679736303015	0.000183357078426248	0.000781902024093542	0.000139098473288878	0.00114018597044368	4.42586051373703e-05	2.31830788814797e-05	1.47528683791234e-05	0	1.26453157535344e-05	4.00434998861922e-05	0	0	0	0
HEB24035	0.00613015019992629	0.252590563755811	0.000917013718871277	0.000915283504307369	0.736991814354898	0.000577891664345295	0.000321819908886901	0.000266453042841843	0.000700736898382768	0.000228388322435865	0.000159179739879542	3.63345058420695e-05	3.28740767142533e-05	2.4223003894713e-05	1.03812873834484e-05	0	9.34315864510358e-05	3.46042912781614e-06	0	0	0
