feature	k__Bacteria.p__Bacteroidetes.c__Bacteroidia	k__Bacteria.p__Firmicutes.c__Bacilli	k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae	k__Bacteria.__.__	k__Bacteria.p__Firmicutes.c__Clostridia	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria	k__Bacteria.p__Cyanobacteria.c__Chloroplast	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria	k__Bacteria.p__Firmicutes.c__Erysipelotrichi	k__Bacteria.p__Actinobacteria.c__Actinobacteria	k__Bacteria.p__Tenericutes.c__Mollicutes	k__Bacteria.p__Firmicutes.__	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria	k__Bacteria.p__Deferribacteres.c__Deferribacteres	Unassigned.__.__	k__Bacteria.p__Bacteroidetes.__	k__Bacteria.p__Actinobacteria.c__Coriobacteriia	k__Archaea.p__Euryarchaeota.c__Halobacteria	k__Bacteria.p__Proteobacteria.c__Epsilonproteobacteria	k__Bacteria.p__Bacteroidetes.c__Flavobacteriia	k__Bacteria.p__.Thermi..c__Deinococci
HEB24009	-8.09774376339461	-0.219917885807357	-10.7512317154934	-7.00095346658252	-3.14250380988677	-11.2491374819453	-8.53600644486061	-6.9795685005791	-10.0900843860666	-10.4334512852958	-9.25769224253583	-14.3711280063239	-15.8736283468531	-16.6512359255167	-13.2491374819453	-17.8736283468531	-9.27247660803264	-19.140617611756	-17.4082536324282	-17.6249560541014	-17.8736283468531
HEB24012	-7.22066007556594	-2.08133484396313	-9.92109979370703	-5.87877382660567	-0.444810170295939	-10.4133628048117	-10.188337247061	-10.4431870201941	-10.0471076786191	-11.5567820520361	-11.1478706555541	-14.5649559834818	-15.323947883978	-14.8544626006767	-15.5649559834818	-16.0243876021191	-12.8951045851741	-19.140617611756	-17.4082536324282	-17.6249560541014	-18.8736283468531
HEB24020	-1.39121287425355	-1.89960678119475	-10.1221924076795	-10.8485107576462	-1.53825719096001	-10.9817772885096	-12.4124116428395	-12.4765419802592	-9.27776211614472	-12.263548256925	-8.84586117923222	-15.7660485974542	-15.029083003288	-15.3510110981754	-19.5616198473859	-16.9359735988965	-13.6505713800343	-19.140617611756	-17.4082536324282	-17.6249560541014	-18.8736283468531
HEB24027	-0.730817882523934	-2.26274118532775	-10.4057107125337	-11.2188020041405	-2.44109152276815	-11.3574555439265	-12.5904327159041	-13.2361492477044	-9.3495676344962	-13.1459514387328	-9.53570952956328	-15.6053830573701	-15.6053830573701	-15.8684174632039	-19.5616198473859	-16.6053830573701	-14.1028827168409	-19.140617611756	-17.4082536324282	-17.6249560541014	-18.8736283468531
HEB24028	-1.05367469392416	-2.33691216115753	-10.0612648733144	-11.4574925228185	-1.66649838236773	-11.1857634154323	-12.4500367178994	-13.0726696365867	-10.5782743456945	-13.2170595459218	-8.71232765809406	-15.143058964478	-14.8800245586443	-15.5905179414493	-19.5616198473859	-16.7280214651992	-14.0055554407281	-19.140617611756	-17.4082536324282	-17.6249560541014	-18.8736283468531
HEB24029	-1.6473962313362	-1.36151646094094	-6.14668691374518	-11.0590187147725	-1.91621918946867	-11.265918959956	-12.4995913061585	-13.0301060228572	-8.42807000877715	-12.8374609449149	-6.92623542508529	-14.6854578514698	-16.2000310242996	-15.5479543277199	-19.5616198473859	-20.4957164736786	-14.3635297565824	-19.140617611756	-17.4082536324282	-17.6249560541014	-18.8736283468531
HEB24030	-1.34121069751028	-1.0706707661818	-10.3012988465852	-11.1086537686428	-2.99163302593175	-11.1622348088477	-12.564333252419	-12.7867256737555	-10.5694949575348	-12.9387287672005	-10.780726933134	-14.693616269364	-15.2341846507267	-15.8862613473064	-19.5616198473859	-20.4957164736786	-13.9387287672005	-19.140617611756	-17.4082536324282	-17.6249560541014	-18.8736283468531
HEB24031	-1.15331606043141	-1.21638208305643	-10.3809119495633	-10.7293818319032	-3.10188181311369	-11.3929847818639	-12.4298215500443	-13.1178775437295	-10.2793739231013	-13.0979779862918	-11.0881302003355	-15.2003397039215	-15.1178775437295	-15.5873628270308	-19.5616198473859	-16.1178775437295	-13.2878025451719	-19.140617611756	-17.4082536324282	-17.6249560541014	-18.8736283468531
HEB24032	-2.19366907855355	-1.03903332919384	-10.3071794755851	-10.4305618910903	-1.85592975081906	-10.8455993903692	-12.1145343976427	-12.8554471763255	-6.2015469289064	-12.4159151151259	-8.8505148807833	-14.7233436403182	-15.8753467337632	-15.5858401165683	-19.5616198473859	-16.7233436403182	-14.0452717352056	-19.140617611756	-17.4082536324282	-17.6249560541014	-18.8736283468531
HEB24033	-1.4675705366084	-1.84978342656097	-9.38839436352888	-10.901803603225	-1.49072833923481	-10.8061513641613	-12.3641468172822	-12.4130564177631	-10.3207245369911	-12.8116057942534	-9.77651512978506	-14.4636824908331	-15.3965682949746	-16.0486449915543	-19.5616198473859	-16.2710374128907	-14.6080724001683	-19.140617611756	-17.4082536324282	-17.6249560541014	-18.8736283468531
HEB24035	-7.34986186163769	-1.98512735076182	-10.0907690623054	-10.093493699642	-0.440279499251111	-10.756913319282	-11.601458800648	-11.8738310710611	-10.478839513984	-12.0962234923976	-12.617055655699	-14.7483001889772	-14.8926900983124	-15.3332626896984	-16.5556551110349	-20.4957164736786	-13.3857301095925	-18.140617611756	-17.4082536324282	-17.6249560541014	-18.8736283468531
HEB24041	-0.976221445476049	-5.1964665367184	-9.95571824107817	-10.2169835540589	-1.12850056859029	-10.9410416644457	-12.1479419096293	-12.5495588931458	-9.84501477667195	-12.4970914732516	-8.47472366022319	-15.0820539739728	-14.9825183004219	-15.567480801143	-19.5616198473859	-16.3044463953093	-13.0067658466686	-19.140617611756	-17.4082536324282	-17.6249560541014	-18.8736283468531
HEB24045	-1.42407477384054	-1.28476439052962	-10.183819146724	-11.2089726239524	-2.23932217172173	-10.9387066488875	-12.2308874003808	-12.9148599069331	-10.2272117422374	-12.7795080540382	-9.0774129197191	-14.5236691496087	-14.5976697310524	-16.2606347437749	-16.845597244496	-16.5236691496087	-14.3861656258587	-19.140617611756	-17.4082536324282	-17.6249560541014	-18.8736283468531
HEB24046	-7.29632601793473	-0.636911489415276	-10.8881639647468	-2.37454950902201	-4.91256239989654	-10.1411255620012	-3.63890705682593	-5.25648871885732	-11.3435809255415	-6.34004153290678	-14.0128597121961	-11.6749900734397	-14.9348572001949	-15.7233530950011	-8.29480258057998	-16.3754297915808	-11.7733937775007	-14.7904672908597	-17.4082536324282	-17.6249560541014	-18.8736283468531
HEB24055	-1.7554176393481	-2.65440344244852	-9.80852457755502	-11.0357926204325	-0.888979664183984	-10.5137178256667	-12.0986803263879	-12.6694289678894	-9.97553209561504	-12.2023029574621	-10.120267188596	-13.7568918091397	-14.2974601905024	-15.4349637142523	-19.5616198473859	-15.2974601905024	-14.2333298530827	-19.140617611756	-17.4082536324282	-17.6249560541014	-18.8736283468531
HEB24056	-1.80956878206116	-2.99795343573077	-9.69244810453331	-11.087241098538	-0.774863970977761	-10.6394668128471	-11.9735843167424	-12.6256610133221	-10.1110878404923	-12.0270235757039	-9.89489168511981	-13.725196686873	-14.3399065309882	-15.1699815295459	-19.5616198473859	-16.1699815295459	-14.4819255358607	-19.140617611756	-17.4082536324282	-17.6249560541014	-18.8736283468531
