feature	k__Bacteria	Unassigned	k__Archaea
HEB24009	0.999897290124862	0.000102709875138103	0
HEB24012	0.999979370848383	2.06291516167629e-05	0
HEB24020	1	0	0
HEB24027	1	0	0
HEB24028	1	0	0
HEB24029	1	0	0
HEB24030	1	0	0
HEB24031	1	0	0
HEB24032	1	0	0
HEB24033	1	0	0
HEB24035	0.999986158283489	1.03812873834484e-05	3.46042912781614e-06
HEB24041	1	0	0
HEB24045	0.999991508783103	8.49121689752163e-06	0
HEB24046	0.996780400097462	0.00318431201216592	3.52878903722872e-05
HEB24055	1	0	0
HEB24056	1	0	0
HEB24057	0.999991149486936	8.85051306424233e-06	0
HEB24064	0.995225288789531	0.0042949710481134	0.000479740162355308
HEB24068	0.99999051230396	9.48769603951942e-06	0
HEB24071	1	0	0
HEB24072	0.999366090093555	0.00050748405431682	0.00012642585212805
HEB24073	0.998171181630888	0.00103276004792218	0.000796058321189697
HEB24074	0.997159107213572	0.00269970902370854	0.000141183762719452
HEB24082	0.999962029882483	3.79701175175137e-05	0
HEB24084	0.999992201254428	7.79874557177478e-06	0
HEB24089	0.999993148917415	6.85108258523318e-06	0
HEB24091	0.999354081192332	0.000605337521322084	4.05812863456146e-05
HEB24093	0.999994737354521	5.26264547925597e-06	0
HEB24101	0.997578600786498	0.00223724749338164	0.00018415172012073
HEB24102	0.998399873186211	0.00152834542401117	7.17813897774328e-05
HEB24103	0.997940228791385	0.00196966748120436	9.01037274109955e-05
HEB24104	0.997828940867577	0.00217105913242331	0
HEB24105	1	0	0
HEB24114	0.999925335650191	7.46643498092665e-05	0
HEB24115	0.998007412042162	0.00178322183183328	0.000209366126004717
HEB24117	0.999935321329793	6.46786702065406e-05	0
HEB24127	0.999995715849429	0	4.28415057075596e-06
HEB24128	0.996052217717469	0.00185377354985871	0.00209400873267273
HEB24129	0.999994694669381	5.30533061936198e-06	0
HEB24130	1	0	0
HEB24131	1	0	0
HEB24132	0.999994017394426	5.98260557429274e-06	0
HEB24145	0.998121547781304	0.00172855202847609	0.000149900190219878
HEB24146	0.997471768197558	0.00208925542660376	0.000438976375838253
HEB24147	0.998090663987616	0.00125888033460793	0.000650455677775841
HEB24148	0.998102381156138	0.00145695572889724	0.000440663114964536
HEB24149	0.995438017651127	0.0043511850367855	0.000210797312087884
HEB24150	0.9969189198877	0.00264356146504437	0.000437518647255598
HEB24163	0.999997415386206	2.58461379408382e-06	0
HEB24164	0.999996048823893	3.95117610708003e-06	0
HEB24165	0.999991697274319	8.30272568105702e-06	0
HEB24166	0.999991270858284	8.72914171586993e-06	0
HEB24167	0.999993667221539	6.33277846131577e-06	0
HEB24168	0.999993825153033	6.17484696670934e-06	0
HEB24181	0.998070033603632	0.00186521837014368	6.47480262247327e-05
HEB24182	0.998434989162315	0.00117929825465056	0.000385712583034516
HEB24183	0.996838944696703	0.00302297198642449	0.000138083316872729
HEB24184	0.996924243201946	0.00240228281733231	0.000673473980721948
HEB24185	0.996367304212947	0.00320025793773984	0.000432437849313382
HEB24186	0.999409809266059	0.000516175538299646	7.40151956414704e-05
