feature	k__Bacteria	Unassigned	k__Archaea
HEB24009	-0.000148186637757802	-13.2491374819453	-19.140617611756
HEB24012	-2.97618817174196e-05	-15.5649559834818	-19.140617611756
HEB24020	0	-19.5616198473859	-19.140617611756
HEB24027	0	-19.5616198473859	-19.140617611756
HEB24028	0	-19.5616198473859	-19.140617611756
HEB24029	0	-19.5616198473859	-19.140617611756
HEB24030	0	-19.5616198473859	-19.140617611756
HEB24031	0	-19.5616198473859	-19.140617611756
HEB24032	0	-19.5616198473859	-19.140617611756
HEB24033	0	-19.5616198473859	-19.140617611756
HEB24035	-1.99695139747511e-05	-16.5556551110349	-18.140617611756
HEB24041	0	-19.5616198473859	-19.140617611756
HEB24045	-1.22502885191369e-05	-16.845597244496	-19.140617611756
HEB24046	-0.00465239426240287	-8.29480258057998	-14.7904672908597
HEB24055	0	-19.5616198473859	-19.140617611756
HEB24056	0	-19.5616198473859	-19.140617611756
HEB24057	-1.27686478116798e-05	-16.7858074786728	-19.140617611756
HEB24064	-0.00690494990547113	-7.86313587830044	-11.0254591570094
HEB24068	-1.3687916959118e-05	-16.6855107788018	-19.140617611756
HEB24071	0	-19.5616198473859	-19.140617611756
HEB24072	-0.000914828668520623	-10.9443498875363	-12.9494208770837
HEB24073	-0.00264084273937574	-9.91927918814079	-10.2948382495231
HEB24074	-0.00410437474332731	-8.53298036356172	-12.7901382030588
HEB24082	-5.47803402590201e-05	-14.6847760103317	-19.140617611756
HEB24084	-1.12512554344498e-05	-16.9683264841854	-19.140617611756
HEB24089	-9.88405672873879e-06	-17.1552365933762	-19.140617611756
HEB24091	-0.000932164944493502	-10.6899726015269	-14.58882587807
HEB24093	-7.59241251302931e-06	-17.5357803590929	-19.140617611756
HEB24101	-0.0034975768632459	-8.80405942266647	-12.4068175063517
HEB24102	-0.00231034393403157	-9.35381363841659	-13.7660306186331
HEB24103	-0.00297468634748097	-8.98783218985788	-13.4380536857551
HEB24104	-0.0031355812429387	-8.84738526396371	-19.140617611756
HEB24105	0	-19.5616198473859	-19.140617611756
HEB24114	-0.000107721908744252	-13.7092209145575	-19.140617611756
HEB24115	-0.00287756461865301	-9.13129810005093	-12.221684336508
HEB24117	-9.3314614523391e-05	-13.9163504571304	-19.140617611756
HEB24127	-6.18073602244475e-06	-19.5616198473859	-17.832559383385
HEB24128	-0.00570671778746274	-9.07531926424189	-8.89951682589033
HEB24129	-7.65399447835402e-06	-17.5241259090322	-19.140617611756
HEB24130	0	-19.5616198473859	-19.140617611756
HEB24131	0	-19.5616198473859	-19.140617611756
HEB24132	-8.63110121186101e-06	-17.3507946182767	-19.140617611756
HEB24145	-0.00271258222689176	-9.17622025607203	-12.7037101655158
HEB24146	-0.00365208609149593	-8.90279540155933	-11.1535690784633
HEB24147	-0.00275722266715963	-9.6336431333548	-10.5862616248839
HEB24148	-0.00274028612791934	-9.42282724437069	-11.1480362364734
HEB24149	-0.00659660758173133	-7.84437591499656	-12.2118559085051
HEB24150	-0.00445192088834903	-8.56330141367094	-11.1583678729362
HEB24163	-3.72881432213409e-06	-18.5616198473859	-19.140617611756
HEB24164	-5.70035343691421e-06	-17.9492864195034	-19.140617611756
HEB24165	-1.19783508925143e-05	-16.8779835363578	-19.140617611756
HEB24166	-1.25935444302456e-05	-16.8057287600434	-19.140617611756
HEB24167	-9.13629701025915e-06	-17.2687299586297	-19.140617611756
HEB24168	-8.90844860135215e-06	-17.3051651869759	-19.140617611756
HEB24181	-0.00278704326497356	-9.06643974100145	-13.9148042600035
HEB24182	-0.00225960198682203	-9.72785565023871	-11.3401861680256
HEB24183	-0.00456766193550149	-8.36981667494348	-12.8221733548043
HEB24184	-0.00444421725427628	-8.70137827718886	-10.5360901704744
HEB24185	-0.00525041456089476	-8.28759609501781	-11.1752195784311
HEB24186	-0.00085171660739036	-10.9198506062113	-13.7218189817219
