feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Cyanobacteria	Antibiotics	Non_ABX	-7.31011930563058	0.346843877497673	60	60	1.00550475439605e-27	1.20660570527526e-26
Unassigned.__	Antibiotics	Non_ABX	-8.26218507528964	0.437701841711142	60	44	1.92172944120672e-25	1.15303766472403e-24
k__Bacteria.__	Antibiotics	Non_ABX	-6.17996841984389	0.332726116333182	60	60	4.10151824441204e-25	1.64060729776482e-24
k__Bacteria.p__Proteobacteria	Antibiotics	Non_ABX	-5.12428209988456	0.302696548831004	60	60	2.98101918901779e-23	8.94305756705336e-23
k__Bacteria.p__Actinobacteria	Antibiotics	Non_ABX	-5.59643507623227	0.35339516473286	60	60	6.04261012324041e-22	1.4502264295777e-21
k__Bacteria.p__Bacteroidetes	Antibiotics	Non_ABX	4.35162574582633	0.294541447807388	60	60	1.28564721365131e-20	2.57129442730261e-20
k__Archaea.p__Euryarchaeota	Antibiotics	Non_ABX	-5.34277223615567	0.497581765351768	60	25	5.18727920799329e-15	8.89247864227421e-15
k__Bacteria.p__Tenericutes	Antibiotics	Non_ABX	2.40059790588159	0.419957101477627	60	60	0.000193919116202122	0.000290878674303184
k__Bacteria.p__Deferribacteres	Antibiotics	Non_ABX	0.65504073631206	0.18440566584781	60	60	0.000766601060696654	0.00102213474759554
k__Bacteria.p__.Thermi.	Antibiotics	Non_ABX	-1.04097783176372	0.316165376314803	60	9	0.00175505925099071	0.00210607110118886
k__Bacteria.p__Firmicutes	Antibiotics	Non_ABX	-0.213696041489595	0.0916409752653585	60	60	0.0419154825036979	0.0457259809131249
k__Bacteria.p__Verrucomicrobia	Antibiotics	Non_ABX	0.197445866825494	0.323676995288585	60	60	0.55546343139627	0.55546343139627
