feature	k__Bacteria.p__Bacteroidetes	k__Bacteria.p__Firmicutes	k__Bacteria.p__Verrucomicrobia	k__Bacteria.__	k__Bacteria.p__Proteobacteria	k__Bacteria.p__Cyanobacteria	k__Bacteria.p__Actinobacteria	k__Bacteria.p__Tenericutes	k__Bacteria.p__Deferribacteres	Unassigned.__	k__Archaea.p__Euryarchaeota	k__Bacteria.p__.Thermi.
HEB24009	2633	700895	418	5625	6017	1941	1686	1177	7	74	0	3
HEB24012	3583	518276	550	9062	787	457	247	235	18	11	0	0
HEB24020	191209	307912	450	272	351	92	141	1090	12	0	0	0
HEB24027	360478	235747	441	251	302	97	100	806	10	0	0	0
HEB24028	261473	278778	508	193	314	97	90	1294	11	0	0	0
HEB24029	168220	346258	7438	247	284	91	97	4333	11	0	0	0
HEB24030	167338	255453	336	192	256	70	81	241	7	0	0	0
HEB24031	287765	350530	480	377	328	116	137	294	13	0	0	0
HEB24032	118265	420105	427	392	376	122	131	1172	11	0	0	0
HEB24033	171575	300867	708	248	363	90	85	541	7	0	0	0
HEB24035	3543	572368	530	529	507	186	186	92	14	6	2	0
HEB24041	246841	235894	489	408	343	107	143	1365	10	0	0	0
HEB24045	175555	293527	405	199	320	98	89	872	6	4	0	0
HEB24046	3793	402875	314	114758	16114	47772	7516	36	11	1895	21	0
HEB24055	131217	310042	494	211	393	101	117	398	10	0	0	0
HEB24056	189312	471538	802	305	553	165	188	697	18	0	0	0
HEB24057	151180	411613	638	450	469	132	147	293	12	5	0	0
HEB24064	11027	595860	926	100481	61793	116382	34417	12	9	3975	444	0
HEB24068	147269	482522	537	483	532	128	164	745	12	6	0	0
HEB24071	107687	354221	536	509	470	125	130	503	14	0	0	0
HEB24072	83678	406788	12878	11372	11131	30104	4218	1061	8	285	71	0
HEB24073	36152	534805	929	22613	56960	77239	25898	243	4	781	602	0
HEB24074	6179	534945	451	159071	45519	104153	18344	64	4	2352	123	0
HEB24082	2659	670086	411	4012	4097	2563	532	351	12	26	0	0
HEB24084	253177	256623	621	282	370	128	110	1581	7	4	0	0
HEB24089	209335	225708	1763	203	291	88	93	400	3	3	0	0
HEB24091	200602	1113986	36490	28558	43345	40592	11708	2248	20	895	60	10
HEB24093	57672	321121	350	179	286	86	82	246	13	2	0	0
HEB24101	10989	489583	554	184535	15421	47813	14806	115	3	1713	141	0
HEB24102	7063	419056	240	212826	4564	18397	5451	23	7	1022	48	0
HEB24103	6278	381029	437	51009	30769	62431	21703	72	8	1093	50	37
HEB24104	6574	408937	319	237466	22083	24101	7328	40	24	1538	0	0
HEB24105	16951	423527	429	348	410	101	107	442	10	0	0	0
HEB24114	2254	569051	384	4451	8875	3486	324	425	10	44	0	0
HEB24115	17453	692563	1270	24562	48978	34427	10066	44	5	1482	174	56
HEB24117	2691	634923	413	2835	3250	3092	1615	498	5	42	0	0
HEB24127	110104	354179	659	641	424	101	250	466	11	0	2	0
HEB24128	9885	610521	1378	103264	29008	32632	17286	375	5	1497	1691	0
HEB24129	222711	339836	1674	243	308	104	161	420	9	3	0	0
HEB24130	375998	372564	534	443	445	133	185	1050	13	0	0	0
HEB24131	303527	256654	388	394	301	100	116	274	6	0	0	0
HEB24132	272419	394318	524	385	396	102	140	306	11	4	0	0
HEB24145	120161	1054025	2556	188779	205524	45297	400290	885	31	3494	303	0
HEB24146	50126	2231787	2000	131083	61136	229102	79806	691	30	5835	1226	0
HEB24147	202325	1416910	1442	186199	47320	45261	46006	1735	17	2456	1269	0
HEB24148	45489	2034997	2254	109709	25688	68242	56774	1093	30	3422	1035	0
HEB24149	75739	1410442	2957	105272	54143	123369	44626	1489	30	7947	385	0
HEB24150	98183	1448133	2707	95414	34882	131067	79536	1217	26	5015	830	30
HEB24163	601893	554257	990	663	679	198	254	1758	20	3	0	0
HEB24164	528415	732256	989	613	725	249	247	1930	17	5	0	0
HEB24165	498892	458217	1140	567	685	181	212	3620	17	8	0	0
HEB24166	82114	1059181	1032	777	847	229	274	1098	26	10	0	0
HEB24167	302887	797962	1134	933	871	204	288	1052	22	7	0	0
HEB24168	152589	814692	1152	770	914	249	261	1025	26	6	0	0
HEB24181	20340	1250457	1192	44040	117922	168169	77850	171	19	3140	109	40
HEB24182	34918	762934	1149	154167	408904	290949	13797	198	8	1969	644	0
HEB24183	13253	1242386	998	149662	38425	90336	74560	136	23	4882	223	83
HEB24184	29800	1386019	915	213896	29692	48994	57697	420	11	4259	1194	0
HEB24185	14028	607947	867	50190	48748	141465	51178	181	52	2938	397	24
HEB24186	8990	560159	902	24951	457881	494769	5024	77	20	802	115	45
