feature	k__Bacteria.p__Bacteroidetes	k__Bacteria.p__Firmicutes	k__Bacteria.p__Verrucomicrobia	k__Bacteria.__	k__Bacteria.p__Proteobacteria	k__Bacteria.p__Cyanobacteria	k__Bacteria.p__Actinobacteria	k__Bacteria.p__Tenericutes	k__Bacteria.p__Deferribacteres	Unassigned.__	k__Archaea.p__Euryarchaeota	k__Bacteria.p__.Thermi.
HEB24009	0.00365452839511656	0.972822134255687	0.000580171997401718	0.00780733848178149	0.00835142322575631	0.00269405226544673	0.00234011958760597	0.0016336422032101	9.7157989995503e-06	0.000102709875138103	0	4.16391385695013e-06
HEB24012	0.00671947729480558	0.9719631075754	0.00103145758083814	0.0169946701773732	0.0014759220293084	0.000857047480805512	0.000463218222667312	0.000440713693630843	3.37567935547029e-05	2.06291516167629e-05	0	0
HEB24020	0.381252130983453	0.613946551445679	0.000897256190569239	0.000542341519632962	0.000699859828644007	0.000183439043405267	0.000281140273045028	0.00217335388382327	2.3926831748513e-05	0	0	0
HEB24027	0.602572246218858	0.394072868051191	0.000737172200751548	0.000419569665280359	0.000504820872169994	0.000162144452319501	0.000167159229195362	0.00134730338731462	1.67159229195362e-05	0	0	0
HEB24028	0.481748772012573	0.513632226517159	0.00093596040961165	0.000355591257982379	0.000578526709878067	0.000178716849866791	0.000165819757608363	0.00238411962605802	2.02668592632444e-05	0	0	0
HEB24029	0.31921575622558	0.657062235876572	0.0141144144263813	0.00046870937931113	0.000538920905766643	0.000172682402904101	0.000184068055842832	0.00822233903058756	2.08736970543418e-05	0	0	0
HEB24030	0.394689296985193	0.602520437574002	0.000792501426974296	0.000452857958271026	0.000603810611028035	0.000165104463952978	0.000191049451145589	0.000568431083038111	1.65104463952978e-05	0	0	0
HEB24031	0.449604712205487	0.547668895694019	0.000749953127929504	0.000589025685894632	0.000512467970751828	0.000181238672582964	0.000214049121929879	0.000459346290856821	2.03112305480907e-05	0	0	0
HEB24032	0.218604032155209	0.77653276056791	0.000789277653830584	0.00072458276417234	0.000695007957471428	0.000225507901094453	0.000242143729863716	0.00216635459084179	2.03326796068769e-05	0	0	0
HEB24033	0.361603341735443	0.634093035803104	0.00149214725891706	0.000522673051146087	0.000765041603088829	0.000189679736303015	0.00017914197317507	0.00114018597044368	1.47528683791234e-05	0	0	0
HEB24035	0.00613015019992629	0.990319449514934	0.000917013718871277	0.000915283504307369	0.000877218783901392	0.000321819908886901	0.000321819908886901	0.000159179739879542	2.4223003894713e-05	1.03812873834484e-05	3.46042912781614e-06	0
HEB24041	0.508321663920923	0.4857784184514	0.00100700164744646	0.000840197693574959	0.000706342668863262	0.000220345963756178	0.000294481054365733	0.00281095551894563	2.05930807248764e-05	0	0	0
