feature	k__Bacteria.p__Bacteroidetes	k__Bacteria.p__Firmicutes	k__Bacteria.p__Verrucomicrobia	k__Bacteria.__	k__Bacteria.p__Proteobacteria	k__Bacteria.p__Cyanobacteria	k__Bacteria.p__Actinobacteria	k__Bacteria.p__Tenericutes	k__Bacteria.p__Deferribacteres	Unassigned.__	k__Archaea.p__Euryarchaeota	k__Bacteria.p__.Thermi.
HEB24009	-8.09609904152822	-0.0397520406354379	-10.7512317154934	-7.00095346658252	-6.90376220614442	-8.53600644486061	-8.7392020266322	-9.25769224253583	-16.6512359255167	-13.2491374819453	-19.140617611756	-17.8736283468531
HEB24012	-7.21743527390832	-0.0410265398300879	-9.92109979370703	-5.87877382660567	-9.40416777661157	-10.188337247061	-11.0760203705344	-11.1478706555541	-14.8544626006767	-15.5649559834818	-19.140617611756	-18.8736283468531
HEB24020	-1.39118269345387	-0.703815031019364	-10.1221924076795	-10.8485107576462	-10.480646378592	-12.4124116428395	-11.7964222464977	-8.84586117923222	-15.3510110981754	-19.5616198473859	-19.140617611756	-18.8736283468531
HEB24027	-0.730793869290713	-1.34346567166249	-10.4057107125337	-11.2188020041405	-10.9519408187662	-12.5904327159041	-12.5464893683165	-9.53570952956328	-15.8684174632039	-19.5616198473859	-19.140617611756	-18.8736283468531
HEB24028	-1.05364710582071	-0.961192371442105	-10.0612648733144	-11.4574925228185	-10.7553288111949	-12.4500367178994	-12.5580964637569	-8.71232765809406	-15.5905179414493	-19.5616198473859	-19.140617611756	-18.8736283468531
HEB24029	-1.6473962313362	-0.605898068117378	-6.14668691374518	-11.0590187147725	-10.8576388268525	-12.4995913061585	-12.40747310417	-6.92623542508529	-15.5479543277199	-19.5616198473859	-19.140617611756	-18.8736283468531
HEB24030	-1.34121069751028	-0.730917916305619	-10.3012988465852	-11.1086537686428	-10.693616269364	-12.564333252419	-12.3537662664794	-10.780726933134	-15.8862613473064	-19.5616198473859	-19.140617611756	-18.8736283468531
HEB24031	-1.15327093868826	-0.868624148613029	-10.3809119495633	-10.7293818319032	-10.9302505405538	-12.4298215500443	-12.1897704622113	-11.0881302003355	-15.5873628270308	-19.5616198473859	-19.140617611756	-18.8736283468531
HEB24032	-2.19360808309678	-0.364881304193828	-10.3071794755851	-10.4305618910903	-10.4906828835279	-12.1145343976427	-12.0118487336681	-8.8505148807833	-15.5858401165683	-19.5616198473859	-19.140617611756	-18.8736283468531
HEB24033	-1.46752008449357	-0.65723356296975	-9.38839436352888	-10.901803603225	-10.3521741756161	-12.3641468172822	-12.4466089774742	-9.77651512978506	-16.0486449915543	-19.5616198473859	-19.140617611756	-18.8736283468531
HEB24035	-7.34986186163769	-0.0140341213199849	-10.0907690623054	-10.093493699642	-10.1547756747527	-11.601458800648	-11.601458800648	-12.617055655699	-15.3332626896984	-16.5556551110349	-18.140617611756	-18.8736283468531
HEB24041	-0.97618637725217	-1.04162969771876	-9.95571824107817	-10.2169835540589	-10.4673441298576	-12.1479419096293	-11.729537559252	-8.47472366022319	-15.567480801143	-19.5616198473859	-19.140617611756	-18.8736283468531
HEB24045	-1.42403368370964	-0.682463554715298	-10.183819146724	-11.2089726239524	-10.5236691496087	-12.2308874003808	-12.3698638135296	-9.0774129197191	-16.2606347437749	-16.845597244496	-19.140617611756	-18.8736283468531
HEB24046	-7.2936610573442	-0.562811955916803	-10.8881639647468	-2.37454950902201	-5.2067576734486	-3.63890705682593	-6.30703536221838	-14.0128597121961	-15.7233530950011	-8.29480258057998	-14.7904672908597	-18.8736283468531
HEB24055	-1.75529669228585	-0.514787670534377	-9.80852457755502	-11.0357926204325	-10.1385063068811	-12.0986803263879	-11.8865270895563	-10.120267188596	-15.4349637142523	-19.5616198473859	-19.140617611756	-18.8736283468531
