feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__helveticus	Antibiotics	Non_ABX	-6.32299264706333	0.301637866228195	60	60	1.30581417110808e-27	9.59773415764439e-26
k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta.f__.g__.s__	Antibiotics	Non_ABX	-7.31093628539932	0.346844662762065	60	60	1.00020436946492e-27	9.59773415764439e-26
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__mitochondria.g__Lardizabala.s__biternata	Antibiotics	Non_ABX	-7.21102105980684	0.352282575902065	60	60	4.09796943368586e-27	2.00800502250607e-25
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.__.__.__	Antibiotics	Non_ABX	-7.56016148594333	0.387827563818462	60	37	4.20600942864102e-26	1.54570846502558e-24
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__	Antibiotics	Non_ABX	-6.33892907163626	0.327257287921958	60	60	5.68693180516059e-26	1.67195795071721e-24
Unassigned.__.__.__.__.__.__	Antibiotics	Non_ABX	-8.26300205505838	0.437751713784181	60	44	1.9230904809396e-25	4.71157167830203e-24
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Lactococcus.s__	Antibiotics	Non_ABX	-6.38987121834359	0.34121813860404	60	60	2.79286586978103e-25	5.86501832654016e-24
k__Bacteria.__.__.__.__.__.__	Antibiotics	Non_ABX	-6.18078539961265	0.332791135975743	60	60	4.11365934802583e-25	7.55884905199746e-24
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__.g__.s__	Antibiotics	Non_ABX	-6.45469808702064	0.381797093095854	60	59	3.16892730008142e-23	4.65832313111968e-22
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.__.__.__	Antibiotics	Non_ABX	-8.05209621293427	0.475915241087363	60	39	3.05906491439632e-23	4.65832313111968e-22
k__Bacteria.p__Firmicutes.c__Bacilli.__.__.__.__	Antibiotics	Non_ABX	-8.65652267596359	0.513909124085435	60	32	3.74236825910072e-23	5.00116485534369e-22
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium.s__thermopalmarium	Antibiotics	Non_ABX	-7.50104056737283	0.477495971731624	60	31	8.65111105256013e-22	1.05976110393862e-20
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae.g__.s__	Antibiotics	Non_ABX	-5.71965173596802	0.367077629725585	60	56	1.24253356902609e-21	1.40501872805258e-20
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Paenibacillaceae.__.__	Antibiotics	Non_ABX	-6.19443286860218	0.420243376755658	60	34	1.42159444751421e-20	1.49267416988993e-19
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24.7.g__.s__	Antibiotics	Non_ABX	4.44678743393472	0.302192121735359	60	60	1.5304888163747e-20	1.4998790400472e-19
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Nocardiaceae.g__Rhodococcus.s__	Antibiotics	Non_ABX	-6.15274867353119	0.446596492817626	60	31	2.57263047243737e-19	2.36360424655184e-18
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Corynebacteriaceae.g__Corynebacterium.s__	Antibiotics	Non_ABX	-6.3755712313062	0.465775098220147	60	48	3.38066244701775e-19	2.92327870418594e-18
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Bacillus.s__	Antibiotics	Non_ABX	-5.49285541664645	0.403022609668099	60	59	4.05402429942257e-19	3.3107865111951e-18
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Rhizobiaceae.__.__	Antibiotics	Non_ABX	-5.73216574101671	0.422428226974083	60	36	4.87341245721204e-19	3.77048226952721e-18
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Nocardiopsaceae.g__Prauseria.s__	Antibiotics	Non_ABX	-6.22426698765437	0.488994207340473	60	29	6.86963151908641e-18	5.04917916652851e-17
k__Bacteria.p__Firmicutes.__.__.__.__.__	Antibiotics	Non_ABX	-3.84959802343792	0.305041994059364	60	60	9.7391709990138e-18	6.81741969930966e-17
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Dermabacteraceae.g__Brachybacterium.s__	Antibiotics	Non_ABX	-7.12216053520652	0.566639423423522	60	34	1.14677306763677e-17	7.66252913375481e-17
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Brevibacteriaceae.g__Brevibacterium.s__casei	Antibiotics	Non_ABX	-5.79484315028939	0.475844907467602	60	58	4.0822067658344e-17	2.60906258512025e-16
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae.g__.s__	Antibiotics	Non_ABX	-2.59550366009541	0.217713887272326	60	60	9.48409223409509e-17	5.80900649338324e-16
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Planococcaceae.g__.s__	Antibiotics	Non_ABX	-4.44185976438827	0.380846706686684	60	26	2.23788063309266e-16	1.31587381225848e-15
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Tissierellaceae..g__Anaerococcus.s__	Antibiotics	Non_ABX	-5.71431367314501	0.50579972162274	60	26	7.64442754515208e-16	4.32204172745137e-15
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Methylobacteriaceae.g__Methylobacterium.s__	Antibiotics	Non_ABX	-5.9050850419489	0.53142848400423	60	28	1.43687483598138e-15	7.82298521812084e-15
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae.g__Jeotgalicoccus.s__	Antibiotics	Non_ABX	-4.28678672930846	0.387514517761124	60	35	1.70086047817155e-15	8.92951751040062e-15
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.__.__.__	Antibiotics	Non_ABX	-4.08324046395059	0.372775043007653	60	26	2.466113625594e-15	1.25006449297351e-14
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Tissierellaceae..g__Sporanaerobacter.s__	Antibiotics	Non_ABX	-4.43074388989346	0.424234478708771	60	24	1.43608603016972e-14	7.03682154783164e-14
k__Archaea.p__Euryarchaeota.c__Halobacteria.o__Halobacteriales.f__Halobacteriaceae.__.__	Antibiotics	Non_ABX	-4.68200035463565	0.453774894301544	60	24	2.23244654149276e-14	1.05861174709495e-13
