feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Intrasporangiaceae.g__	Hormone	PGH	-0.943669466563037	0.277691865424039	54	16	0.00397819436519374	0.676293042082935
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24.7.g__	Hormone	PL	0.16090831537048	0.189298557206284	54	54	0.408674546313215	0.924840790668106
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__	Hormone	PL	-0.608121344715343	0.674621021353539	54	54	0.381607608643302	0.924840790668106
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__.Exiguobacteraceae..g__	Hormone	PGH	0.0526242966691224	0.0885176793699675	54	54	0.554908985604572	0.924840790668106
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus	Hormone	PGH	0.0500329029908211	0.0817694249276497	54	54	0.543447391072364	0.924840790668106
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Bacillus	Hormone	PGH	0.219312734433173	0.132901192490971	54	54	0.105299793044527	0.924840790668106
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus	Hormone	PGH	0.0893393406071745	0.0914853635059188	54	54	0.344282760424329	0.924840790668106
k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae.g__Turicibacter	Hormone	PGH	0.765936834809412	0.574518328321456	54	54	0.202367428799531	0.924840790668106
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae.g__Akkermansia	Hormone	PGH	0.483637149768413	0.844490009090171	54	54	0.575334281490158	0.924840790668106
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae.g__Akkermansia	Hormone	PL	1.56939916600734	0.844490009090171	54	54	0.0828475008260024	0.924840790668106
k__Bacteria.__.__.__.__.__	Hormone	PGH	0.324572639095131	0.251859212934401	54	54	0.217022260691518	0.924840790668106
k__Bacteria.__.__.__.__.__	Hormone	PL	0.371618047548561	0.251859212934401	54	54	0.16075957638876	0.924840790668106
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__	Hormone	PGH	0.645971593565153	0.940107303563674	54	54	0.502489817498026	0.924840790668106
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__	Hormone	PL	-1.8314669602558	0.940107303563673	54	54	0.0703599062720591	0.924840790668106
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.__.__	Hormone	PGH	-0.256049921617082	0.234808537107753	54	54	0.280842914540689	0.924840790668106
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.__.__	Hormone	PL	-0.266203978580073	0.234808537107753	54	54	0.262434047674744	0.924840790668106
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae.g__	Hormone	PGH	0.0724182549647342	0.108745856452074	54	54	0.508572333126605	0.924840790668106
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__	Hormone	PGH	0.0751990684124415	0.100903818894648	54	54	0.467634151387452	0.924840790668106
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__mitochondria.g__Lardizabala	Hormone	PGH	0.100173831203154	0.126169422184873	54	54	0.439597697929339	0.924840790668106
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__mitochondria.g__Lardizabala	Hormone	PL	0.0902304892390531	0.126169422184873	54	54	0.485497453927195	0.924840790668106
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Lactococcus	Hormone	PGH	0.0920125365395852	0.0988215383596122	54	54	0.356367827308362	0.924840790668106
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.__	Hormone	PGH	0.231978849742846	0.331792625360786	54	54	0.495146453073973	0.924840790668106
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.__	Hormone	PGH	0.190832434976879	0.338013471315425	54	54	0.574941458528447	0.924840790668106
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus	Hormone	PGH	-0.370191950371169	0.47266973754805	54	54	0.445703810354304	0.924840790668106
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Parabacteroides	Hormone	PL	0.092348342368224	0.0891781438687447	54	54	0.316819649584633	0.924840790668106
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__	Hormone	PL	0.348186445014482	0.30484219041019	54	54	0.271281759357823	0.924840790668106
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__SMB53	Hormone	PGH	2.43561670459447	1.04636319903582	54	54	0.0343331149974384	0.924840790668106
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__SMB53	Hormone	PL	0.616330324761138	1.04636319903582	54	54	0.564612934166277	0.924840790668106
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.__	Hormone	PGH	0.133988888251353	0.229486245152613	54	54	0.561989713121384	0.924840790668106
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.__	Hormone	PL	0.324830352851243	0.229486245152613	54	54	0.163256156163372	0.924840790668106
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.__.__	Hormone	PGH	-0.149136454409486	0.106626771508413	54	54	0.168207511889209	0.924840790668106
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.__.__	Hormone	PL	0.0946047342768897	0.106626771508413	54	54	0.379277992482371	0.924840790668106
k__Bacteria.p__Firmicutes.c__Clostridia.__.__.__	Hormone	PL	0.498295226743755	0.412930150018729	54	54	0.233329763238769	0.924840790668106
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae.g__Acinetobacter	Hormone	PGH	-0.0663762064216055	0.1075040560649	54	54	0.539698411629816	0.924840790668106
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae.g__Acinetobacter	Hormone	PL	0.0604033456764594	0.1075040560649	54	54	0.57666543418129	0.924840790668106
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Allobaculum	Hormone	PGH	-0.995229572461835	1.73116751669264	54	54	0.573888527572615	0.924840790668106
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__.g__	Hormone	PGH	-0.413213442850276	0.47386759148406	54	48	0.396950686091628	0.924840790668106
k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39.f__.g__	Hormone	PGH	0.472362613403064	0.360335584186828	54	54	0.20960825090847	0.924840790668106
k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39.f__.g__	Hormone	PL	0.263328498318234	0.360335584186828	54	54	0.4761701686977	0.924840790668106
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__	Hormone	PGH	0.652024913151628	0.294222278738712	54	54	0.0425662332317538	0.924840790668106
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__	Hormone	PL	0.627225834655526	0.294222278738712	54	54	0.0499659945824955	0.924840790668106
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium	Hormone	PGH	-0.0997532316782228	0.119289317517508	54	54	0.40692691525497	0.924840790668106
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium	Hormone	PL	-0.126803253140493	0.119289317517508	54	54	0.292794382707808	0.924840790668106
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae.g__	Hormone	PGH	-0.241084571477582	0.247618365904418	54	49	0.345688541306735	0.924840790668106
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae.g__	Hormone	PL	-0.230217334519524	0.247618365904418	54	49	0.36723409403851	0.924840790668106
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32.f__.g__	Hormone	PGH	0.207271344797189	0.132203518570103	54	54	0.12310746257609	0.924840790668106
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Candidatus.Arthromitus	Hormone	PGH	-0.114713843936155	0.168661765960699	54	54	0.506777423679782	0.924840790668106
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Candidatus.Arthromitus	Hormone	PL	-0.167717895059125	0.168661765960699	54	54	0.335797934067736	0.924840790668106
k__Bacteria.p__Firmicutes.__.__.__.__	Hormone	PGH	0.112561617206986	0.177480602118039	54	54	0.528887660397204	0.924840790668106
