feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24.7.g__	Hormone	PGH	-0.15612198325317	0.182056590055501	36	36	0.404636736054144	0.912442811090772
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__	Hormone	PGH	-0.443265109176515	0.889852987088822	36	36	0.625614345192895	0.912442811090772
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__	Hormone	PL	-0.70050967241947	0.889852987088822	36	36	0.443414853092844	0.912442811090772
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__.Exiguobacteraceae..g__	Hormone	PGH	0.0934029139629713	0.133466149571782	36	36	0.494747963474296	0.912442811090772
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus	Hormone	PGH	0.0835332992582495	0.116908375659088	36	36	0.485878006057137	0.912442811090772
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Bacillus	Hormone	PGH	0.140259498457973	0.0989701313522687	36	36	0.165800030821739	0.912442811090772
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus	Hormone	PGH	0.0769176010063657	0.143920104142902	36	36	0.600865175197725	0.912442811090772
k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae.g__Turicibacter	Hormone	PGH	0.306597330063745	0.473230961990719	36	36	0.526855115397821	0.912442811090772
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae.g__Akkermansia	Hormone	PGH	0.700893885832023	0.98544679293535	36	36	0.487846367717529	0.912442811090772
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae.g__Akkermansia	Hormone	PL	1.5822938116012	0.98544679293535	36	36	0.129190830989097	0.912442811090772
k__Bacteria.__.__.__.__.__	Hormone	PGH	0.336785884926987	0.246070038929896	36	36	0.191255836567384	0.912442811090772
k__Bacteria.__.__.__.__.__	Hormone	PL	0.380362093192369	0.246070038929896	36	36	0.142999823884039	0.912442811090772
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__	Hormone	PL	-2.0683650666571	1.12181424721378	36	36	0.0850617955004296	0.912442811090772
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.__.__	Hormone	PL	-0.231136950278414	0.360665426855575	36	36	0.531281826676008	0.912442811090772
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae.g__	Hormone	PGH	0.128135967623937	0.164777188858492	36	36	0.448878836752138	0.912442811090772
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.g__	Hormone	PGH	0.224782406673248	0.51388530327415	36	36	0.66804095730492	0.912442811090772
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__	Hormone	PGH	0.147834393815645	0.116196546546694	36	36	0.222640976432077	0.912442811090772
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__	Hormone	PL	0.065304413023872	0.116196546546694	36	36	0.582404771196345	0.912442811090772
k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta.f__.g__	Hormone	PGH	0.0808972664411863	0.0951757210224166	36	36	0.408699829418321	0.912442811090772
k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta.f__.g__	Hormone	PL	-0.0830894026537702	0.0951757210224166	36	36	0.396418091800705	0.912442811090772
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__mitochondria.g__Lardizabala	Hormone	PGH	0.159383730726567	0.146389020677689	36	36	0.293440110677231	0.912442811090772
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__mitochondria.g__Lardizabala	Hormone	PL	0.0757804211354435	0.146389020677689	36	36	0.612242232669676	0.912442811090772
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides	Hormone	PGH	0.039934906798753	0.0856245201606621	36	36	0.647633738422214	0.912442811090772
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides	Hormone	PL	-0.0312418025584982	0.0856245201606621	36	36	0.720301715430891	0.912442811090772
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Lactococcus	Hormone	PGH	0.127746122458561	0.127167808856431	36	36	0.322424192225394	0.912442811090772
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Lactococcus	Hormone	PL	0.0603965734553498	0.127167808856431	36	36	0.637960884954785	0.912442811090772
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.__	Hormone	PGH	0.221265816587346	0.317678240897891	36	36	0.496762365181207	0.912442811090772
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.__	Hormone	PGH	0.320131263414497	0.447001031570899	36	36	0.484884233308262	0.912442811090772
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Epulopiscium	Hormone	PGH	0.327254978144343	0.417629020535439	36	36	0.445471172562927	0.912442811090772
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Epulopiscium	Hormone	PL	0.220454050908525	0.417629020535439	36	36	0.605310761634599	0.912442811090772
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus	Hormone	PGH	-0.300611575144046	0.504658405779478	36	36	0.560274605087346	0.912442811090772
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Parabacteroides	Hormone	PL	0.0423240178686246	0.116701456807974	36	36	0.72191149713066	0.912442811090772
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__	Hormone	PGH	0.549852737126435	0.400390339432248	36	36	0.1898419282874	0.912442811090772
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__	Hormone	PL	0.504388184228528	0.400390339432248	36	36	0.22701119120634	0.912442811090772
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospira	Hormone	PGH	0.306530966445562	0.63525979910972	36	36	0.636396508922703	0.912442811090772
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__SMB53	Hormone	PGH	2.44035185554241	1.25369330631949	36	36	0.0705689640169507	0.912442811090772
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__SMB53	Hormone	PL	0.851550841291991	1.25369330631949	36	36	0.507336161950081	0.912442811090772
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium	Hormone	PGH	0.07752642860595	0.176884322505755	36	36	0.667423364395424	0.912442811090772
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.__	Hormone	PGH	0.321549192128076	0.257905963934727	36	36	0.231600321655934	0.912442811090772
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.__	Hormone	PL	0.438909633850258	0.257905963934727	36	36	0.109417770241296	0.912442811090772
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.__.__	Hormone	PGH	-0.172425697079038	0.130921287971205	36	36	0.207598842938853	0.912442811090772
k__Bacteria.p__Firmicutes.c__Clostridia.__.__.__	Hormone	PGH	0.616153776741457	0.505603832612175	36	36	0.231885524888544	0.912442811090772
k__Bacteria.p__Firmicutes.c__Clostridia.__.__.__	Hormone	PL	0.991794353084533	0.505603832612175	36	36	0.0585575776590132	0.912442811090772
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Oscillospira	Hormone	PGH	0.331233972644745	0.542613635863173	36	36	0.550708139530972	0.912442811090772
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Oscillospira	Hormone	PL	0.201504714587293	0.542613635863173	36	36	0.715563416286268	0.912442811090772
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae.g__Pseudoramibacter_Eubacterium	Hormone	PGH	0.442705879558219	0.606643878081057	36	36	0.476777662806626	0.912442811090772
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae.g__Pseudoramibacter_Eubacterium	Hormone	PL	0.252387061115665	0.606643878081057	36	36	0.683273150797737	0.912442811090772
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptococcaceae.g__rc4.4	Hormone	PGH	0.080279852809691	0.155661691740567	36	36	0.609479264889504	0.912442811090772
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae.g__Acinetobacter	Hormone	PL	0.081181087319789	0.146967999224368	36	36	0.58441533989087	0.912442811090772
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Allobaculum	Hormone	PGH	-1.20248519191829	1.80899539788113	36	36	0.516316138311057	0.912442811090772
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__.g__	Hormone	PGH	-0.693844833988699	0.717351786192213	36	30	0.348765940325951	0.912442811090772
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__.g__	Hormone	PL	-0.294974087087389	0.717351786192213	36	30	0.686741636299274	0.912442811090772
k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39.f__.g__	Hormone	PGH	0.488786875636145	0.360757947316097	36	36	0.184941631304134	0.912442811090772
k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39.f__.g__	Hormone	PL	0.250827481081047	0.360757947316097	36	36	0.491898841246905	0.912442811090772
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Catenibacterium	Hormone	PGH	-0.191987189812055	0.296001705818389	36	36	0.526401753643356	0.912442811090772
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__	Hormone	PGH	0.822262599903413	0.336938506264662	36	36	0.0275561320726953	0.912442811090772
