feature	k__Bacteria	Unassigned
HEB24001	289062	0
HEB24002	371172	0
HEB24003	289750	0
HEB24004	398767	0
HEB24005	468078	4
HEB24006	402603	4
HEB24007	402673	5
HEB24008	488316	3
HEB24027	598232	0
HEB24028	542758	0
HEB24029	526979	0
HEB24030	423974	0
HEB24031	640040	0
HEB24032	541001	0
HEB24055	442983	0
HEB24056	663578	0
HEB24097	490553	0
HEB24098	394936	0
HEB24099	819420	3
HEB24100	481505	4
HEB24129	565466	3
HEB24130	751365	0
HEB24131	561760	0
HEB24132	668601	4
HEB24133	432057	0
HEB24134	605655	0
HEB24135	527831	0
HEB24136	633566	3
HEB24137	556628	3
HEB24138	656463	0
HEB24139	601570	3
HEB24140	718960	0
HEB24141	468099	3
HEB24142	528161	0
HEB24143	359481	0
HEB24144	387077	0
HEB24163	1160712	3
HEB24164	1265441	5
HEB24165	963531	8
HEB24166	1145578	10
HEB24167	1105353	7
HEB24168	971678	6
HEB24169	1335670	4
HEB24170	1347733	10
HEB24171	1014684	7
HEB24172	1361003	13
HEB24173	1251365	9
HEB24174	1499896	5
HEB24175	1165041	0
HEB24176	894135	6
HEB24177	1028205	0
HEB24178	1354345	18
HEB24179	1518668	9
HEB24180	1223568	11
