feature	k__Bacteria	Unassigned
HEB24001	1	0
HEB24002	1	0
HEB24003	1	0
HEB24004	1	0
HEB24005	0.999991454488743	8.5455112565747e-06
HEB24006	0.999990064752972	9.93524702749828e-06
HEB24007	0.999987583130938	1.24168690616324e-05
HEB24008	0.999993856474968	6.14352503179274e-06
HEB24027	1	0
HEB24028	1	0
HEB24029	1	0
HEB24030	1	0
HEB24031	1	0
HEB24032	1	0
HEB24055	1	0
HEB24056	1	0
HEB24097	1	0
HEB24098	1	0
HEB24099	0.999996338887241	3.66111275861185e-06
HEB24100	0.999991692782482	8.3072175182603e-06
HEB24129	0.999994694669381	5.30533061936198e-06
HEB24130	1	0
HEB24131	1	0
HEB24132	0.999994017394426	5.98260557429274e-06
HEB24133	1	0
HEB24134	1	0
HEB24135	1	0
HEB24136	0.999995264919843	4.73508015701526e-06
HEB24137	0.999994610433124	5.38956687644059e-06
HEB24138	1	0
HEB24139	0.999995013074057	4.98692594248745e-06
HEB24140	1	0
HEB24141	0.999993591140392	6.40885960752144e-06
HEB24142	1	0
HEB24143	1	0
HEB24144	1	0
HEB24163	0.999997415386206	2.58461379408382e-06
HEB24164	0.999996048823893	3.95117610708003e-06
HEB24165	0.999991697274319	8.30272568105702e-06
HEB24166	0.999991270858284	8.72914171586993e-06
HEB24167	0.999993667221539	6.33277846131577e-06
HEB24168	0.999993825153033	6.17484696670934e-06
HEB24169	0.999997005257271	2.994742729139e-06
HEB24170	0.999992580187766	7.4198122342316e-06
HEB24171	0.999993101348095	6.89865190486562e-06
HEB24172	0.999990448312143	9.5516878567188e-06
HEB24173	0.99999280790555	7.1920944497808e-06
HEB24174	0.999996666446652	3.33355334785429e-06
HEB24175	1	0
HEB24176	0.999993289648948	6.71035105201529e-06
HEB24177	1	0
HEB24178	0.999986709619208	1.32903807915603e-05
HEB24179	0.999994073789226	5.92621077424627e-06
HEB24180	0.99999100997974	8.99002026023657e-06
