feature	k__Bacteria	Unassigned
HEB24001	0	-19.5616198473859
HEB24002	0	-19.5616198473859
HEB24003	0	-19.5616198473859
HEB24004	0	-19.5616198473859
HEB24005	-1.2328619389038e-05	-16.8364017620032
HEB24006	-1.43336028206789e-05	-16.6190127305945
HEB24007	-1.79138666358587e-05	-16.2973390334623
HEB24008	-8.86326032282794e-06	-17.3125018865927
HEB24027	0	-19.5616198473859
HEB24028	0	-19.5616198473859
HEB24029	0	-19.5616198473859
HEB24030	0	-19.5616198473859
HEB24031	0	-19.5616198473859
HEB24032	0	-19.5616198473859
HEB24055	0	-19.5616198473859
HEB24056	0	-19.5616198473859
HEB24097	0	-19.5616198473859
HEB24098	0	-19.5616198473859
HEB24099	-5.28187888978502e-06	-18.0592863614329
HEB24100	-1.19848312974779e-05	-16.877203238516
HEB24129	-7.65399447835402e-06	-17.5241259090322
HEB24130	0	-19.5616198473859
HEB24131	0	-19.5616198473859
HEB24132	-8.63110121186101e-06	-17.3507946182767
HEB24133	0	-19.5616198473859
HEB24134	0	-19.5616198473859
HEB24135	0	-19.5616198473859
HEB24136	-6.83129283404484e-06	-17.6881797210012
HEB24137	-7.7755223585716e-06	-17.5013992314705
HEB24138	0	-19.5616198473859
HEB24139	-7.19463126612936e-06	-17.6134177906643
HEB24140	0	-19.5616198473859
HEB24141	-9.24605960196836e-06	-17.2515009027987
HEB24142	0	-19.5616198473859
HEB24143	0	-19.5616198473859
HEB24144	0	-19.5616198473859
HEB24163	-3.72881432213409e-06	-18.5616198473859
HEB24164	-5.70035343691421e-06	-17.9492864195034
HEB24165	-1.19783508925143e-05	-16.8779835363578
HEB24166	-1.25935444302456e-05	-16.8057287600434
HEB24167	-9.13629701025915e-06	-17.2687299586297
HEB24168	-8.90844860135215e-06	-17.3051651869759
HEB24169	-4.32050695346704e-06	-18.349136499311
HEB24170	-1.0704566027559e-05	-17.0401858908569
HEB24171	-9.952685222028e-06	-17.145254103112
HEB24172	-1.37802385154519e-05	-16.6758128783372
HEB24173	-1.03760363090503e-05	-17.0851566022349
HEB24174	-4.80930889946726e-06	-18.1945077541429
HEB24175	0	-19.5616198473859
HEB24176	-9.68102266697118e-06	-17.1851803263334
HEB24177	0	-19.5616198473859
HEB24178	-1.91740938753021e-05	-16.1992580336131
HEB24179	-8.5497402290375e-06	-17.3644586305794
HEB24180	-1.2969915946908e-05	-16.7632442022708
