feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Firmicutes	Hormone	PGH	0.110867838541694	0.0865885899620812	54	54	0.206433356494286	0.799451016527831
k__Bacteria.p__Verrucomicrobia	Hormone	PL	1.56939808999657	0.844491540597305	54	54	0.0828482048943698	0.799451016527831
k__Bacteria.__	Hormone	PGH	0.324575850376836	0.251858249129676	54	54	0.21701627148422	0.799451016527831
k__Bacteria.__	Hormone	PL	0.371616971537529	0.251858249129676	54	54	0.16075921224435	0.799451016527831
k__Bacteria.p__Tenericutes	Hormone	PGH	0.472365824684718	0.360335905824315	54	54	0.209605699916709	0.799451016527831
Unassigned.__	Hormone	PL	0.435737973595207	0.366209857696825	54	28	0.239835304958349	0.799451016527831
k__Bacteria.p__Bacteroidetes	Hormone	PL	0.159932082648478	0.188413026432891	54	54	0.409316475111604	0.824856286276016
k__Bacteria.p__Proteobacteria	Hormone	PGH	0.0659592143615121	0.0942878573356204	54	54	0.49491377176561	0.824856286276016
k__Bacteria.p__Actinobacteria	Hormone	PL	0.0672024022668482	0.0921459040727506	54	54	0.469287465002052	0.824856286276016
k__Bacteria.p__Tenericutes	Hormone	PL	0.263327422307167	0.360335905824315	54	54	0.476172326816726	0.824856286276016
k__Bacteria.p__Deferribacteres	Hormone	PL	-0.177857776803547	0.20492776198224	54	52	0.399119420441719	0.824856286276016
Unassigned.__	Hormone	PGH	0.312868153217398	0.366209857696825	54	28	0.397073725901466	0.824856286276016
k__Bacteria.p__Bacteroidetes	Hormone	PGH	-0.106282236716063	0.188413026432891	54	54	0.58103006837869	0.830042954826701
k__Bacteria.p__Verrucomicrobia	Hormone	PGH	0.483640361050336	0.844491540597305	54	54	0.575332461200873	0.830042954826701
k__Bacteria.p__Proteobacteria	Hormone	PL	0.0447904247273868	0.0942878573356205	54	54	0.641601949699212	0.855469266265616
k__Bacteria.p__Firmicutes	Hormone	PL	-0.032176752610923	0.0865885899620812	54	54	0.711789074422841	0.882253169312361
k__Bacteria.p__Actinobacteria	Hormone	PGH	-0.0295372848551353	0.0921459040727506	54	54	0.749915193915507	0.882253169312361
k__Bacteria.p__Cyanobacteria	Hormone	PGH	0.0112759850292529	0.0782043778480298	54	54	0.885921770501861	0.885921770501861
k__Bacteria.p__Cyanobacteria	Hormone	PL	-0.0129506428054924	0.0782043778480298	54	54	0.869126484701545	0.885921770501861
k__Bacteria.p__Deferribacteres	Hormone	PGH	0.0429637981698396	0.20492776198224	54	52	0.83675914880725	0.885921770501861
