feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Intrasporangiaceae.g__.s__	Hormone	PGH	-0.943671296632719	0.277692988062226	54	16	0.00397824910828614	0.724041337708078
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24.7.g__.s__	Hormone	PL	0.160906125257213	0.189298871155338	54	54	0.408681544126796	0.897057391304251
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__.s__	Hormone	PL	-0.60812353482862	0.674621086242088	54	54	0.381605982845885	0.897057391304251
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__.Exiguobacteraceae..g__.s__	Hormone	PGH	0.052623461999663	0.088517987832164	54	54	0.554916613965485	0.897057391304251
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__	Hormone	PGH	0.0500320683213565	0.0817697553517598	54	54	0.543455712660812	0.897057391304251
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Bacillus.s__cereus	Hormone	PGH	0.218271997289747	0.133719814135467	54	54	0.109025357502697	0.897057391304251
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__	Hormone	PGH	0.0669036497198566	0.092860133670492	54	54	0.482308669960924	0.897057391304251
k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae.g__Turicibacter.s__	Hormone	PGH	0.765936000139944	0.574517975986494	54	54	0.202367632302409	0.897057391304251
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae.g__Akkermansia.s__muciniphila	Hormone	PGH	0.483636315099124	0.844490021227476	54	54	0.575334941255574	0.897057391304251
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae.g__Akkermansia.s__muciniphila	Hormone	PL	1.56939697589425	0.844490021227476	54	54	0.0828478973614996	0.897057391304251
k__Bacteria.__.__.__.__.__.__	Hormone	PGH	0.324571804425662	0.251858642611408	54	54	0.217022396064354	0.897057391304251
k__Bacteria.__.__.__.__.__.__	Hormone	PL	0.371615857435274	0.251858642611408	54	54	0.160760998671057	0.897057391304251
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__.s__	Hormone	PGH	0.645970758895701	0.940107438092966	54	54	0.502490421429291	0.897057391304251
