feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24.7.g__.s__	Hormone	PGH	-0.156122887512515	0.182056147403113	36	36	0.404632962707969	0.907791177334677
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__.s__	Hormone	PGH	-0.443266013435859	0.889852129069041	36	36	0.625613315325682	0.907791177334677
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__.s__	Hormone	PL	-0.700512933729936	0.889852129069041	36	36	0.443412341940425	0.907791177334677
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__.Exiguobacteraceae..g__.s__	Hormone	PGH	0.0934020097036252	0.133466946727371	36	36	0.49475461168756	0.907791177334677
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__	Hormone	PGH	0.0835323949989147	0.116909398603745	36	36	0.485886403344569	0.907791177334677
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Bacillus.s__cereus	Hormone	PGH	0.136479475421948	0.0982652306246393	36	36	0.174169477578723	0.907791177334677
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__	Hormone	PGH	0.0567859528478259	0.147717190861224	36	36	0.706059804593638	0.907791177334677
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__	Hormone	PL	-0.0603659952061462	0.147717190861224	36	36	0.688564439335352	0.907791177334677
k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae.g__Turicibacter.s__	Hormone	PGH	0.306596425804405	0.473230623309595	36	36	0.526856026003912	0.907791177334677
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae.g__Akkermansia.s__muciniphila	Hormone	PGH	0.700892981572602	0.985446386992393	36	36	0.487846743633816	0.907791177334677
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae.g__Akkermansia.s__muciniphila	Hormone	PL	1.58229055029065	0.985446386992393	36	36	0.129191415216001	0.907791177334677
k__Bacteria.__.__.__.__.__.__	Hormone	PGH	0.336784980667648	0.24606933620473	36	36	0.191255747441662	0.907791177334677
k__Bacteria.__.__.__.__.__.__	Hormone	PL	0.3803588318819	0.24606933620473	36	36	0.143001931797712	0.907791177334677
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__.s__	Hormone	PL	-2.06836832796754	1.12181418570916	36	36	0.0850613378903304	0.907791177334677
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__helveticus	Hormone	PGH	0.126643796542984	0.140353477417385	36	36	0.38114794312854	0.907791177334677
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.__.__.__	Hormone	PL	-0.231140211588867	0.360667298340198	36	36	0.531278218858872	0.907791177334677
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae.g__.s__	Hormone	PGH	0.128135063364596	0.164771602017977	36	36	0.448866106420519	0.907791177334677
