feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24.7.g__	Fat_percentage	Fat_percentage	-1.06047443409336	0.305379582866173	12	12	0.011948582355273	0.477943294210922
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__	Fat_percentage	Fat_percentage	2.26243779647098	0.633893147339331	12	12	0.00910768783542672	0.477943294210922
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus	Fat_percentage	Fat_percentage	0.350202636107413	0.0915380671143445	12	12	0.00649346849607485	0.477943294210922
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospira	Fat_percentage	Fat_percentage	-1.60804234481243	0.472399174255663	12	12	0.0113804951028684	0.477943294210922
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Catenibacterium	Free_water_percentage	Free_water_percentage	0.518163993332912	0.149940972401447	12	12	0.0106078789318311	0.477943294210922
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Acidaminococcus	Total_water_percentage	Total_water_percentage	5.16901293533529	1.51765161168943	12	4	0.0113505209299176	0.477943294210922
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Acidaminococcus	Lean_mass_percentage	Lean_mass_percentage	-5.02864305493873	1.44386099557198	12	4	0.0102278757166829	0.477943294210922
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae.g__Gallibacterium	Lean_mass_percentage	Lean_mass_percentage	3.77448289919154	0.853580590904378	12	3	0.0098742767984135	0.477943294210922
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__	Free_water_percentage	Free_water_percentage	1.38235442163101	0.453670556303721	12	12	0.0186607402385612	0.480182537552824
k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae.g__Turicibacter	Fat_percentage	Fat_percentage	-2.01593016880369	0.648507544921726	12	12	0.0171155000932681	0.480182537552824
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Epulopiscium	Total_water_percentage	Total_water_percentage	4.2454315770409	1.33512511944648	12	12	0.0195074155880835	0.480182537552824
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.__.__	Fat_percentage	Fat_percentage	-0.429392511965126	0.135946157800086	12	12	0.0159605813127943	0.480182537552824
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae.g__Gallibacterium	Total_water_percentage	Total_water_percentage	-3.72025001541002	0.947903886757125	12	3	0.0148193651507212	0.480182537552824
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Epulopiscium	Lean_mass_percentage	Lean_mass_percentage	-3.84249471238126	1.21689874528746	12	12	0.0216122991859551	0.493995409964689
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus	Free_water_percentage	Free_water_percentage	0.173510962383091	0.0655128171128524	12	12	0.0330133022392054	0.529304607345614
k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae.g__Turicibacter	Total_water_percentage	Total_water_percentage	-9.37815291736487	3.73317594648771	12	12	0.0402723866428616	0.529304607345614
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.__	Lean_mass_percentage	Lean_mass_percentage	-5.1501285610462	2.04773822358722	12	12	0.0401007053707407	0.529304607345614
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__	Total_water_percentage	Total_water_percentage	5.36710472072388	1.94268357216893	12	12	0.0279857782057504	0.529304607345614
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__	Lean_mass_percentage	Lean_mass_percentage	-5.21526176069631	1.84822723145973	12	12	0.0257080995176195	0.529304607345614
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospira	Total_water_percentage	Total_water_percentage	-6.74313361046551	2.71939663351913	12	12	0.0422321728750154	0.529304607345614
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospira	Lean_mass_percentage	Lean_mass_percentage	6.60250778581862	2.58717527816359	12	12	0.0379917590459649	0.529304607345614
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Oscillospira	Total_water_percentage	Total_water_percentage	4.73901506566655	1.8882069536765	12	12	0.0421627241001159	0.529304607345614
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Oscillospira	Lean_mass_percentage	Lean_mass_percentage	-4.8555339311551	1.78763810505436	12	12	0.0322172800725153	0.529304607345614
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella	Free_water_percentage	Free_water_percentage	0.603803654988265	0.22944734072442	12	11	0.0446600762447862	0.529304607345614
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales.f__Xanthomonadaceae.g__Stenotrophomonas	Fat_percentage	Fat_percentage	-0.640994781625197	0.244610889995727	12	3	0.0343858328360946	0.529304607345614
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Acidaminococcus	Free_water_percentage	Free_water_percentage	-0.464770326175877	0.188683185090113	12	4	0.043259951189427	0.529304607345614
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae.g__Gallibacterium	Free_water_percentage	Free_water_percentage	0.272319315258294	0.0784198712410577	12	3	0.0327930679430084	0.529304607345614
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.__	Free_water_percentage	Free_water_percentage	0.481904114685413	0.186447687312826	12	12	0.046591366948073	0.532472765120834
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Acidaminococcus	Fat_percentage	Fat_percentage	0.624718230678344	0.263638396596117	12	4	0.0496352184802563	0.547698962540759
k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae.g__Turicibacter	Lean_mass_percentage	Lean_mass_percentage	8.175646829515	3.55166304125676	12	12	0.0548356738008943	0.549732081480756
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.__	Total_water_percentage	Total_water_percentage	5.03016777161098	2.15239086371613	12	12	0.0520733565888364	0.549732081480756
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae.g__Acinetobacter	Total_water_percentage	Total_water_percentage	-1.85847783947102	0.820974187760808	12	12	0.0580099354161401	0.549732081480756
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae.g__Acinetobacter	Lean_mass_percentage	Lean_mass_percentage	1.73503763680108	0.781057127307151	12	12	0.0617498590956058	0.549732081480756
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Catenibacterium	Fat_percentage	Fat_percentage	0.469342511690363	0.209505672321043	12	12	0.0600568168838234	0.549732081480756
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae.g__Sutterella	Lean_mass_percentage	Lean_mass_percentage	-1.09122475962305	0.449474515011008	12	12	0.0580289644420343	0.549732081480756
