feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32.f__.g__	Free_water_percentage	Free_water_percentage	-3.36050355128605	0.024527492641345	6	6	0.00464644934259036	0.394943306941288
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32.f__.g__	Total_water_percentage	Total_water_percentage	-46.0184826296315	0.344436619244521	6	6	0.00476484784036721	0.394943306941288
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32.f__.g__	Fat_percentage	Fat_percentage	-7.85390561758486	0.0579431771029882	6	6	0.00469665727806907	0.394943306941288
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32.f__.g__	Lean_mass_percentage	Lean_mass_percentage	42.1241084754694	0.318698332755299	6	6	0.00481638179196693	0.394943306941288
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24.7.g__	Free_water_percentage	Free_water_percentage	1.12184558338272	0.0565591348739965	6	6	0.0320687654694527	0.992659214670578
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24.7.g__	Total_water_percentage	Total_water_percentage	14.3835181627124	0.794253105617319	6	6	0.0351182674589812	0.992659214670578
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24.7.g__	Fat_percentage	Fat_percentage	2.39603367518631	0.133613982346956	6	6	0.0354641491257481	0.992659214670578
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24.7.g__	Lean_mass_percentage	Lean_mass_percentage	-13.3732025931307	0.734901942485561	6	6	0.0349492205811939	0.992659214670578
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__	Free_water_percentage	Free_water_percentage	10.2187085109279	3.41483253743301	6	6	0.205314636933991	0.992659214670578
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__	Total_water_percentage	Total_water_percentage	126.641748296467	47.9540812295241	6	6	0.230440439264162	0.992659214670578
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__	Fat_percentage	Fat_percentage	23.4436502140411	8.06712081772241	6	6	0.210985461638749	0.992659214670578
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__	Lean_mass_percentage	Lean_mass_percentage	-115.365659783519	44.3706762950543	6	6	0.233746606954126	0.992659214670578
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__.Exiguobacteraceae..g__	Free_water_percentage	Free_water_percentage	-0.476333372273607	1.38085708770465	6	6	0.788531962041152	0.992659214670578
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__.Exiguobacteraceae..g__	Total_water_percentage	Total_water_percentage	-2.35610289398695	19.3912094441768	6	6	0.923025682814837	0.992659214670578
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__.Exiguobacteraceae..g__	Fat_percentage	Fat_percentage	-0.573297525672562	3.26210460876525	6	6	0.889248451634	0.992659214670578
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__.Exiguobacteraceae..g__	Lean_mass_percentage	Lean_mass_percentage	2.11531791660776	17.9421866743522	6	6	0.925289739248405	0.992659214670578
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus	Free_water_percentage	Free_water_percentage	-0.288412916714749	1.30201302714228	6	6	0.861221298664379	0.992659214670578
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus	Total_water_percentage	Total_water_percentage	-2.05015474787922	18.284011816408	6	6	0.928913845457381	0.992659214670578
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus	Fat_percentage	Fat_percentage	-0.430602037335976	3.07584523723116	6	6	0.911452081383884	0.992659214670578
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus	Lean_mass_percentage	Lean_mass_percentage	1.84056463359483	16.9177252254665	6	6	0.931010266797471	0.992659214670578
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Bacillus	Free_water_percentage	Free_water_percentage	-1.03208095677517	0.671239373177607	6	6	0.367099537948396	0.992659214670578
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Bacillus	Total_water_percentage	Total_water_percentage	-11.1223497532565	9.42613351400553	6	6	0.447567804914122	0.992659214670578
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Bacillus	Fat_percentage	Fat_percentage	-2.04914637627337	1.58572025470583	6	6	0.419269911726134	0.992659214670578
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Bacillus	Lean_mass_percentage	Lean_mass_percentage	10.1832622014086	8.72175856862001	6	6	0.450882086301783	0.992659214670578
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus	Free_water_percentage	Free_water_percentage	0.61145827139709	0.88705808018502	6	6	0.615790047023498	0.992659214670578
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus	Total_water_percentage	Total_water_percentage	9.92222419043552	12.4568495720364	6	6	0.571796795372397	0.992659214670578
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus	Fat_percentage	Fat_percentage	1.73662912953781	2.09556533936764	6	6	0.559454490468442	0.992659214670578
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus	Lean_mass_percentage	Lean_mass_percentage	-9.04312904259661	11.5260020804385	6	6	0.576475544890704	0.992659214670578
k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae.g__Turicibacter	Free_water_percentage	Free_water_percentage	-2.95307785080545	4.89817920390599	6	6	0.654605777597462	0.992659214670578
k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae.g__Turicibacter	Total_water_percentage	Total_water_percentage	-41.9690836353204	68.7845394601525	6	6	0.651226957710418	0.992659214670578
k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae.g__Turicibacter	Fat_percentage	Fat_percentage	-7.1124179118928	11.5713444192694	6	6	0.64914121730712	0.992659214670578
k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae.g__Turicibacter	Lean_mass_percentage	Lean_mass_percentage	38.6059366992398	63.6445628033796	6	6	0.652884028831666	0.992659214670578
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae.g__Akkermansia	Free_water_percentage	Free_water_percentage	-12.9425825884002	11.7733585304188	6	6	0.469906198082799	0.992659214670578
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae.g__Akkermansia	Total_water_percentage	Total_water_percentage	-157.960549527508	165.331853062528	6	6	0.51451288241899	0.992659214670578
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae.g__Akkermansia	Fat_percentage	Fat_percentage	-27.8142315636024	27.813107862281	6	6	0.499987139947968	0.992659214670578
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae.g__Akkermansia	Lean_mass_percentage	Lean_mass_percentage	143.718042279343	152.977305484947	6	6	0.519861172504906	0.992659214670578
k__Bacteria.__.__.__.__.__	Free_water_percentage	Free_water_percentage	-3.25290652598547	1.14715001585706	6	6	0.215837717261967	0.992659214670578
k__Bacteria.__.__.__.__.__	Total_water_percentage	Total_water_percentage	-31.530260352489	16.1092892374195	6	6	0.300701995157122	0.992659214670578
k__Bacteria.__.__.__.__.__	Fat_percentage	Fat_percentage	-6.40288082964916	2.71000046782021	6	6	0.254892977368279	0.992659214670578
k__Bacteria.__.__.__.__.__	Lean_mass_percentage	Lean_mass_percentage	28.710520110919	14.9055104335285	6	6	0.304853117936772	0.992659214670578
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__	Free_water_percentage	Free_water_percentage	-8.20315969241335	13.2611772621127	6	6	0.647330046007371	0.992659214670578
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__	Total_water_percentage	Total_water_percentage	-70.8959207519082	186.225111965376	6	6	0.768424058228526	0.992659214670578
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__	Fat_percentage	Fat_percentage	-13.6825218718753	31.3278961665028	6	6	0.73785114734072	0.992659214670578
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__	Lean_mass_percentage	Lean_mass_percentage	66.0407657381659	172.309299837834	6	6	0.766997046032963	0.992659214670578
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.__.__	Free_water_percentage	Free_water_percentage	-1.3516310438789	2.23498758009748	6	6	0.653734779340414	0.992659214670578
