feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Verrucomicrobia	Lean_mass_percentage	Lean_mass_percentage	-2.12614892177718	1.05242333547509	36	36	0.0521490694682068	0.406874987026773
k__Bacteria.p__Proteobacteria	Free_water_percentage	Free_water_percentage	-0.101809741160048	0.0466783267013234	36	36	0.0368849110889024	0.406874987026773
k__Bacteria.p__Actinobacteria	Total_water_percentage	Total_water_percentage	-0.577047861084451	0.259121068417537	36	36	0.0342274347899339	0.406874987026773
k__Bacteria.p__Actinobacteria	Lean_mass_percentage	Lean_mass_percentage	0.549264855691348	0.269752284846395	36	36	0.0504693150697638	0.406874987026773
k__Bacteria.p__Tenericutes	Total_water_percentage	Total_water_percentage	1.4692042634717	0.732694688901931	36	36	0.0542286058851059	0.406874987026773
k__Bacteria.p__Tenericutes	Lean_mass_percentage	Lean_mass_percentage	-1.43498259565666	0.738190334542058	36	36	0.0610312480540159	0.406874987026773
k__Bacteria.p__Firmicutes	Lean_mass_percentage	Lean_mass_percentage	0.318059162264315	0.215944663247949	36	36	0.150866835970029	0.670519270977905
k__Bacteria.p__Verrucomicrobia	Total_water_percentage	Total_water_percentage	1.50628676802582	1.01828497452619	36	36	0.150133768864975	0.670519270977905
k__Bacteria.__	Total_water_percentage	Total_water_percentage	-0.58618402948792	0.386736516739818	36	36	0.140320304942489	0.670519270977905
k__Bacteria.p__Firmicutes	Total_water_percentage	Total_water_percentage	-0.297696392751835	0.219259017959788	36	36	0.18434843163653	0.680868873023043
k__Bacteria.__	Lean_mass_percentage	Lean_mass_percentage	0.527806954842691	0.391368718321187	36	36	0.187238940081337	0.680868873023043
k__Bacteria.__	Fat_percentage	Fat_percentage	-0.125937158777207	0.0986180579568592	36	36	0.215881602372783	0.719605341242611
k__Bacteria.p__Cyanobacteria	Free_water_percentage	Free_water_percentage	-0.0535305335697828	0.0472468658951724	36	36	0.26590278501796	0.801445075487393
k__Bacteria.p__Deferribacteres	Lean_mass_percentage	Lean_mass_percentage	0.491779615724703	0.447740471422368	36	36	0.280505776420587	0.801445075487393
k__Bacteria.p__Bacteroidetes	Free_water_percentage	Free_water_percentage	0.0361472430222926	0.155160166052134	36	36	0.817318204775858	0.952263993621105
k__Bacteria.p__Bacteroidetes	Total_water_percentage	Total_water_percentage	0.532686990132153	0.669175878062231	36	36	0.432065937761992	0.952263993621105
k__Bacteria.p__Bacteroidetes	Fat_percentage	Fat_percentage	-0.0320844933639923	0.149941330019438	36	36	0.831963642119233	0.952263993621105
k__Bacteria.p__Bacteroidetes	Lean_mass_percentage	Lean_mass_percentage	-0.505104690878992	0.659060507460182	36	36	0.449234791008638	0.952263993621105
k__Bacteria.p__Firmicutes	Free_water_percentage	Free_water_percentage	-0.00313201420954561	0.0508390495688262	36	36	0.951271718016389	0.952263993621105
k__Bacteria.p__Firmicutes	Fat_percentage	Fat_percentage	0.021488405666574	0.0491290703228086	36	36	0.664862998804845	0.952263993621105
k__Bacteria.p__Verrucomicrobia	Free_water_percentage	Free_water_percentage	-0.100610484807129	0.235432699305813	36	36	0.672574892279407	0.952263993621105
k__Bacteria.p__Verrucomicrobia	Fat_percentage	Fat_percentage	0.0541123583528799	0.284329815561627	36	36	0.850727757608956	0.952263993621105
k__Bacteria.__	Free_water_percentage	Free_water_percentage	0.0300011794035927	0.0899696168739137	36	36	0.741196850140555	0.952263993621105
k__Bacteria.p__Proteobacteria	Total_water_percentage	Total_water_percentage	-0.0377049936830272	0.201314622506516	36	36	0.852650712871611	0.952263993621105
k__Bacteria.p__Proteobacteria	Fat_percentage	Fat_percentage	-0.00642849776051236	0.0451082940084416	36	36	0.887597412599028	0.952263993621105
k__Bacteria.p__Proteobacteria	Lean_mass_percentage	Lean_mass_percentage	-0.0144841891967829	0.198271518173225	36	36	0.942233829466208	0.952263993621105
k__Bacteria.p__Cyanobacteria	Total_water_percentage	Total_water_percentage	0.0491520252924758	0.203766622423356	36	36	0.810975119632288	0.952263993621105
k__Bacteria.p__Cyanobacteria	Fat_percentage	Fat_percentage	-0.0187554289483272	0.0456577102991232	36	36	0.684057102263938	0.952263993621105
k__Bacteria.p__Cyanobacteria	Lean_mass_percentage	Lean_mass_percentage	-0.04846054820607	0.200686453263481	36	36	0.810777971877933	0.952263993621105
k__Bacteria.p__Actinobacteria	Free_water_percentage	Free_water_percentage	0.0069651105183214	0.0596904288896022	36	36	0.908021907917604	0.952263993621105
k__Bacteria.p__Actinobacteria	Fat_percentage	Fat_percentage	0.0279401653258256	0.0745259567221733	36	36	0.71109062179369	0.952263993621105
k__Bacteria.p__Tenericutes	Free_water_percentage	Free_water_percentage	-0.100470765461587	0.170520000252749	36	36	0.560251717881071	0.952263993621105
k__Bacteria.p__Tenericutes	Fat_percentage	Fat_percentage	0.0111059758341085	0.183122201993168	36	36	0.952263993621105	0.952263993621105
k__Bacteria.p__Deferribacteres	Free_water_percentage	Free_water_percentage	-0.00900021474073709	0.10540987528122	36	36	0.932505953232956	0.952263993621105
k__Bacteria.p__Deferribacteres	Total_water_percentage	Total_water_percentage	-0.399692622113602	0.454612466862402	36	36	0.386060504535021	0.952263993621105
k__Bacteria.p__Deferribacteres	Fat_percentage	Fat_percentage	0.0065223692644207	0.101864397925036	36	36	0.949357513193996	0.952263993621105
Unassigned.__	Free_water_percentage	Free_water_percentage	0.0268405820347621	0.189130207773782	36	18	0.888064747527857	0.952263993621105
Unassigned.__	Total_water_percentage	Total_water_percentage	-0.414792267521658	0.815682117874173	36	18	0.614687446292818	0.952263993621105
Unassigned.__	Fat_percentage	Fat_percentage	-0.039013862797014	0.182768784166712	36	18	0.83236571189457	0.952263993621105
Unassigned.__	Lean_mass_percentage	Lean_mass_percentage	0.331741538101141	0.803352135299706	36	18	0.682488117812374	0.952263993621105
