feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Bacteroidetes.__.__.__.__	Fat_percentage	Fat_percentage	0.598466435587607	0.165489235541832	36	21	0.000957493809818071	0.0378210054878138
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae.g__Gallibacterium	Fat_percentage	Fat_percentage	0.380339764306222	0.104634477255237	36	6	0.000909210360844266	0.0378210054878138
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus	Fat_percentage	Fat_percentage	0.0742832975897445	0.0445418253006274	36	36	0.104557422179987	0.975292516941577
k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae.g__Turicibacter	Fat_percentage	Fat_percentage	-0.346926701724846	0.23444878139671	36	36	0.148145698775936	0.975292516941577
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__mitochondria.g__Lardizabala	Fat_percentage	Fat_percentage	0.0883883862202517	0.0594876383137967	36	36	0.146539078182041	0.975292516941577
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.__	Fat_percentage	Fat_percentage	-0.182582665111144	0.117777813868221	36	36	0.130345789966289	0.975292516941577
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Catenibacterium	Fat_percentage	Fat_percentage	0.140024891392636	0.0766672932752517	36	36	0.0765822234040281	0.975292516941577
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Corynebacteriaceae.g__Corynebacterium	Fat_percentage	Fat_percentage	-0.323496726123912	0.193891101192369	36	26	0.110264357376147	0.975292516941577
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales.f__Xanthomonadaceae.g__Stenotrophomonas	Fat_percentage	Fat_percentage	-0.326562941421489	0.180699939844311	36	14	0.0795852176736516	0.975292516941577
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Dehalobacteriaceae.g__Dehalobacterium	Fat_percentage	Fat_percentage	0.222347233124751	0.14817971073937	36	36	0.1427087503013	0.975292516941577
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Dialister	Fat_percentage	Fat_percentage	0.416100440958607	0.244096176235937	36	26	0.104455023265405	0.975292516941577
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Megamonas	Fat_percentage	Fat_percentage	0.170837090444154	0.0925458754684489	36	4	0.0775112080955681	0.975292516941577
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24.7.g__	Fat_percentage	Fat_percentage	-0.0647340611998804	0.12829920038835	36	36	0.617125653492739	0.991674455677938
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__	Fat_percentage	Fat_percentage	0.250068084010267	0.258546693446157	36	36	0.345342034431025	0.991674455677938
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__.Exiguobacteraceae..g__	Fat_percentage	Fat_percentage	0.0468447722416205	0.04621411596139	36	36	0.317910984191663	0.991674455677938
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus	Fat_percentage	Fat_percentage	0.0399044676560997	0.040564633185733	36	36	0.332199331641138	0.991674455677938
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Bacillus	Fat_percentage	Fat_percentage	0.0237066109451722	0.0328069193358501	36	36	0.474860961128752	0.991674455677938
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae.g__Akkermansia	Fat_percentage	Fat_percentage	0.195001213940345	0.282155959169265	36	36	0.495059482208943	0.991674455677938
k__Bacteria.__.__.__.__.__	Fat_percentage	Fat_percentage	-0.072554621412604	0.081500246117666	36	36	0.383620230825784	0.991674455677938
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__	Fat_percentage	Fat_percentage	-0.0809631818227938	0.370619888579215	36	36	0.829013355884032	0.991674455677938
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.__.__	Fat_percentage	Fat_percentage	0.0330893538389905	0.130268861173675	36	36	0.801019136649696	0.991674455677938
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae.g__	Fat_percentage	Fat_percentage	0.0429631043048283	0.0483690368538797	36	36	0.380654962846335	0.991674455677938
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.g__	Fat_percentage	Fat_percentage	0.0977176279658446	0.187753778922108	36	36	0.606118514114878	0.991674455677938
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__	Fat_percentage	Fat_percentage	0.0126098020248797	0.0447308361762282	36	36	0.779725958372552	0.991674455677938
k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta.f__.g__	Fat_percentage	Fat_percentage	-0.0160182174525605	0.0389007045428102	36	36	0.683091070299163	0.991674455677938
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides	Fat_percentage	Fat_percentage	0.0222534212209679	0.0390417695784974	36	36	0.574671923204324	0.991674455677938
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Lactococcus	Fat_percentage	Fat_percentage	0.0361741723492234	0.051228186750217	36	36	0.484913218603129	0.991674455677938
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.__	Fat_percentage	Fat_percentage	0.001944004122349	0.183466482421572	36	36	0.991607733605528	0.991674455677938
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Epulopiscium	Fat_percentage	Fat_percentage	0.203065519859594	0.186923277985449	36	36	0.290298051033076	0.991674455677938
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus	Fat_percentage	Fat_percentage	0.0816026829760057	0.157919495356614	36	36	0.610968562193815	0.991674455677938
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Parabacteroides	Fat_percentage	Fat_percentage	0.0395567403082399	0.0534870601116837	36	36	0.467888191101111	0.991674455677938
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__	Fat_percentage	Fat_percentage	-0.103943363366746	0.191725379438109	36	36	0.591253025086778	0.991674455677938
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospira	Fat_percentage	Fat_percentage	-0.202106497708623	0.235883212228702	36	36	0.39755025271256	0.991674455677938
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__SMB53	Fat_percentage	Fat_percentage	-0.0741978021737894	0.435251036889935	36	36	0.865887206211301	0.991674455677938
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium	Fat_percentage	Fat_percentage	0.0661175507825393	0.0594130372152282	36	36	0.273581054558984	0.991674455677938
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.__	Fat_percentage	Fat_percentage	0.126282042498174	0.101271149058975	36	36	0.226574955382958	0.991674455677938
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia	Fat_percentage	Fat_percentage	0.0823873007294952	0.129945871514372	36	36	0.532336066799005	0.991674455677938
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.__.__	Fat_percentage	Fat_percentage	-0.052568801712672	0.0571865867618403	36	36	0.369084423309213	0.991674455677938
k__Bacteria.p__Firmicutes.c__Clostridia.__.__.__	Fat_percentage	Fat_percentage	-0.0710453962633224	0.152592165787857	36	36	0.646685132089755	0.991674455677938
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Oscillospira	Fat_percentage	Fat_percentage	0.111095758423591	0.195494815987475	36	36	0.573579368902801	0.991674455677938
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae.g__Pseudoramibacter_Eubacterium	Fat_percentage	Fat_percentage	-0.0196415705368252	0.189572750217264	36	36	0.918087860730352	0.991674455677938
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptococcaceae.g__rc4.4	Fat_percentage	Fat_percentage	-0.017170493567616	0.0664669964914787	36	36	0.79770879308775	0.991674455677938
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae.g__Acinetobacter	Fat_percentage	Fat_percentage	0.0170396765299441	0.0645955245225409	36	36	0.794435193139548	0.991674455677938
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Allobaculum	Fat_percentage	Fat_percentage	-0.25975950862639	0.475736142461539	36	36	0.590259479522048	0.991674455677938
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__.g__	Fat_percentage	Fat_percentage	0.233424452190655	0.161668573443606	36	35	0.164373143979712	0.991674455677938
k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39.f__.g__	Fat_percentage	Fat_percentage	0.00158730717208738	0.150017984373136	36	36	0.991674455677938	0.991674455677938
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__	Fat_percentage	Fat_percentage	0.01848253726733	0.102353860342525	36	36	0.85839908682339	0.991674455677938
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium	Fat_percentage	Fat_percentage	0.0993735751611248	0.0728328218906009	36	36	0.181403080076232	0.991674455677938
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae.g__	Fat_percentage	Fat_percentage	0.115916205705376	0.116544806948183	36	34	0.332104635528168	0.991674455677938
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32.f__.g__	Fat_percentage	Fat_percentage	-0.00323969049259381	0.06242863607385	36	36	0.958916613443457	0.991674455677938
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Candidatus.Arthromitus	Fat_percentage	Fat_percentage	0.061689498907626	0.0877229314070033	36	36	0.490096514398947	0.991674455677938
k__Bacteria.p__Firmicutes.__.__.__.__	Fat_percentage	Fat_percentage	0.00320291875973895	0.0976957196731851	36	36	0.974168351541309	0.991674455677938
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae.g__Sutterella	Fat_percentage	Fat_percentage	0.0721495739266357	0.0757637496433336	36	36	0.347667826989784	0.991674455677938
k__Bacteria.p__Deferribacteres.c__Deferribacteres.o__Deferribacterales.f__Deferribacteraceae.g__Mucispirillum	Fat_percentage	Fat_percentage	-0.0216424768692206	0.0881762587262006	36	36	0.807586949265906	0.991674455677938
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella	Fat_percentage	Fat_percentage	-0.0833565697573166	0.148903774779677	36	34	0.579284512510717	0.991674455677938
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Streptomycetaceae.g__Streptomyces	Fat_percentage	Fat_percentage	0.0711259701952804	0.180622468875144	36	28	0.696200423009974	0.991674455677938
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Brevibacteriaceae.g__Brevibacterium	Fat_percentage	Fat_percentage	0.0346969666167578	0.163915444536826	36	29	0.834087257614697	0.991674455677938
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Plesiomonas	Fat_percentage	Fat_percentage	0.0209325216547421	0.176600196360827	36	9	0.906344812291178	0.991674455677938
Unassigned.__.__.__.__.__	Fat_percentage	Fat_percentage	0.00935524345126004	0.153160026256582	36	18	0.951651954345147	0.991674455677938
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Intrasporangiaceae.g__	Fat_percentage	Fat_percentage	-0.034418332675426	0.17289230010109	36	5	0.84418759787755	0.991674455677938
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Dermabacteraceae.g__Brachybacterium	Fat_percentage	Fat_percentage	-0.0852995271563139	0.155980762118911	36	10	0.589903325091021	0.991674455677938
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.__.__	Fat_percentage	Fat_percentage	-0.0379362799798296	0.197270678605247	36	10	0.848646760492583	0.991674455677938
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Mogibacteriaceae..g__	Fat_percentage	Fat_percentage	0.00946060899337385	0.0775177583231812	36	36	0.903582356387596	0.991674455677938
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae.g__Jeotgalicoccus	Fat_percentage	Fat_percentage	-0.00427939816446636	0.127862882059425	36	11	0.973496579337973	0.991674455677938
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__	Fat_percentage	Fat_percentage	0.0813669337299952	0.251130398980055	36	28	0.748864741517281	0.991674455677938
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium	Fat_percentage	Fat_percentage	0.0279300526973	0.269843729822221	36	35	0.91845442410482	0.991674455677938
k__Bacteria.p__Actinobacteria.c__Actinobacteria.__.__.__	Fat_percentage	Fat_percentage	0.134347504624036	0.174021239528752	36	10	0.445437090252688	0.991674455677938
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__	Fat_percentage	Fat_percentage	-0.197440423280792	0.246392323617242	36	21	0.431656150924908	0.991674455677938
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__	Fat_percentage	Fat_percentage	0.108590146517548	0.174030020835638	36	17	0.536809285493719	0.991674455677938
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Streptomycetaceae.__	Fat_percentage	Fat_percentage	-0.0744316041713909	0.126676117491925	36	4	0.56070057395652	0.991674455677938
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Coprococcus	Fat_percentage	Fat_percentage	0.0326284653549323	0.143196247065645	36	16	0.821121098403627	0.991674455677938
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Adlercreutzia	Fat_percentage	Fat_percentage	0.0591086157108646	0.128805945308414	36	36	0.651080889359529	0.991674455677938
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Methylobacteriaceae.g__	Fat_percentage	Fat_percentage	-0.175521901728835	0.154005020445176	36	12	0.262370682486999	0.991674455677938
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Acidaminococcus	Fat_percentage	Fat_percentage	0.018327705045783	0.141400245738727	36	12	0.898249851731696	0.991674455677938
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.__.__	Fat_percentage	Fat_percentage	-0.0851797367493047	0.0740875543393752	36	4	0.258283588973409	0.991674455677938
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Nocardiopsaceae.g__Prauseria	Fat_percentage	Fat_percentage	0.0202068184861719	0.127460403720108	36	7	0.874973874210525	0.991674455677938
