feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Bacteroidetes.__.__.__.__	Fat_percentage	Fat_percentage	0.598466435587607	0.165489235541832	36	21	0.000957493809818071	0.0378210054878138
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae.g__Gallibacterium	Fat_percentage	Fat_percentage	0.380365105558291	0.104630609340979	36	6	0.000924916731322607	0.0378210054878138
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24.7.g__	Fat_percentage	Fat_percentage	-0.0461865928159804	0.121385120718616	36	36	0.707702875069622	0.992719892365461
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__	Fat_percentage	Fat_percentage	0.247446408156692	0.258507469094505	36	36	0.350230650779448	0.992719892365461
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__.Exiguobacteraceae..g__	Fat_percentage	Fat_percentage	0.0396040330372881	0.0428904260890377	36	36	0.362501845914132	0.992719892365461
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus	Fat_percentage	Fat_percentage	0.0329281035867801	0.0371001310545826	36	36	0.381198424594889	0.992719892365461
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Bacillus	Fat_percentage	Fat_percentage	0.0232402877752802	0.032725849024557	36	36	0.482554403709531	0.992719892365461
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus	Fat_percentage	Fat_percentage	0.0680901369656544	0.0419569181798576	36	36	0.114115797706754	0.992719892365461
k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae.g__Turicibacter	Fat_percentage	Fat_percentage	-0.313710685638852	0.220382005396292	36	36	0.163962837582	0.992719892365461
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae.g__Akkermansia	Fat_percentage	Fat_percentage	0.201226644272529	0.28206840679131	36	36	0.481375401616747	0.992719892365461
k__Bacteria.__.__.__.__.__	Fat_percentage	Fat_percentage	-0.0936364243670842	0.0800308700407608	36	36	0.254577285014104	0.992719892365461
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__	Fat_percentage	Fat_percentage	-0.0720692739347776	0.370678052701097	36	36	0.847559672888817	0.992719892365461
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.__.__	Fat_percentage	Fat_percentage	0.0194030060579895	0.127543382435374	36	36	0.880558481468718	0.992719892365461
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae.g__	Fat_percentage	Fat_percentage	0.0352421314057813	0.0447698133205603	36	36	0.436781462761952	0.992719892365461
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.g__	Fat_percentage	Fat_percentage	0.051325409355689	0.17762986458004	36	36	0.775463356922633	0.992719892365461
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__	Fat_percentage	Fat_percentage	0.00993791456056572	0.0440581985132271	36	36	0.822924940180005	0.992719892365461
k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta.f__.g__	Fat_percentage	Fat_percentage	-0.0172589256026518	0.0386494409517192	36	36	0.658095207576865	0.992719892365461
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__mitochondria.g__Lardizabala	Fat_percentage	Fat_percentage	0.078118820022755	0.0543709601435276	36	36	0.160182194028676	0.992719892365461
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides	Fat_percentage	Fat_percentage	0.0222531604544251	0.039041952899828	36	36	0.574678171517934	0.992719892365461
