feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.__	Day	D5	-0.343036020611509	0.120006655886803	36	36	0.0108237044689995	0.108237044689995
Unassigned.__	Day	D5	-0.779212449718991	0.275970582117566	36	18	0.00799118189947881	0.108237044689995
k__Bacteria.p__Firmicutes	Day	D5	-0.199862514630443	0.0790080314946292	36	36	0.0163749692131217	0.109166461420812
k__Bacteria.p__Bacteroidetes	Day	D5	0.573057057842886	0.232588859264228	36	36	0.0245819131510566	0.122909565755283
k__Bacteria.p__Proteobacteria	Day	D5	-0.153627643651346	0.0802559077227773	36	36	0.0642964823977294	0.257185929590918
k__Bacteria.p__Actinobacteria	Day	D5	-0.154015821052572	0.0910029171662174	36	36	0.108516760873536	0.361722536245119
k__Bacteria.__	Fat_percentage	Fat_percentage	-0.0965320556750523	0.0801145335540167	36	36	0.241138239254178	0.602845598135445
k__Bacteria.p__Cyanobacteria	Day	D5	-0.0938986872009813	0.076371951647514	36	36	0.227581871782957	0.602845598135445
k__Bacteria.p__Verrucomicrobia	Day	D5	0.338785904218488	0.309436297833035	36	36	0.288711114652745	0.641580254783878
k__Bacteria.p__Actinobacteria	Fat_percentage	Fat_percentage	0.0639628170865775	0.0631965843447186	36	36	0.322238508904837	0.644477017809674
k__Bacteria.p__Verrucomicrobia	Fat_percentage	Fat_percentage	0.238369572807947	0.284069881313896	36	36	0.408534944638237	0.742790808433157
k__Bacteria.p__Proteobacteria	Fat_percentage	Fat_percentage	0.021099637094224	0.0406971731274027	36	36	0.607600316162096	0.945511067624499
k__Bacteria.p__Cyanobacteria	Fat_percentage	Fat_percentage	-0.0196876132187294	0.0387276479260902	36	36	0.614582193955925	0.945511067624499
k__Bacteria.p__Bacteroidetes	Fat_percentage	Fat_percentage	-0.0422309268006765	0.120460241635499	36	36	0.72968092192112	0.95011144109276
k__Bacteria.p__Firmicutes	Fat_percentage	Fat_percentage	0.0141974418607787	0.0400643843852463	36	36	0.725319346330689	0.95011144109276
k__Bacteria.p__Tenericutes	Fat_percentage	Fat_percentage	0.00975479725709547	0.150566973632116	36	36	0.949070309258145	0.95011144109276
k__Bacteria.p__Tenericutes	Day	D5	-0.0187609995255435	0.295054207512091	36	36	0.95011144109276	0.95011144109276
k__Bacteria.p__Deferribacteres	Fat_percentage	Fat_percentage	-0.0231687873604086	0.0897014556104718	36	36	0.797788967578811	0.95011144109276
k__Bacteria.p__Deferribacteres	Day	D5	-0.0388972531781908	0.17689365601724	36	36	0.827310960068614	0.95011144109276
Unassigned.__	Fat_percentage	Fat_percentage	-0.0210198503987884	0.13994262699394	36	18	0.881518513652138	0.95011144109276
