feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae.g__Sutterella	Free_water_percentage	Free_water_percentage	-0.233823122073907	0.0655456433725453	36	36	0.00109746671162053	0.0866998702180218
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__	Free_water_percentage	Free_water_percentage	-0.122107980949529	0.0395851539559568	36	36	0.00403129613225443	0.106157464816033
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Mogibacteriaceae..g__	Free_water_percentage	Free_water_percentage	0.219405002997408	0.0678083729228203	36	36	0.00270447066069819	0.106157464816033
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Epulopiscium	Free_water_percentage	Free_water_percentage	-0.467984886970272	0.167121517847872	36	36	0.00835967004480005	0.165103483384801
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae.g__Acinetobacter	Free_water_percentage	Free_water_percentage	-0.136056617584997	0.0525567001897113	36	36	0.0144046445623083	0.227593384084471
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales.f__Xanthomonadaceae.g__Stenotrophomonas	Free_water_percentage	Free_water_percentage	0.407777906203372	0.175779311400046	36	14	0.026487957342872	0.337351252110594
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Acidaminococcus	Free_water_percentage	Free_water_percentage	-0.293307515148511	0.129403357636483	36	12	0.0298918830984071	0.337351252110594
k__Bacteria.p__Firmicutes.__.__.__.__	Free_water_percentage	Free_water_percentage	-0.183030600246513	0.0883421865169431	36	36	0.0459351146815276	0.345098933714232
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Dehalobacteriaceae.g__Dehalobacterium	Free_water_percentage	Free_water_percentage	-0.306740347899942	0.14368003238321	36	36	0.0400609815495335	0.345098933714232
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium	Free_water_percentage	Free_water_percentage	0.440798459004091	0.2140234959069	36	35	0.0480517502640069	0.345098933714232
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Rhizobiaceae.__	Free_water_percentage	Free_water_percentage	-0.338169547301717	0.159249067014666	36	7	0.0410674417732703	0.345098933714232
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Coprococcus	Free_water_percentage	Free_water_percentage	-0.261002584520539	0.136135516774141	36	16	0.0636431021651372	0.418983755920487
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides	Free_water_percentage	Free_water_percentage	-0.0610091186619668	0.0335500981502207	36	36	0.0786461497965529	0.477926602609822
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__	Free_water_percentage	Free_water_percentage	0.36175386052975	0.253562937905725	36	36	0.162830552021464	0.48531533183669
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__.Exiguobacteraceae..g__	Free_water_percentage	Free_water_percentage	-0.0631071570344084	0.0456415809183066	36	36	0.175781533835235	0.48531533183669
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.g__	Free_water_percentage	Free_water_percentage	-0.252252670411905	0.183468838199507	36	36	0.178153729408405	0.48531533183669
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.__	Free_water_percentage	Free_water_percentage	0.172627692943027	0.118218512307392	36	36	0.153402951994631	0.48531533183669
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Parabacteroides	Free_water_percentage	Free_water_percentage	-0.0776074070418308	0.0481263946127187	36	36	0.116633073727754	0.48531533183669
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium	Free_water_percentage	Free_water_percentage	-0.0944666640253931	0.0582753316815176	36	36	0.114247785983811	0.48531533183669
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.__	Free_water_percentage	Free_water_percentage	-0.135521836187883	0.0950259435423948	36	36	0.163444017311593	0.48531533183669
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia	Free_water_percentage	Free_water_percentage	-0.154320601211092	0.106058889029597	36	36	0.156101921502073	0.48531533183669
