feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__SMB53	Lean_mass_percentage	Lean_mass_percentage	1.15808292274594	0.341773815381671	36	36	0.00180846048382559	0.101111509124011
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.__	Lean_mass_percentage	Lean_mass_percentage	-0.3240726522851	0.0983302005415684	36	36	0.00255978504111421	0.101111509124011
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__	Lean_mass_percentage	Lean_mass_percentage	0.887532565119472	0.317470199223133	36	36	0.00909824128454944	0.239587020493135
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae.g__Akkermansia	Lean_mass_percentage	Lean_mass_percentage	-0.582264594847517	0.234399560787701	36	36	0.0183895894885831	0.363194392399516
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__	Lean_mass_percentage	Lean_mass_percentage	0.432721535792734	0.249975525151846	36	36	0.092508912528858	0.546980539404027
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.__.__	Lean_mass_percentage	Lean_mass_percentage	-0.179896810591038	0.130214219494306	36	36	0.180018911702591	0.546980539404027
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.g__	Lean_mass_percentage	Lean_mass_percentage	-0.346839099397563	0.182965495082927	36	36	0.0706671994158818	0.546980539404027
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.__	Lean_mass_percentage	Lean_mass_percentage	-0.300069007977524	0.176101631373038	36	36	0.0975143067435749	0.546980539404027
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Epulopiscium	Lean_mass_percentage	Lean_mass_percentage	-0.281529890305834	0.194437763703329	36	36	0.16011482783408	0.546980539404027
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__	Lean_mass_percentage	Lean_mass_percentage	-0.294319784038893	0.185818792630208	36	36	0.122473418157873	0.546980539404027
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia	Lean_mass_percentage	Lean_mass_percentage	-0.184363785361586	0.124322768932364	36	36	0.148010971216323	0.546980539404027
k__Bacteria.p__Firmicutes.c__Clostridia.__.__.__	Lean_mass_percentage	Lean_mass_percentage	-0.233038547306032	0.150243836766965	36	36	0.133986447702781	0.546980539404027
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Oscillospira	Lean_mass_percentage	Lean_mass_percentage	-0.37780007603113	0.187417278233468	36	36	0.0554745406054929	0.546980539404027
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae.g__Pseudoramibacter_Eubacterium	Lean_mass_percentage	Lean_mass_percentage	0.349337136700693	0.179888486328645	36	36	0.0604636267867366	0.546980539404027
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Allobaculum	Lean_mass_percentage	Lean_mass_percentage	0.614615160706202	0.436599417033541	36	36	0.16999557086248	0.546980539404027
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__	Lean_mass_percentage	Lean_mass_percentage	-0.138967209887133	0.0961632383613653	36	36	0.159776385763169	0.546980539404027
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella	Lean_mass_percentage	Lean_mass_percentage	0.234972609309473	0.144058357402953	36	34	0.112100690338921	0.546980539404027
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Dehalobacteriaceae.g__Dehalobacterium	Lean_mass_percentage	Lean_mass_percentage	-0.223240090312784	0.151677720346373	36	36	0.15456381493717	0.546980539404027
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Mogibacteriaceae..g__	Lean_mass_percentage	Lean_mass_percentage	0.139288391863464	0.0752988442773957	36	36	0.0769338555212362	0.546980539404027
k__Bacteria.p__Bacteroidetes.__.__.__.__	Lean_mass_percentage	Lean_mass_percentage	-0.287435836801938	0.188390245389909	36	21	0.136322407976255	0.546980539404027
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Coprococcus	Lean_mass_percentage	Lean_mass_percentage	-0.241386242027665	0.137195964914133	36	16	0.0875018118412113	0.546980539404027
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Methylobacteriaceae.g__	Lean_mass_percentage	Lean_mass_percentage	0.209392955037241	0.15275500408922	36	12	0.179426574176136	0.546980539404027
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.__.__	Lean_mass_percentage	Lean_mass_percentage	-0.11646178785549	0.0728247440159955	36	4	0.119027649549534	0.546980539404027
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Nocardiopsaceae.g__Prauseria	Lean_mass_percentage	Lean_mass_percentage	0.22689090533084	0.12142512654891	36	7	0.0703194429846385	0.546980539404027
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.__.__.__	Lean_mass_percentage	Lean_mass_percentage	0.191064627618171	0.129699547125402	36	5	0.149913588309925	0.546980539404027
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Paenibacillaceae.__	Lean_mass_percentage	Lean_mass_percentage	-0.172710587392469	0.114184966589012	36	8	0.139634251121275	0.546980539404027
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium	Lean_mass_percentage	Lean_mass_percentage	-0.330726411334092	0.246900671443668	36	35	0.191083559002249	0.559096339302876
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__mitochondria.g__Lardizabala	Lean_mass_percentage	Lean_mass_percentage	-0.0722971552253471	0.060123431367124	36	36	0.237485760661431	0.622877870592034
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptococcaceae.g__rc4.4	Lean_mass_percentage	Lean_mass_percentage	-0.0805094124948025	0.0650837369035952	36	36	0.224558516433281	0.622877870592034
k__Bacteria.p__Deferribacteres.c__Deferribacteres.o__Deferribacterales.f__Deferribacteraceae.g__Mucispirillum	Lean_mass_percentage	Lean_mass_percentage	0.10078673516433	0.086545163204681	36	36	0.252304960239811	0.622877870592034
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Streptomycetaceae.__	Lean_mass_percentage	Lean_mass_percentage	0.146506688381319	0.124813787324677	36	4	0.248631301399873	0.622877870592034
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Acidaminococcus	Lean_mass_percentage	Lean_mass_percentage	0.16582440681045	0.13710695734763	36	12	0.238242402660268	0.622877870592034
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Corynebacteriaceae.g__Corynebacterium	Lean_mass_percentage	Lean_mass_percentage	0.220646303107254	0.194333868030197	36	26	0.26666419756678	0.638377927508353
k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae.g__Turicibacter	Lean_mass_percentage	Lean_mass_percentage	0.253863296049192	0.237930008284344	36	36	0.293504949301259	0.642632736889697
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__	Lean_mass_percentage	Lean_mass_percentage	-0.0458066319929855	0.044088674530595	36	36	0.306153110385596	0.642632736889697
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus	Lean_mass_percentage	Lean_mass_percentage	-0.165547186148101	0.154423231530777	36	36	0.293953502801746	0.642632736889697
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Streptomycetaceae.g__Streptomyces	Lean_mass_percentage	Lean_mass_percentage	-0.184058885416451	0.178260666974142	36	28	0.30911448103555	0.642632736889697
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.__.__	Lean_mass_percentage	Lean_mass_percentage	0.201801868324431	0.194320056558474	36	10	0.306365582283153	0.642632736889697
k__Bacteria.p__Firmicutes.__.__.__.__	Lean_mass_percentage	Lean_mass_percentage	0.08993142234769	0.0934710237766236	36	36	0.345619480254576	0.700100998464398
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides	Lean_mass_percentage	Lean_mass_percentage	-0.0354528765878539	0.0383388298733659	36	36	0.363022504110525	0.716969445618288
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Lactococcus	Lean_mass_percentage	Lean_mass_percentage	-0.0432567038464301	0.0510664360589129	36	36	0.402880950360497	0.752511646129704
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Parabacteroides	Lean_mass_percentage	Lean_mass_percentage	-0.0419948506721712	0.0533574096302893	36	36	0.438171338252739	0.752511646129704
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32.f__.g__	Lean_mass_percentage	Lean_mass_percentage	-0.0498253042942431	0.061843567147487	36	36	0.426034069621531	0.752511646129704
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Brevibacteriaceae.g__Brevibacterium	Lean_mass_percentage	Lean_mass_percentage	0.122213652690503	0.151286346923366	36	29	0.425221653204266	0.752511646129704
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Plesiomonas	Lean_mass_percentage	Lean_mass_percentage	-0.139812826610218	0.17500167579343	36	9	0.429881067716547	0.752511646129704
k__Bacteria.p__Actinobacteria.c__Actinobacteria.__.__.__	Lean_mass_percentage	Lean_mass_percentage	0.141105735369054	0.173863853504677	36	10	0.422673975327001	0.752511646129704
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus	Lean_mass_percentage	Lean_mass_percentage	-0.028931517411281	0.0408375460409405	36	36	0.483492730328745	0.783291463667992
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae.g__	Lean_mass_percentage	Lean_mass_percentage	-0.031627455536685	0.0486254287982392	36	36	0.519785625377919	0.783291463667992
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospira	Lean_mass_percentage	Lean_mass_percentage	-0.171509810476401	0.236594818382898	36	36	0.47346733528271	0.783291463667992
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium	Lean_mass_percentage	Lean_mass_percentage	-0.0399775534301404	0.0600955688495458	36	36	0.510389242050934	0.783291463667992
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium	Lean_mass_percentage	Lean_mass_percentage	-0.0469139506009566	0.0743661978071526	36	36	0.532356346995823	0.783291463667992
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae.g__	Lean_mass_percentage	Lean_mass_percentage	-0.0771000869065541	0.118391668454453	36	34	0.521073584355588	0.783291463667992
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Dialister	Lean_mass_percentage	Lean_mass_percentage	-0.164022023421304	0.261089474404451	36	26	0.535414418203437	0.783291463667992
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Adlercreutzia	Lean_mass_percentage	Lean_mass_percentage	-0.0846891581936978	0.126501951796811	36	36	0.509047009932176	0.783291463667992
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__	Lean_mass_percentage	Lean_mass_percentage	0.0932898318875529	0.174290837425541	36	17	0.595958266569461	0.85601278289068
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus	Lean_mass_percentage	Lean_mass_percentage	0.023348406638444	0.0461544666903645	36	36	0.616208499360294	0.869294133026129
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae.g__Sutterella	Lean_mass_percentage	Lean_mass_percentage	-0.0362998399806661	0.0765146734246937	36	36	0.638235722607514	0.884572317298134
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__.g__	Lean_mass_percentage	Lean_mass_percentage	-0.0738322125251828	0.165869267753306	36	35	0.66012039782908	0.893498159432711
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Candidatus.Arthromitus	Lean_mass_percentage	Lean_mass_percentage	0.0370770029582403	0.0884176595872849	36	36	0.678606197037502	0.893498159432711
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae.g__Gallibacterium	Lean_mass_percentage	Lean_mass_percentage	-0.0536638598785376	0.1261374318862	36	6	0.674173492653103	0.893498159432711
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Catenibacterium	Lean_mass_percentage	Lean_mass_percentage	0.0300215785854434	0.080175063272591	36	36	0.710394669806033	0.899851912298974
Unassigned.__.__.__.__.__	Lean_mass_percentage	Lean_mass_percentage	-0.0550555018229432	0.152877132148879	36	18	0.72097816502704	0.899851912298974
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Rhizobiaceae.__	Lean_mass_percentage	Lean_mass_percentage	0.0590992390609534	0.169177503753765	36	7	0.728993954267523	0.899851912298974
