feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae.g__Akkermansia	Lean_mass_percentage	Lean_mass_percentage	-0.800036032705606	0.244550318914655	36	36	0.00276807434756865	0.109338936728962
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__SMB53	Lean_mass_percentage	Lean_mass_percentage	1.15808292080662	0.341773814836608	36	36	0.00180846048480254	0.109338936728962
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__	Lean_mass_percentage	Lean_mass_percentage	0.887532570971745	0.317470203106057	36	36	0.00909824165560082	0.239587030264155
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.__	Lean_mass_percentage	Lean_mass_percentage	-0.257822470541485	0.101625055915831	36	36	0.0178317704863558	0.352177467105527
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella	Lean_mass_percentage	Lean_mass_percentage	0.315011070750366	0.141578953942431	36	34	0.0328507039914443	0.519041123064819
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__	Lean_mass_percentage	Lean_mass_percentage	0.556708701090585	0.256116844224148	36	36	0.0416182535844824	0.547973672195685
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Oscillospira	Lean_mass_percentage	Lean_mass_percentage	-0.344150260508065	0.190493734566095	36	36	0.0850831785092284	0.768071459495077
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Mogibacteriaceae..g__	Lean_mass_percentage	Lean_mass_percentage	0.139288391372008	0.0752988441688134	36	36	0.0769338562308827	0.768071459495077
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Coprococcus	Lean_mass_percentage	Lean_mass_percentage	-0.241386242027665	0.137195964914133	36	16	0.0875018118412113	0.768071459495077
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus	Lean_mass_percentage	Lean_mass_percentage	0.0558972566321098	0.0441030682659431	36	36	0.213701334426524	0.783458959020734
