feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__	Lean_mass_percentage	Lean_mass_percentage	0.643510728117646	0.342304234483174	18	18	0.0810884063114399	0.865432600837582
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae.g__Akkermansia	Lean_mass_percentage	Lean_mass_percentage	-0.832324008354329	0.346520665344229	18	18	0.0307540669697121	0.865432600837582
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae.g__Akkermansia	Hormone	PL	1.51336479206045	0.823464761121054	18	18	0.0874038216119088	0.865432600837582
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__	Hormone	PL	-2.14004548355277	1.08284887477656	18	18	0.0681636848165349	0.865432600837582
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.__	Lean_mass_percentage	Lean_mass_percentage	-0.355830858766647	0.198205894940297	18	18	0.094223075575377	0.865432600837582
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus	Lean_mass_percentage	Lean_mass_percentage	-0.458728064904785	0.235725513021962	18	18	0.0720079427474041	0.865432600837582
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus	Hormone	PGH	-1.05799562455654	0.556407992346653	18	18	0.0780216935467433	0.865432600837582
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__SMB53	Lean_mass_percentage	Lean_mass_percentage	1.16033667848992	0.528827953905593	18	18	0.0455959513736471	0.865432600837582
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__SMB53	Hormone	PGH	2.91730939177157	1.24824884823556	18	18	0.0348068672921307	0.865432600837582
k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39.f__.g__	Hormone	PGH	0.982598468892505	0.380308038566954	18	18	0.0216534761844113	0.865432600837582
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium	Hormone	PGH	-0.451843352242359	0.237884408756165	18	18	0.078309108365504	0.865432600837582
k__Bacteria.p__Deferribacteres.c__Deferribacteres.o__Deferribacterales.f__Deferribacteraceae.g__Mucispirillum	Lean_mass_percentage	Lean_mass_percentage	0.200615919222049	0.115265021088803	18	18	0.10369862142324	0.865432600837582
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella	Lean_mass_percentage	Lean_mass_percentage	0.430679319032492	0.162163402685097	18	16	0.0188134989346826	0.865432600837582
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella	Hormone	PGH	-0.765592895399613	0.382771521688068	18	16	0.0652724538821187	0.865432600837582
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Streptomycetaceae.g__Streptomyces	Hormone	PGH	-1.31176691260433	0.555591299128811	18	12	0.0332565712412392	0.865432600837582
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Brevibacteriaceae.g__Brevibacterium	Hormone	PL	-0.971919196080366	0.374819263325701	18	15	0.0212635913675364	0.865432600837582
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Plesiomonas	Hormone	PL	0.35909717115174	0.176848029326422	18	2	0.061744277690608	0.865432600837582
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.__.__	Hormone	PL	-1.04500163309993	0.619853644631426	18	6	0.11396643303211	0.865432600837582
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Dehalobacteriaceae.g__Dehalobacterium	Hormone	PGH	-0.851144693656845	0.471017990774134	18	18	0.0922899752763982	0.865432600837582
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Mogibacteriaceae..g__	Hormone	PL	0.414907178474134	0.225501359375002	18	18	0.087074213866682	0.865432600837582
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae.g__Jeotgalicoccus	Lean_mass_percentage	Lean_mass_percentage	0.408080266705258	0.151802934362094	18	5	0.0176590980314972	0.865432600837582
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae.g__Jeotgalicoccus	Hormone	PGH	-0.610657387565645	0.358316606708897	18	5	0.110418837870102	0.865432600837582
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium	Lean_mass_percentage	Lean_mass_percentage	-0.497023201863624	0.276339254046022	18	17	0.093671186159255	0.865432600837582
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium	Hormone	PL	-1.10735792715476	0.656687062502686	18	17	0.11388904862099	0.865432600837582
k__Bacteria.p__Actinobacteria.c__Actinobacteria.__.__.__	Lean_mass_percentage	Lean_mass_percentage	0.367097464201656	0.211171344492492	18	4	0.104075952242884	0.865432600837582
k__Bacteria.p__Actinobacteria.c__Actinobacteria.__.__.__	Hormone	PGH	0.899122205175749	0.498450177598147	18	4	0.0928112999385201	0.865432600837582
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Coprococcus	Lean_mass_percentage	Lean_mass_percentage	-0.533077563704436	0.158791520798633	18	7	0.00469722709499884	0.865432600837582
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Methylobacteriaceae.g__	Hormone	PGH	0.94075642794895	0.473241851882393	18	6	0.0667429265972995	0.865432600837582
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.__.__	Lean_mass_percentage	Lean_mass_percentage	-0.148685973761295	0.0785029629243462	18	2	0.0790715184110733	0.865432600837582
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Megasphaera	Lean_mass_percentage	Lean_mass_percentage	0.168547397010317	0.0890453332179323	18	2	0.0792402928502925	0.865432600837582
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Paenibacillaceae.g__Paenibacillus	Hormone	PGH	0.47996078879928	0.273275815021214	18	2	0.100874425430822	0.865432600837582
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__	Hormone	PGH	0.783734965465922	0.323547374415478	18	3	0.029575882429027	0.865432600837582
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__	Lean_mass_percentage	Lean_mass_percentage	0.726044182024842	0.455671608878554	18	18	0.1334021082004	0.872073681590413
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus	Hormone	PL	-0.896704892326484	0.560173382669515	18	18	0.131746048898033	0.872073681590413
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.__	Lean_mass_percentage	Lean_mass_percentage	-0.215890029399345	0.133614573153759	18	18	0.128448434956963	0.872073681590413
