feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__	Lean_mass_percentage	Lean_mass_percentage	1.59211473195543	0.44315616710525	6	6	0.0229071871944595	0.577303110029698
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__.Exiguobacteraceae..g__	Lean_mass_percentage	Lean_mass_percentage	0.192958444375875	0.0871654567055251	6	6	0.0912491983353268	0.577303110029698
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus	Lean_mass_percentage	Lean_mass_percentage	0.194315348912482	0.0691010621354188	6	6	0.0482164662804808	0.577303110029698
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus	Lean_mass_percentage	Lean_mass_percentage	0.289867755499873	0.0715197276916733	6	6	0.0154377898419841	0.577303110029698
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.__.__	Lean_mass_percentage	Lean_mass_percentage	0.308748152666586	0.143247324475844	6	6	0.097395394181932	0.577303110029698
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae.g__	Lean_mass_percentage	Lean_mass_percentage	0.227887225069441	0.0970795675082598	6	6	0.0787363580306981	0.577303110029698
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.g__	Lean_mass_percentage	Lean_mass_percentage	0.317732931556208	0.1579799553609	6	6	0.114638928658925	0.577303110029698
k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta.f__.g__	Lean_mass_percentage	Lean_mass_percentage	0.191808648907461	0.0768646000772491	6	6	0.0670950054130127	0.577303110029698
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Lactococcus	Lean_mass_percentage	Lean_mass_percentage	0.175417704928109	0.0768752712243806	6	6	0.0846139031074975	0.577303110029698
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__SMB53	Lean_mass_percentage	Lean_mass_percentage	2.45111206605111	1.06545871532312	6	6	0.0828913538207364	0.577303110029698
