feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales	Lean_mass_percentage	Lean_mass_percentage	-0.139339035181673	0.0970224435602543	6	6	0.224305249466012	0.593669232752465
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales	Lean_mass_percentage	Lean_mass_percentage	1.45303414385953	0.393434508808889	6	6	0.0209597807781189	0.593669232752465
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales	Lean_mass_percentage	Lean_mass_percentage	0.127715471254098	0.0876449811314581	6	6	0.218794905888066	0.593669232752465
k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales	Lean_mass_percentage	Lean_mass_percentage	-0.454087820376059	0.33407618708328	6	6	0.245656234242399	0.593669232752465
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales	Lean_mass_percentage	Lean_mass_percentage	-0.836358978520936	0.489951621284758	6	6	0.163008020265306	0.593669232752465
k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta	Lean_mass_percentage	Lean_mass_percentage	0.191808648907461	0.0768646000772491	6	6	0.0670950054130127	0.593669232752465
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales	Lean_mass_percentage	Lean_mass_percentage	0.190766300249706	0.10855685561488	6	6	0.153701550193852	0.593669232752465
k__Bacteria.p__Firmicutes.c__Clostridia.__	Lean_mass_percentage	Lean_mass_percentage	-0.6224461519499	0.403441711626474	6	6	0.197738276678518	0.593669232752465
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales	Lean_mass_percentage	Lean_mass_percentage	0.264279752405504	0.0983057660775364	6	6	0.0547520461479077	0.593669232752465
k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39	Lean_mass_percentage	Lean_mass_percentage	-0.470137853867747	0.206108387739657	6	6	0.0846910040788421	0.593669232752465
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales	Lean_mass_percentage	Lean_mass_percentage	0.698604786772645	0.33672080051191	6	2	0.106657249936474	0.593669232752465
k__Bacteria.p__Actinobacteria.c__Actinobacteria.__	Lean_mass_percentage	Lean_mass_percentage	0.370681122319905	0.272362027511853	6	2	0.2451480861238	0.593669232752465
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales	Lean_mass_percentage	Lean_mass_percentage	0.1327043924999	0.105596599596739	6	6	0.27724089184798	0.618460451045494
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales	Lean_mass_percentage	Lean_mass_percentage	0.434998794510883	0.424624508422346	6	3	0.363539543607006	0.753046197471656
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales	Lean_mass_percentage	Lean_mass_percentage	0.172902020376211	0.196448559452557	6	6	0.428486927933854	0.828408060672118
k__Bacteria.p__Deferribacteres.c__Deferribacteres.o__Deferribacterales	Lean_mass_percentage	Lean_mass_percentage	0.15446676706072	0.198841641260421	6	6	0.480635839363423	0.871152458846205
k__Bacteria.__.__.__	Lean_mass_percentage	Lean_mass_percentage	0.126451419691098	0.193234680007338	6	6	0.548575864235429	0.876508809623834
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales	Lean_mass_percentage	Lean_mass_percentage	0.232499891381449	0.396718208657132	6	6	0.589311294738594	0.876508809623834
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales	Lean_mass_percentage	Lean_mass_percentage	-0.345663030587961	0.615719090138117	6	4	0.604488834223334	0.876508809623834
k__Bacteria.p__Firmicutes.c__Bacilli.__	Lean_mass_percentage	Lean_mass_percentage	-0.117594364967253	0.195472652815307	6	1	0.5798803976013	0.876508809623834
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales	Lean_mass_percentage	Lean_mass_percentage	0.356317904325494	0.796718011559089	6	6	0.677856514949248	0.934796626908154
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32	Lean_mass_percentage	Lean_mass_percentage	0.0667665957757578	0.17747107798976	6	6	0.725863673266423	0.934796626908154
k__Archaea.p__Euryarchaeota.c__Halobacteria.o__Halobacteriales	Lean_mass_percentage	Lean_mass_percentage	0.07110356951508	0.201004321513793	6	1	0.741390428237502	0.934796626908154
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales	Lean_mass_percentage	Lean_mass_percentage	0.0213801000827995	0.0910429093901031	6	6	0.825868101966564	0.958006998281214
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales	Lean_mass_percentage	Lean_mass_percentage	0.0482071633691055	0.190362187140266	6	6	0.812566161137397	0.958006998281214
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales	Lean_mass_percentage	Lean_mass_percentage	-0.0215278155746527	0.261114662629761	6	6	0.938253034249502	0.978865091315819
k__Bacteria.p__Firmicutes.__.__	Lean_mass_percentage	Lean_mass_percentage	-0.0104642012634899	0.249053705224864	6	6	0.968499702079499	0.978865091315819
Unassigned.__.__.__	Lean_mass_percentage	Lean_mass_percentage	-0.0332107730826482	0.28336501353076	6	2	0.912349601331181	0.978865091315819
k__Bacteria.p__Bacteroidetes.__.__	Lean_mass_percentage	Lean_mass_percentage	0.00982645770068594	0.348647064407594	6	3	0.978865091315819	0.978865091315819
