feature	k__Bacteria.p__Bacteroidetes	k__Bacteria.p__Firmicutes	k__Bacteria.p__Verrucomicrobia	k__Bacteria.__	k__Bacteria.p__Proteobacteria	k__Bacteria.p__Cyanobacteria	k__Bacteria.p__Actinobacteria	k__Bacteria.p__Tenericutes	k__Bacteria.p__Deferribacteres	Unassigned.__
HEB24017	-2.54816595522139	-0.277351890513581	-10.2075855873681	-10.3755302246822	-10.5454552261245	-12.452345821733	-12.2559486089295	-9.65144592181272	-15.452345821733	-17.0373083224542
HEB24023	-4.73236247531894	-0.062432027393932	-9.59711466990669	-9.75167924339672	-10.0424812679167	-12.2052958801958	-11.7775473291674	-10.3077984195446	-14.8555498411687	-16.2181199205534
HEB24025	-1.50382132651694	-0.638468716532148	-8.46317614568709	-11.218958897672	-10.7140899881641	-12.417372456074	-12.0589184851615	-10.4836061544741	-15.3808465800489	-18.819895911477
HEB24037	-1.56647217167168	-0.601495495623395	-10.0040707703346	-10.4034266473811	-10.5424906851187	-12.1403922415474	-12.1403922415474	-11.1666237831205	-15.2343683897564	-16.6128800130101
HEB24040	-3.56118267131777	-0.13385915878638	-9.92023688509954	-10.2170115027586	-10.6123934522182	-12.4553234791811	-11.8750374656694	-10.0919754569138	-15.971899004922	-17.819895911477
HEB24041	-0.97618637725217	-1.04162969771876	-9.95571824107817	-10.2169835540589	-10.4673441298576	-12.1479419096293	-11.729537559252	-8.47472366022319	-15.567480801143	-18.819895911477
HEB24042	-0.979165875895179	-1.03765078806459	-8.67099344895019	-10.4033321647133	-10.5888878178694	-12.0913881583985	-12.3272010954973	-9.5648423439027	-15.4837055811773	-18.819895911477
HEB24044	-1.27190597451656	-0.779349213156029	-10.0979073192448	-10.5883658335027	-10.3772181693339	-12.4254272623765	-11.7990448342754	-11.0895599765313	-15.9420027881174	-17.1119277895598
HEB24045	-1.42403368370964	-0.682463554715298	-10.183819146724	-11.2089726239524	-10.5236691496087	-12.2308874003808	-12.3698638135296	-9.0774129197191	-16.2606347437749	-16.845597244496
HEB24055	-1.75529669228585	-0.514787670534377	-9.80852457755502	-11.0357926204325	-10.1385063068811	-12.0986803263879	-11.8865270895563	-10.120267188596	-15.4349637142523	-18.819895911477
HEB24056	-1.80950019388916	-0.492892017989332	-9.69244810453331	-11.087241098538	-10.2287708607535	-11.9735843167424	-11.7853176793106	-9.89489168511981	-15.1699815295459	-18.819895911477
HEB24057	-1.90182780486407	-0.456806551441156	-9.79032295979531	-10.2939543823431	-10.2342914610448	-12.0633414542017	-11.9080632287238	-10.9129787191379	-15.522773072839	-16.7858074786728
