feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Verrucomicrobia	Lean_mass_percentage	Lean_mass_percentage	-0.846241653583062	0.248672039298187	36	36	0.00203446398917484	0.0406892797834968
k__Bacteria.p__Firmicutes	Day	D5	-0.235756863546858	0.0806737135740631	36	36	0.00622827137165614	0.0461939945830683
k__Bacteria.__	Day	D5	-0.379268595001966	0.132520676444278	36	36	0.00923879891661365	0.0461939945830683
Unassigned.__	Day	D5	-0.819801906053539	0.28810514845643	36	18	0.00756307409296413	0.0461939945830683
k__Bacteria.p__Bacteroidetes	Day	D5	0.622775589339502	0.243599172892743	36	36	0.0187483663058583	0.0624945543528611
k__Bacteria.p__Verrucomicrobia	Day	D5	0.81431259920527	0.320774411787278	36	36	0.0184249659982476	0.0624945543528611
k__Bacteria.p__Proteobacteria	Day	D5	-0.144128050139861	0.0841005392957096	36	36	0.0959533298767107	0.274152371076316
k__Bacteria.p__Actinobacteria	Day	D5	-0.157068604035511	0.0998756163092069	36	36	0.130163893800018	0.325409734500044
k__Bacteria.p__Firmicutes	Lean_mass_percentage	Lean_mass_percentage	0.0558096065156806	0.0409090393631214	36	36	0.181725535658039	0.376094740295321
k__Bacteria.p__Cyanobacteria	Day	D5	-0.107235010685684	0.0797751746151861	36	36	0.18804737014766	0.376094740295321
k__Bacteria.p__Deferribacteres	Lean_mass_percentage	Lean_mass_percentage	0.117311032866305	0.0918126484033287	36	36	0.210263144899802	0.382296627090548
k__Bacteria.__	Lean_mass_percentage	Lean_mass_percentage	0.0841200373560724	0.0826009117494138	36	36	0.319232415292484	0.532054025487473
k__Bacteria.p__Bacteroidetes	Lean_mass_percentage	Lean_mass_percentage	-0.0716484824585239	0.125611593261469	36	36	0.574708595363897	0.736101085858355
k__Bacteria.p__Proteobacteria	Lean_mass_percentage	Lean_mass_percentage	-0.0209999245241854	0.042646757166439	36	36	0.625685922979602	0.736101085858355
k__Bacteria.p__Cyanobacteria	Lean_mass_percentage	Lean_mass_percentage	0.0269918358763817	0.0404533969486409	36	36	0.509262580441856	0.736101085858355
k__Bacteria.p__Deferribacteres	Day	D5	-0.106313976960538	0.181056984350589	36	36	0.561075650059847	0.736101085858355
Unassigned.__	Lean_mass_percentage	Lean_mass_percentage	0.0724012756273537	0.146095975216285	36	18	0.623479701845159	0.736101085858355
k__Bacteria.p__Actinobacteria	Lean_mass_percentage	Lean_mass_percentage	-0.0109811805120213	0.0668164372176285	36	36	0.870829613142497	0.919116642742245
k__Bacteria.p__Tenericutes	Lean_mass_percentage	Lean_mass_percentage	-0.0252929824989953	0.157206492402264	36	36	0.873160810605133	0.919116642742245
k__Bacteria.p__Tenericutes	Day	D5	-0.00494672675495582	0.310015383824346	36	36	0.987365264809229	0.987365264809229
