feature	k__Bacteria.p__Bacteroidetes	k__Bacteria.p__Firmicutes	k__Bacteria.p__Verrucomicrobia	k__Bacteria.__	k__Bacteria.p__Proteobacteria	k__Bacteria.p__Cyanobacteria	k__Bacteria.p__Actinobacteria	k__Bacteria.p__Tenericutes	k__Bacteria.p__Deferribacteres	Unassigned.__
HEB24017	0.170972244680989	0.825104131236025	0.000845688753083047	0.000752755923073921	0.000669116376065707	0.000178431033617522	0.000204452226020077	0.00124344126552211	2.23038792021902e-05	7.43462640073008e-06
HEB24023	0.0376198400383788	0.957648399259409	0.00129116163319766	0.0011599841087799	0.000948226105076945	0.000211758003702954	0.000284842624449991	0.000788939111141095	3.37313634217095e-05	1.31177524417759e-05
HEB24025	0.352618158125407	0.642394427595776	0.00283354504844448	0.000419524039430572	0.000595302268242265	0.00018280935796416	0.000234370971748923	0.000698425495811791	2.34370971748923e-05	0
HEB24037	0.337633001013721	0.659070409718952	0.000973810873157143	0.000738340211205211	0.000670492732337705	0.000221502063361563	0.000221502063361563	0.000435022070385773	2.59416830963993e-05	9.97757042169204e-06
HEB24040	0.0847182928758321	0.911390249573642	0.00103207470353784	0.000840181416950401	0.000638779904450973	0.000178063139806361	0.000266230325535724	0.000916247224246322	1.55589151287111e-05	4.32192086908642e-06
HEB24041	0.508321663920923	0.4857784184514	0.00100700164744646	0.000840197693574959	0.000706342668863262	0.000220345963756178	0.000294481054365733	0.00281095551894563	2.05930807248764e-05	0
HEB24042	0.507272945515653	0.487120029972029	0.00245341422871131	0.000738388566980573	0.000649272705448435	0.000229155072511212	0.000194599942529363	0.00132036970351698	2.18242926201155e-05	0
HEB24044	0.414112318936502	0.582629552951642	0.00091248766729676	0.000649507662601949	0.000751875718120734	0.000181791546869567	0.000280629669439429	0.000458891283360073	1.58846982701564e-05	7.05986589784727e-06
HEB24045	0.372668895611102	0.623100355569708	0.000859735710874065	0.000422438040651701	0.00067929735180173	0.00020803481398928	0.000188929575969856	0.00185108528365971	1.27368253462824e-05	8.49121689752163e-06
HEB24055	0.296212269996817	0.699895932801033	0.00111516694771583	0.000476316246898865	0.000887167227636275	0.000227999720079552	0.000264118487616906	0.000898454342491698	2.25742297108467e-05	0
HEB24056	0.285289747399703	0.710599206121963	0.00120859944121113	0.000459629463303485	0.00083336096133386	0.000248652004737951	0.000283312587216574	0.00105036634728698	2.71256732441401e-05	0
HEB24057	0.267604113010431	0.728597246782396	0.00112932546699732	0.00079654617578181	0.000830178125425931	0.000233653544895998	0.000260205084088725	0.000518640065564601	2.12412313541816e-05	8.85051306424233e-06
HEB24058	0.287261517953845	0.704282262767641	0.000959987275908296	0.000666500041656253	0.000662713109601388	0.000213961661099877	0.000183666204660956	0.00575045632531261	1.32542621920278e-05	5.68039808229761e-06
HEB24068	0.232873918007331	0.763003678063498	0.000849148795536988	0.000763759531181313	0.000841242382170722	0.000202404182176414	0.000259330358413531	0.00117805559157366	1.89753920790388e-05	9.48769603951942e-06
HEB24088	0.360357820573262	0.634157839999431	0.00136220093766805	0.000836272923472736	0.000606475547900908	0.000203737879372961	0.000248749736443732	0.00221268813179472	1.42142706539275e-05	0
HEB24089	0.478057124326596	0.515448049382603	0.00402615286592203	0.000463589921600778	0.000664555010767618	0.00020096508916684	0.000212383560142228	0.00091347767803109	6.85108258523318e-06	6.85108258523318e-06
