feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Verrucomicrobia	Lean_mass_percentage	Lean_mass_percentage	-0.832328342581686	0.346518975217764	18	18	0.0307526399418271	0.461289599127406
k__Bacteria.p__Tenericutes	Hormone	PGH	0.982598077015411	0.380305527159893	18	18	0.0216528013421339	0.461289599127406
k__Bacteria.p__Verrucomicrobia	Hormone	PL	1.51335203274389	0.823460744738411	18	18	0.08740483371449	0.777772479909703
k__Bacteria.p__Deferribacteres	Lean_mass_percentage	Lean_mass_percentage	0.200611584994692	0.115264137408912	18	18	0.103702997321294	0.777772479909703
k__Bacteria.p__Tenericutes	Lean_mass_percentage	Lean_mass_percentage	-0.254612652481176	0.16111866962364	18	18	0.136365117380916	0.818190704285494
k__Bacteria.__	Lean_mass_percentage	Lean_mass_percentage	0.143638740498324	0.100085579674477	18	18	0.173204575561004	0.86602287780502
k__Bacteria.p__Verrucomicrobia	Hormone	PGH	0.767749651064371	0.817925581491777	18	18	0.363821005764037	0.909552514410092
k__Bacteria.__	Hormone	PGH	0.242244068902237	0.236242635494183	18	18	0.322564870945194	0.909552514410092
k__Bacteria.p__Proteobacteria	Lean_mass_percentage	Lean_mass_percentage	-0.0643064698320448	0.0668334751100686	18	18	0.352279962740174	0.909552514410092
k__Bacteria.p__Cyanobacteria	Hormone	PL	-0.163451154830703	0.148028565840414	18	18	0.288129365524615	0.909552514410092
k__Bacteria.p__Actinobacteria	Hormone	PL	-0.184439607005961	0.188034282717919	18	18	0.343298165998703	0.909552514410092
k__Bacteria.p__Tenericutes	Hormone	PL	0.360242571066211	0.382879175941714	18	18	0.36271963338137	0.909552514410092
k__Bacteria.p__Actinobacteria	Hormone	PGH	-0.162594167568498	0.186770348210466	18	18	0.398678040612903	0.920026247568237
k__Bacteria.__	Hormone	PL	0.188610444036037	0.237841364746409	18	18	0.441005202485784	0.945011148183823
k__Bacteria.p__Proteobacteria	Hormone	PL	-0.11119585350854	0.158821730189545	18	18	0.495316980945053	0.990633961890106
k__Bacteria.p__Bacteroidetes	Lean_mass_percentage	Lean_mass_percentage	-0.0152962995221333	0.0713810810994846	18	18	0.833410167425517	0.991028465987128
k__Bacteria.p__Bacteroidetes	Hormone	PGH	-0.00771413862119229	0.168488355447539	18	18	0.964128761609178	0.991028465987128
k__Bacteria.p__Bacteroidetes	Hormone	PL	0.0172149797123215	0.169628569879833	18	18	0.920603586517335	0.991028465987128
k__Bacteria.p__Firmicutes	Lean_mass_percentage	Lean_mass_percentage	0.0230327435749553	0.0467924641857746	18	18	0.630184343076003	0.991028465987128
k__Bacteria.p__Firmicutes	Hormone	PGH	0.0289199990595808	0.11044922851492	18	18	0.797258059967153	0.991028465987128
k__Bacteria.p__Firmicutes	Hormone	PL	0.0032580293173966	0.111196673666568	18	18	0.977039149107418	0.991028465987128
k__Bacteria.p__Proteobacteria	Hormone	PGH	-0.0528145824762724	0.157754157497915	18	18	0.7427463207512	0.991028465987128
k__Bacteria.p__Cyanobacteria	Lean_mass_percentage	Lean_mass_percentage	-0.016383487544094	0.0622916238153774	18	18	0.7963719623373	0.991028465987128
k__Bacteria.p__Cyanobacteria	Hormone	PGH	-0.0215200162599045	0.147033542966128	18	18	0.885722816721457	0.991028465987128
k__Bacteria.p__Actinobacteria	Lean_mass_percentage	Lean_mass_percentage	0.0506106965758913	0.0791263546799903	18	18	0.532748069717683	0.991028465987128
k__Bacteria.p__Deferribacteres	Hormone	PGH	0.00311434331767102	0.272070199203623	18	18	0.991028465987128	0.991028465987128
k__Bacteria.p__Deferribacteres	Hormone	PL	-0.155206558702997	0.273911385004891	18	18	0.579936528270391	0.991028465987128
Unassigned.__	Lean_mass_percentage	Lean_mass_percentage	0.0502453955189499	0.157953630160616	18	6	0.755102878258601	0.991028465987128
Unassigned.__	Hormone	PGH	-0.0515935557592329	0.372834747986511	18	6	0.89190938769552	0.991028465987128
Unassigned.__	Hormone	PL	0.0155140684578006	0.375357839623233	18	6	0.967615357331497	0.991028465987128
