feature	k__Bacteria.p__Bacteroidetes	k__Bacteria.p__Firmicutes	k__Bacteria.p__Verrucomicrobia	k__Bacteria.__	k__Bacteria.p__Proteobacteria	k__Bacteria.p__Cyanobacteria	k__Bacteria.p__Actinobacteria	k__Bacteria.p__Tenericutes	k__Bacteria.p__Deferribacteres	Unassigned.__
HEB24055	0.296212269996817	0.699895932801033	0.00111516694771583	0.000476316246898865	0.000887167227636275	0.000227999720079552	0.000264118487616906	0.000898454342491698	2.25742297108467e-05	0
HEB24056	0.285289747399703	0.710599206121963	0.00120859944121113	0.000459629463303485	0.00083336096133386	0.000248652004737951	0.000283312587216574	0.00105036634728698	2.71256732441401e-05	0
HEB24129	0.393851829189575	0.600980778787166	0.00296037448560399	0.00042973178016832	0.000544680610254497	0.000183918128137882	0.00028471940990576	0.000742746286710677	1.59159918580859e-05	5.30533061936198e-06
HEB24130	0.500419902444218	0.495849553812062	0.000710706514144257	0.000589593606303195	0.000592255428453548	0.000177011172998476	0.000246218548907655	0.00139745662893534	1.73018439772947e-05	0
HEB24131	0.540314369125605	0.456874821988038	0.000690686414127029	0.000701367131871262	0.000535816006835659	0.000178011962403874	0.000206493876388493	0.000487752776986613	1.06807177442324e-05	0
HEB24132	0.407443856985814	0.589762266210992	0.000783721330232349	0.000575825786525677	0.000592277951854982	0.000152556442144465	0.000209391195100246	0.000457669326433395	1.6452165329305e-05	5.98260557429274e-06
HEB24133	0.348789627294547	0.646609127962283	0.00140259271346142	0.000671207734164705	0.000634175583314239	0.000247652508812495	0.000212934867390182	0.00141416526060219	1.85160754252332e-05	0
HEB24134	0.456223427528874	0.536051052166662	0.00353501580933039	0.000427636195523854	0.000556422385681617	0.00015850608019417	0.000135390610165853	0.00289603817354765	1.6511050020226e-05	0
HEB24135	0.44839162534978	0.546748864693434	0.00139628024879175	0.000530472821793339	0.000765396500016104	0.000179981850251312	0.000255763681936074	0.00170698575869928	2.46290952975479e-05	0
HEB24136	0.407033803737241	0.58081755893991	0.00806699822750166	0.000973848152292805	0.000602933539993276	0.00017993304596658	0.000266742848845193	0.00204239790772591	1.10485203663689e-05	4.73508015701526e-06
HEB24137	0.296332759045041	0.699939457198755	0.000891075056904844	0.000713219349982304	0.000713219349982304	0.00021737919734977	0.000235344420271239	0.000928802025039928	2.33547897979092e-05	5.38956687644059e-06
HEB24138	0.413043842531872	0.583630760606462	0.000796693796908584	0.000574289792417851	0.0005255437092418	0.000166041345818424	0.00024830036117801	0.000999294705109046	1.5233150992516e-05	0
HEB24139	0.461795991508927	0.533592764302919	0.00192162879650516	0.000736402730840646	0.000531938767198661	0.000146283160979632	0.000187840877167027	0.0010705267689873	1.16361605324707e-05	4.98692594248745e-06
HEB24140	0.413226048737065	0.584730722154223	0.000559140981417603	0.000305997552019584	0.000461778123956827	0.000141871592299989	0.000189162123066652	0.000372760654278402	1.25180816735284e-05	0
HEB24141	0.404971566026208	0.580969532281426	0.0112710477630944	0.000628068241537101	0.000781880872117615	0.000183720642082281	0.000166630349795557	0.00100191838530918	1.92265788225643e-05	6.40885960752144e-06
HEB24142	0.306595905415205	0.684883965306034	0.00521810584272599	0.00094668103097351	0.000658889997557563	0.000202589740628331	0.000335125084964623	0.00113601723716821	2.27203447433642e-05	0
HEB24143	0.411743597019036	0.542771384301256	0.042071764571702	0.000522976179547737	0.000703792411838178	0.000205852325992194	0.000236451996072115	0.00173583582998823	8.34536456725112e-06	0
HEB24144	0.410887239489817	0.585072220772611	0.000811208105880742	0.000594197020231117	0.000576112763093648	0.000162758314237219	0.00021184415503892	0.00166116819134177	2.32511877481741e-05	0
