feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae	Total_water_percentage	Total_water_percentage	0.866709236798	0.295126092027592	36	36	0.00592588991855262	0.31329845142132
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__	Total_water_percentage	Total_water_percentage	-0.425295756645585	0.180082509197566	36	36	0.0248314374248913	0.31329845142132
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae	Total_water_percentage	Total_water_percentage	-0.30494601071932	0.131510658647195	36	36	0.0265507162221457	0.31329845142132
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae	Total_water_percentage	Total_water_percentage	0.414229137486489	0.175792302126907	36	36	0.0243583897898033	0.31329845142132
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Mogibacteriaceae.	Total_water_percentage	Total_water_percentage	0.1881829384126	0.0731774316799078	36	36	0.0151963026201419	0.31329845142132
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae	Total_water_percentage	Total_water_percentage	-0.315667445905014	0.14584466349001	36	36	0.03852535080521	0.378832616251231
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Dehalobacteriaceae	Total_water_percentage	Total_water_percentage	-0.306876618601914	0.149055528504078	36	36	0.048154070025706	0.405870018788093
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae	Total_water_percentage	Total_water_percentage	-0.41365674732459	0.222970189782281	36	36	0.07251937058531	0.475404762725921
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Nocardiopsaceae	Total_water_percentage	Total_water_percentage	0.228336702028429	0.121344839382374	36	7	0.0684583135312656	0.475404762725921
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae	Total_water_percentage	Total_water_percentage	0.406722104231768	0.242107019461412	36	36	0.102138894447516	0.506031731160691
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.__	Total_water_percentage	Total_water_percentage	-0.22775564217041	0.128278116347981	36	36	0.085810578506905	0.506031731160691
k__Bacteria.p__Bacteroidetes.__.__.__	Total_water_percentage	Total_water_percentage	-0.313659403325313	0.187153212242971	36	21	0.102921708032683	0.506031731160691
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae	Total_water_percentage	Total_water_percentage	-0.0692756176407228	0.0439392189988182	36	36	0.124142332188606	0.50777498600986
k__Bacteria.p__Firmicutes.c__Clostridia.__.__	Total_water_percentage	Total_water_percentage	-0.24064757356889	0.148284438725385	36	36	0.115170952484356	0.50777498600986
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptococcaceae	Total_water_percentage	Total_water_percentage	-0.09979421254357	0.0641570883319057	36	36	0.129095335426236	0.50777498600986
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.__.__	Total_water_percentage	Total_water_percentage	0.1907097879603	0.129721411803149	36	5	0.150715602554547	0.523071797101076
