feature	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24.7	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__.Exiguobacteraceae.	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae	k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae	k__Bacteria.__.__.__.__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.__	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae	k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta.f__	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__mitochondria	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae	k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.__	k__Bacteria.p__Firmicutes.c__Clostridia.__.__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptococcaceae	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__	k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39.f__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32.f__	k__Bacteria.p__Firmicutes.__.__.__	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae	k__Bacteria.p__Deferribacteres.c__Deferribacteres.o__Deferribacterales.f__Deferribacteraceae	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Streptomycetaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Brevibacteriaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Corynebacteriaceae	Unassigned.__.__.__.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Intrasporangiaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Dermabacteraceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales.f__Xanthomonadaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Dehalobacteriaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Mogibacteriaceae.	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae	k__Bacteria.p__Bacteroidetes.__.__.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.__.__	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae	k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Methylobacteriaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Nocardiopsaceae	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.__.__	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Paenibacillaceae	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Rhizobiaceae	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Pseudomonadaceae	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae
HEB24017	91544	189345	2779	838	993	165804	455	405	11357	8345	495	38649	235	96	66	290	1066	10746	9750	85	49	69	3116	46	31	27	669	37	20	11	14	11	12	10	4	6	0	4	0	6	0	0	40	434	0	5	0	4	12	30	2	0	0	0	7	2	0	0	0
HEB24023	19483	75528	3476	1076	1125	18174	689	619	2961	33655	606	255962	357	113	75	392	1885	62160	52249	116	75	205	1407	58	33	33	421	45	31	15	32	14	18	9	8	9	10	7	6	0	8	0	231	178	5	0	0	0	13	39	0	0	0	0	3	12	0	0	0
HEB24025	150072	64866	1869	572	859	141588	1209	179	17602	7056	362	21507	177	78	43	258	394	9178	6358	76	35	62	1487	51	12	23	298	34	12	12	13	6	10	3	9	5	0	0	0	7	0	4	39	198	5	5	3	4	13	19	0	0	0	0	2	0	0	0	0
HEB24037	168661	65241	2625	805	913	37971	488	370	44944	17146	474	99694	246	111	43	319	567	23928	31728	125	69	102	3599	48	22	19	218	31	28	11	16	9	13	2	4	7	6	5	0	0	0	5	251	180	5	8	0	12	11	44	0	0	0	0	0	0	0	0	0
HEB24040	97055	652401	5403	1801	1806	14790	1194	972	17526	35413	985	223127	487	206	145	652	1212	50533	42776	179	90	176	5148	87	33	56	1060	57	45	33	47	30	18	19	12	17	18	5	0	16	0	0	285	774	0	9	12	6	28	120	4	0	0	2	0	0	3	0	0
HEB24041	246211	5879	2075	694	743	3514	489	408	2346	15966	333	137840	219	107	66	368	528	33837	25600	144	97	383	5453	29	26	24	1365	41	17	10	14	13	10	7	6	6	0	0	0	0	0	2	190	439	5	6	7	8	7	59	0	0	0	0	0	5	0	0	0
HEB24042	278333	20373	2178	785	806	41817	1349	406	2766	20999	426	117099	224	126	73	349	1135	31793	24054	136	82	571	2472	40	25	14	726	24	12	15	22	13	12	7	3	4	0	0	0	12	0	4	75	411	7	6	0	9	0	43	0	7	0	0	0	0	0	3	0
HEB24044	233964	66606	2570	882	1050	59469	517	368	23521	18826	464	98072	259	103	93	418	526	26154	27952	160	62	108	3295	44	33	26	260	48	28	20	19	12	9	13	10	10	9	4	0	0	0	0	199	317	0	12	6	0	3	50	0	0	0	0	0	0	2	7	0
HEB24045	175081	44422	1964	641	899	145090	405	199	19059	12311	331	39990	215	98	45	292	393	9621	15471	114	57	69	2868	27	23	20	872	33	0	11	20	19	6	6	5	0	0	4	9	0	0	0	90	253	0	5	0	0	8	22	0	0	0	2	0	0	0	0	3
HEB24055	130688	18643	2565	782	892	47036	494	211	25009	18261	437	135360	272	101	57	327	440	32788	24885	134	51	156	2232	61	27	34	398	41	33	11	32	19	10	6	9	10	0	0	0	0	6	0	203	209	0	11	0	0	12	23	0	0	0	0	0	0	4	0	0
HEB24056	188540	22741	3674	1183	1367	53407	802	305	18061	42308	688	216598	369	165	67	478	600	81754	25487	167	93	149	2778	67	44	33	697	64	33	26	49	32	18	12	19	14	15	0	14	0	0	0	311	258	5	9	0	13	20	29	0	0	0	0	0	7	3	0	5
HEB24057	150481	34998	3029	994	1193	92082	638	450	5157	34579	552	141417	314	132	69	457	594	40733	51866	146	75	114	3649	61	43	23	293	51	28	23	27	17	12	6	11	7	8	5	0	9	0	0	252	255	0	4	4	11	14	34	3	0	0	0	0	0	0	0	0
HEB24058	151142	43852	2507	809	1038	132030	507	352	86880	9557	428	52267	234	113	60	350	1287	15235	15896	140	66	265	9243	57	24	28	3037	24	20	16	24	11	7	7	6	6	11	3	0	0	3	0	64	479	0	7	0	0	6	22	0	0	0	3	0	0	0	0	0
HEB24068	146689	149390	3063	1008	1225	116100	537	483	35041	15899	527	103929	306	128	155	371	2319	21827	27753	131	62	166	3598	48	32	26	745	58	23	20	25	13	12	11	8	9	7	6	0	0	5	0	176	380	0	0	0	5	17	51	6	0	2	0	3	0	0	0	0
HEB24088	151740	111832	1926	639	782	28445	575	353	15986	8482	362	57567	178	86	33	239	1581	15779	19937	68	49	60	3859	45	16	15	934	30	0	15	15	12	6	15	0	0	9	0	6	0	0	0	115	271	0	0	0	0	0	45	0	0	0	0	0	0	0	2	0
HEB24089	208926	10824	1762	621	679	76619	1763	203	11180	14127	291	72803	195	88	43	251	424	16857	16396	111	38	81	2729	40	27	16	400	15	14	13	16	10	3	9	4	8	8	3	0	0	0	3	78	167	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0
HEB24090	94473	287350	1955	688	723	13198	14390	372	2819	8847	400	52288	165	65	60	228	617	9381	12268	69	30	60	1362	33	18	27	558	22	15	13	9	11	5	8	8	0	3	4	0	0	0	0	71	276	0	9	0	7	5	80	0	0	0	0	4	0	2	0	0
HEB24106	212990	20899	2685	815	886	16102	1926	574	5020	18112	483	210637	317	113	52	404	493	43968	58914	145	86	251	1216	59	28	31	318	45	20	14	26	16	11	9	10	0	13	0	0	0	0	0	151	153	0	0	0	11	11	87	2	8	0	0	5	0	0	0	0
HEB24122	231427	79424	3056	1095	1361	296416	589	446	47227	14259	584	54888	358	126	84	443	1435	13243	18103	161	101	241	8106	70	43	37	1052	53	25	21	20	16	9	13	12	9	10	5	0	0	8	4	112	389	9	0	10	0	7	65	2	0	0	0	0	0	0	0	0
