feature	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24.7	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__.Exiguobacteraceae.	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae	k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae	k__Bacteria.__.__.__.__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.__	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae	k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta.f__	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__mitochondria	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae	k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.__	k__Bacteria.p__Firmicutes.c__Clostridia.__.__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptococcaceae	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__	k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39.f__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32.f__	k__Bacteria.p__Firmicutes.__.__.__	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae	k__Bacteria.p__Deferribacteres.c__Deferribacteres.o__Deferribacterales.f__Deferribacteraceae	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Streptomycetaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Brevibacteriaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Corynebacteriaceae	Unassigned.__.__.__.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Intrasporangiaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Dermabacteraceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales.f__Xanthomonadaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Dehalobacteriaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Mogibacteriaceae.	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae	k__Bacteria.p__Bacteroidetes.__.__.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.__.__	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae	k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Methylobacteriaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Nocardiopsaceae	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.__.__	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Paenibacillaceae	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Rhizobiaceae	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Pseudomonadaceae	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae
HEB24017	0.170149492306062	0.351928642190546	0.00516522589266962	0.00155756002089138	0.001845652864851	0.308173844515363	0.000845691896784698	0.000752758721313852	0.0211088414764479	0.0155105469860842	0.000920038437161375	0.0718354859754545	0.000436785924712976	0.000178431696904024	0.000122671791621517	0.000539012417730906	0.00198133530103844	0.0199731980721942	0.018121969216815	0.000157986398300438	9.1074511961429e-05	0.000128247782149767	0.00579159549534312	8.54985214331783e-05	5.76185687919245e-05	5.01839147542568e-05	0.00124344588779992	6.8770549848426e-05	3.71732701883384e-05	2.04452986035861e-05	2.60212891318369e-05	2.04452986035861e-05	2.2303962113003e-05	1.85866350941692e-05	7.43465403766767e-06	1.11519810565015e-05	0	7.43465403766767e-06	0	1.11519810565015e-05	0	0	7.43465403766768e-05	0.000806659963086943	0	9.29331754708459e-06	0	7.43465403766767e-06	2.2303962113003e-05	5.57599052825076e-05	3.71732701883384e-06	0	0	0	1.30106445659184e-05	3.71732701883384e-06	0	0	0
HEB24023	0.0365105898138397	0.1415373313894	0.00651392548339099	0.00201639350406464	0.00210821811530922	0.0340575609134487	0.00129116647239827	0.00115998845633459	0.00554883007949388	0.0630685161517617	0.0011356268247799	0.479665533538471	0.000669007881924794	0.000211758797359949	0.000140547874353948	0.000734596889956636	0.00353243657542923	0.116486078264552	0.0979131451615926	0.000217380712334107	0.000140547874353948	0.000384164189900792	0.00263667812288007	0.000108690356167053	6.18410647157372e-05	6.18410647157372e-05	0.000788942068040163	8.4328724612369e-05	5.8093121399632e-05	2.81095748707897e-05	5.99670930576846e-05	2.6235603212737e-05	3.37314898449476e-05	1.68657449224738e-05	1.49917732644211e-05	1.68657449224738e-05	1.87397165805264e-05	1.31178016063685e-05	1.12438299483159e-05	0	1.49917732644211e-05	0	0.000432887453010161	0.000333566955133371	9.36985829026322e-06	0	0	0	2.43616315546844e-05	7.30848946640531e-05	0	0	0	0	5.62191497415793e-06	2.24876598966317e-05	0	0	0
HEB24025	0.351725204723044	0.152027074534656	0.00438039346198737	0.00134060195840384	0.00201324664732325	0.331841171479865	0.00283354504844448	0.000419524039430572	0.0412539784472454	0.016537215766604	0.000848422917731101	0.0504061648940409	0.000414836619995594	0.00018280935796416	0.000100779517852037	0.000604677107112222	0.000923421628690757	0.0215105677871162	0.0149013063837965	0.000178121938529182	8.20298401121231e-05	0.000145310002484332	0.00348509634990649	0.000119529195591951	2.81245166098708e-05	5.39053235022523e-05	0.000698425495811791	7.96861303946338e-05	2.81245166098708e-05	2.81245166098708e-05	3.046822632736e-05	1.40622583049354e-05	2.34370971748923e-05	7.03112915246769e-06	2.10933874574031e-05	1.17185485874462e-05	0	0	0	1.64059680224246e-05	0	9.37483886995692e-06	9.140467898208e-05	0.000464054524062868	1.17185485874462e-05	1.17185485874462e-05	7.03112915246769e-06	9.37483886995692e-06	3.046822632736e-05	4.45304846322954e-05	0	0	0	0	4.68741943497846e-06	0	0	0	0
HEB24037	0.3365654009786	0.130189334376322	0.00523822447138832	0.00160638883789242	0.00182190435900097	0.0757716652964137	0.000973810873157143	0.000738340211205211	0.0896863850065054	0.0342150844900663	0.000945873675976405	0.198940781124033	0.000490896464747248	0.000221502063361563	8.58071056265515e-05	0.000636568992903952	0.00113145648581988	0.0477486610100494	0.063313670867889	0.000249439260542301	0.00013769047181935	0.000203542436602518	0.00718185518953393	9.57846760482436e-05	4.3901309855445e-05	3.79147676024297e-05	0.000435022070385773	6.18609366144906e-05	5.58743943614754e-05	2.19506549277225e-05	3.19282253494145e-05	1.79596267590457e-05	2.59416830963993e-05	3.99102816867681e-06	7.98205633735363e-06	1.39685985903689e-05	1.19730845060304e-05	9.97757042169204e-06	0	0	0	9.97757042169204e-06	0.00050087403516894	0.000359192535180913	9.97757042169204e-06	1.59641126747073e-05	0	2.39461690120609e-05	2.19506549277225e-05	8.78026197108899e-05	0	0	0	0	0	0	0	0	0
HEB24040	0.0838942563271854	0.563934848509733	0.00467034843064018	0.00155678281021339	0.00156110480579977	0.0127844629445064	0.00103209254602709	0.000840195941991904	0.0151494589293725	0.0306109659400816	0.000851433130516487	0.192870781840358	0.000420962370113228	0.000178066218158778	0.000125337872004965	0.000563588224463705	0.00104765173013805	0.043680680593289	0.036975536640582	0.000154727441992336	7.77959205548059e-05	0.000152134244640509	0.0044499266557349	7.52027232029791e-05	2.85251708700955e-05	4.84063505674348e-05	0.000916263064312159	4.92707496847104e-05	3.8897960277403e-05	2.85251708700955e-05	4.06267585119542e-05	2.59319735182686e-05	1.55591841109612e-05	1.64235832282368e-05	1.03727894073075e-05	1.46947849936856e-05	1.55591841109612e-05	4.32199558637811e-06	0	1.38303858764099e-05	0	0	0.000246353748423552	0.000669044916771331	0	7.77959205548059e-06	1.03727894073075e-05	5.18639470365373e-06	2.42031752837174e-05	0.000103727894073075	3.45759646910249e-06	0	0	1.72879823455124e-06	0	0	2.59319735182686e-06	0	0
HEB24041	0.507028476346593	0.0121067718844472	0.00427309944892462	0.00142917157472467	0.00153007850147036	0.0072364681751909	0.00100700994242127	0.00084020461453554	0.00483117653357935	0.0328791835188099	0.000685755236863566	0.283857362910732	0.000450992182802165	0.000220347778812017	0.000135915452351337	0.000757831613110487	0.0010873236188107	0.0696813812304879	0.0527187209120339	0.000296542805130191	0.000199754528455753	0.000788721488644882	0.0112294994192703	5.97204260331634e-05	5.35424509262844e-05	4.94238008550318e-05	0.00281097867362993	8.44323264606792e-05	3.50085256056475e-05	2.05932503562632e-05	2.88305504987685e-05	2.67712254631422e-05	2.05932503562632e-05	1.44152752493843e-05	1.23559502137579e-05	1.23559502137579e-05	0	0	0	0	0	4.11865007125265e-06	0.000391271756769001	0.000904043690639956	1.02966251781316e-05	1.23559502137579e-05	1.44152752493843e-05	1.64746002850106e-05	1.44152752493843e-05	0.000121500177101953	0	0	0	0	0	1.02966251781316e-05	0	0	0
HEB24042	0.506201736486216	0.037052192795801	0.00396110911055095	0.00142767247556589	0.00146586498765109	0.0760522037079473	0.00245341422871131	0.000738388566980573	0.00503049944893661	0.0381906933941504	0.000774762388014099	0.212966903460242	0.000407386795575488	0.000229155072511212	0.000132764446772369	0.000634723177035024	0.00206421434365259	0.0578216446059442	0.0437467945570214	0.000247341983027975	0.000149132666237456	0.00103847259050716	0.00449580427974378	7.27476420670515e-05	4.54672762919072e-05	2.5461674723468e-05	0.00132036970351698	4.36485852402309e-05	2.18242926201155e-05	2.72803657751443e-05	4.00112031368783e-05	2.36429836717917e-05	2.18242926201155e-05	1.2730837361734e-05	5.45607315502886e-06	7.27476420670515e-06	0	0	0	2.18242926201155e-05	0	7.27476420670515e-06	0.000136401828875722	0.000747482022238954	1.2730837361734e-05	1.09121463100577e-05	0	1.63682194650866e-05	0	7.82037152220804e-05	0	1.2730837361734e-05	0	0	0	0	0	5.45607315502886e-06	0
HEB24044	0.412940802711003	0.117557979455681	0.00453598785696636	0.00155670867309118	0.00185322461082283	0.104961347029546	0.000912492498852766	0.000649511101697907	0.0415139962582513	0.0332274347841435	0.000818948780401709	0.173094708602492	0.000457128737336298	0.000181792509442621	0.000164142751244308	0.00073775989268947	0.000928377281231247	0.046161177591867	0.0493346041159236	0.000282396131173003	0.000109428500829539	0.000190617388541777	0.00581559532634403	7.76589360725758e-05	5.82442020544319e-05	4.5889371315613e-05	0.00045889371315613	8.47188393519009e-05	4.94193229552755e-05	3.52995163966254e-05	3.35345405767941e-05	2.11797098379752e-05	1.58847823784814e-05	2.29446856578065e-05	1.76497581983127e-05	1.76497581983127e-05	1.58847823784814e-05	7.05990327932507e-06	0	0	0	0	0.000351230188146422	0.000559497334886512	0	2.11797098379752e-05	1.05898549189876e-05	0	5.2949274594938e-06	8.82487909915634e-05	0	0	0	0	0	0	3.52995163966254e-06	1.23548307388189e-05	0
HEB24045	0.371664264349687	0.0942996096146457	0.00416920519749593	0.00136072328492612	0.00190840910007578	0.307998972558393	0.000859739360990759	0.00042243983416583	0.040458697484254	0.0261339537608821	0.000702651181451707	0.0848913013481987	0.000456404845958057	0.000208035697227394	9.55265956656399e-05	0.000619861465208152	0.000834265602146589	0.0204235861533138	0.032842043589847	0.000242000709019621	0.000121000354509811	0.000146474113353981	0.00608822836375679	5.7315957399384e-05	4.88247044513271e-05	4.24562647402844e-05	0.0018510931426764	7.00528368214693e-05	0	2.33509456071564e-05	4.24562647402844e-05	4.03334515032702e-05	1.27368794220853e-05	1.27368794220853e-05	1.06140661850711e-05	0	0	8.49125294805688e-06	1.9105319133128e-05	0	0	0	0.00019105319133128	0.000537071748964598	0	1.06140661850711e-05	0	0	1.69825058961138e-05	4.67018912143129e-05	0	0	0	4.24562647402844e-06	0	0	0	0	6.36843971104266e-06
HEB24055	0.295020091200506	0.042085421463723	0.00579032913449817	0.00176531671858775	0.00201363492708474	0.106180865953316	0.00111517449997743	0.000476319472662423	0.0564562734209219	0.0412230800487607	0.0009865005192108	0.305566842746851	0.000614023206465303	0.000228001264165425	0.000128673980766626	0.000738182310713802	0.00099327283398799	0.0740168856381778	0.056176351076798	0.000302496726714524	0.000115129351212244	0.000352160368413924	0.00503860219422999	0.00013770373380288	6.09508329947176e-05	7.67529008081629e-05	0.000898460427107319	9.25549686216082e-05	7.44954625490993e-05	2.48318208496998e-05	7.22380242900357e-05	4.28913269222087e-05	2.25743825906361e-05	1.35446295543817e-05	2.03169443315725e-05	2.25743825906361e-05	0	0	0	0	1.35446295543817e-05	0	0.000458259966589914	0.000471804596144295	0	2.48318208496998e-05	0	0	2.70892591087634e-05	5.19210799584631e-05	0	0	0	0	0	0	9.02975303625446e-06	0	0
