feature	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24.7	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__.Exiguobacteraceae.	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae	k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae	k__Bacteria.__.__.__.__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.__	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae	k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta.f__	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__mitochondria	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae	k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.__	k__Bacteria.p__Firmicutes.c__Clostridia.__.__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptococcaceae	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__	k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39.f__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32.f__	k__Bacteria.p__Firmicutes.__.__.__	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae	k__Bacteria.p__Deferribacteres.c__Deferribacteres.o__Deferribacterales.f__Deferribacteraceae	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Streptomycetaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Brevibacteriaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Corynebacteriaceae	Unassigned.__.__.__.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Intrasporangiaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Dermabacteraceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales.f__Xanthomonadaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Dehalobacteriaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Mogibacteriaceae.	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae	k__Bacteria.p__Bacteroidetes.__.__.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.__.__	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae	k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Methylobacteriaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Nocardiopsaceae	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.__.__	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Paenibacillaceae	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Rhizobiaceae	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Pseudomonadaceae	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae
HEB24017	-2.55512524830744	-1.50664516032609	-7.59695284029433	-9.32649652579554	-9.08165305196652	-1.69818367297379	-10.2075802244088	-10.3755248617229	-5.56600878882762	-6.01060662524493	-10.0860182445279	-3.79915949344615	-11.1607860129299	-12.4523404587737	-12.9929088401364	-10.85739386948	-8.97931123673571	-5.64579083678777	-5.78611645597055	-12.6279120233572	-13.4225931153797	-12.9287785027167	-7.43182344143322	-13.5137410034379	-14.083106649108	-14.2824154573314	-9.65144055885343	-13.8278495938659	-14.7153748646075	-15.5778713408576	-15.2299480374373	-15.5778713408576	-15.4523404587737	-15.7153748646075	-17.0373029594949	-16.4523404587737	-18.3552249009769	-17.0373029594949	-18.9341861274943	-16.4523404587737	-18.425551946527	-19.3507946182767	-13.7153748646075	-10.2757517270504	-18.0179784361009	-16.7153748646075	-18.8364572394867	-17.0373029594949	-15.4523404587737	-14.1304123638864	-18.0373029594949	-17.8705934942268	-19.2704664355807	-20.1417990652935	-16.2299480374373	-18.0373029594949	-19.5568365645724	-19.0105800075329	-18.7208621298642
HEB24023	-4.77554121465768	-2.8207454714623	-7.26225706866748	-8.95400707292525	-8.88976014937748	-4.87588107196535	-9.59710926277759	-9.75167383626761	-7.49360066030432	-3.98693619925915	-9.78229545200893	-1.05989931676044	-10.5456891714528	-12.2052904730667	-12.796650744986	-10.4107595913667	-8.14512062732585	-3.1017705521868	-3.35235363039148	-12.1674884403543	-12.796650744986	-11.3459893359764	-8.56706282224534	-13.1674884403543	-13.9810753161234	-13.9810753161234	-10.3077930124155	-13.5336163391522	-14.071273125095	-15.1185788398734	-14.0254694354819	-15.2181145134243	-14.8555444340396	-15.8555444340396	-16.0254694354819	-15.8555444340396	-15.7035413405945	-16.2181145134243	-16.4405069347607	-17.6877884635083	-16.0254694354819	-19.3507946182767	-11.1737203940658	-11.5497360045155	-16.7035413405945	-18.6134177906643	-18.8364572394867	-18.5568365645724	-15.3250297173408	-13.7400672166196	-19.5641606567738	-17.8705934942268	-19.2704664355807	-20.1417990652935	-17.4405069347607	-15.4405069347607	-19.5568365645724	-19.0105800075329	-18.7208621298642
HEB24025	-1.50747937230393	-2.71759981846489	-7.83472382119106	-9.54290333815783	-8.95626035379775	-1.59143520255099	-8.46317614568709	-11.218958897672	-4.59932293322013	-5.9181398293787	-10.202928787853	-4.31025599735614	-11.2351691248532	-12.417372456074	-13.2765099202341	-10.691547419513	-10.0807228554798	-5.53881058352395	-6.06841737379824	-12.4548471614926	-13.5734916579913	-12.7485783645493	-8.1645857428838	-13.0303493329647	-15.1178121742151	-14.1792127188792	-10.4836061544741	-13.6153118336859	-15.1178121742151	-15.1178121742151	-15.0023349567951	-16.1178121742151	-15.3808465800489	-17.1178121742151	-15.5328496734939	-16.3808465800489	-18.3552249009769	-18.8198709704062	-18.9341861274943	-15.8954197528786	-18.425551946527	-16.7027746749362	-13.417372456074	-11.0734180548566	-16.3808465800489	-16.3808465800489	-17.1178121742151	-16.7027746749362	-15.0023349567951	-14.4548471614926	-19.5641606567738	-17.8705934942268	-19.2704664355807	-20.1417990652935	-17.7027746749362	-19.0373029594949	-19.5568365645724	-19.0105800075329	-18.7208621298642
HEB24037	-1.57104122006795	-2.9413168328098	-7.57670640045661	-9.28196313489548	-9.10033705791323	-3.72219773423579	-10.0040707703346	-10.4034266473811	-3.47896719877106	-4.86922367983595	-10.0460648589992	-2.3295890485061	-10.9922936025582	-12.1403922415474	-13.5085433531954	-10.6173954941326	-9.78760318295523	-4.3883959127781	-3.98133914566861	-11.9690238232354	-12.8262836511193	-12.262382765926	-7.12142772097273	-13.3498456071763	-14.4753764892602	-14.6868805944539	-11.1666237831205	-13.9806117975106	-14.1274531858399	-15.4753764892602	-14.9348081078975	-15.7648831064551	-15.2343683897564	-17.9348081078975	-16.9348081078975	-16.1274531858399	-16.3498456071763	-16.6128800130101	-18.9341861274943	-17.6877884635083	-18.425551946527	-16.6128800130101	-10.9632645539467	-11.4429550115678	-16.6128800130101	-15.9348081078975	-18.8364572394867	-15.3498456071763	-15.4753764892602	-13.4753764892602	-19.5641606567738	-17.8705934942268	-19.2704664355807	-20.1417990652935	-18.8705894809492	-19.0373029594949	-19.5568365645724	-19.0105800075329	-18.7208621298642
HEB24040	-3.57528414730909	-0.826399597442836	-7.74225409866611	-9.32721659938726	-9.32321688781268	-6.28946463330711	-9.92021194402873	-10.2169865616878	-6.0445899217432	-5.02980761942866	-10.1978191509498	-2.37429349005269	-11.2140211032112	-12.4552985381103	-12.9618899752786	-10.7930709110625	-9.89862508182059	-4.51686085455832	-4.75728510389492	-12.6579832880293	-13.6499459689639	-12.6823674466562	-7.81200272707284	-13.6988555694448	-15.0974049459351	-14.3344441432359	-10.091950515843	-14.3089090511288	-14.6499459689639	-15.0974049459351	-14.5872102136159	-15.234908469685	-15.9718740638512	-15.89387155185	-16.5568365645724	-16.0543362240432	-15.9718740638512	-17.8198709704062	-18.9341861274943	-16.1417990652935	-18.425551946527	-19.3507946182767	-11.9869809562414	-10.5456093091491	-18.0179784361009	-16.9718740638512	-16.5568365645724	-17.5568365645724	-15.3344441432359	-13.234908469685	-18.1417990652935	-17.8705934942268	-19.2704664355807	-19.1417990652935	-18.8705894809492	-19.0373029594949	-18.5568365645724	-19.0105800075329	-18.7208621298642
HEB24041	-0.979861318999333	-6.36804194960903	-7.87050139104564	-9.45060515958903	-9.35217861162869	-7.11049853615891	-9.95570635721505	-10.2169716701958	-7.69340971413878	-4.92668171642391	-10.510018645096	-1.81676193105498	-11.1146099525661	-12.1479300257661	-12.8450028928088	-10.3658350561103	-9.84500289280883	-3.8430829683261	-4.24554082239256	-11.719472010725	-12.2894841699802	-10.3081964302423	-6.47656257204801	-14.0314160170397	-14.1889572940262	-14.3044345114461	-8.47471177636007	-13.5318450075492	-14.8019341709169	-15.5674689172799	-15.0820420901097	-15.1889572940262	-15.5674689172799	-16.0820420901097	-16.3044345114461	-16.3044345114461	-18.3552249009769	-18.8198709704062	-18.9341861274943	-17.6877884635083	-18.425551946527	-17.8893970121673	-11.3195414038363	-10.1113198826319	-16.5674689172799	-16.3044345114461	-16.0820420901097	-15.8893970121673	-16.0820420901097	-13.0067539628054	-19.5641606567738	-17.8705934942268	-19.2704664355807	-20.1417990652935	-18.8705894809492	-16.5674689172799	-19.5568365645724	-19.0105800075329	-18.7208621298642
HEB24042	-0.982215638375637	-4.75429726419328	-7.97987984318155	-9.45211923811947	-9.41403205337049	-3.7168661373218	-8.67099344895019	-10.4033321647133	-7.63508264074796	-4.71063507585722	-10.3339584616726	-2.23129885187188	-11.2613131598409	-12.0913881583985	-12.8788435230184	-10.6215848556888	-8.92019149972018	-4.11224654617773	-4.51467887902653	-11.9812052406481	-12.7111160772804	-9.91132114653561	-7.79720505399408	-13.7467399870111	-14.4248118921237	-15.2613131598409	-9.5648423439027	-14.4837055811773	-15.4837055811773	-15.1617774862899	-14.6092364632612	-15.3682283637574	-15.4837055811773	-16.2613131598409	-17.4837055811773	-17.0686680818985	-18.3552249009769	-18.8198709704062	-18.9341861274943	-15.4837055811773	-18.425551946527	-17.0686680818985	-12.8398493914026	-10.3856734982168	-16.2613131598409	-16.4837055811773	-18.8364572394867	-15.8987430804561	-18.5269576498932	-13.6424033271964	-19.5641606567738	-16.2613131598409	-19.2704664355807	-20.1417990652935	-18.8705894809492	-19.0373029594949	-19.5568365645724	-17.4837055811773	-18.7208621298642
HEB24044	-1.27599311652718	-3.08855562709646	-7.78436750653315	-9.32728530505687	-9.0757465380609	-3.2520699547618	-10.0978996802995	-10.5883581945574	-4.59025837311974	-4.91148127101641	-10.2539391554868	-2.5303664717982	-11.0951118629278	-12.4254196234312	-12.5727613395064	-10.4045610185335	-10.0730011613221	-4.43717616153924	-4.34125625769763	-11.789992055727	-13.1577238402275	-12.3570326484509	-7.42585740071898	-13.6524885319771	-14.0675260312559	-14.4114804324733	-11.0895523375859	-13.5269576498932	-14.3045652285568	-14.789992055727	-14.8639926371708	-15.5269576498932	-15.9419951491721	-15.4114804324733	-15.789992055727	-15.789992055727	-15.9419951491721	-17.1119201506144	-18.9341861274943	-17.6877884635083	-18.425551946527	-19.3507946182767	-11.4752955300707	-10.803581120475	-18.0179784361009	-15.5269576498932	-16.5269576498932	-18.5568365645724	-17.5269576498932	-13.4680639608397	-19.5641606567738	-17.8705934942268	-19.2704664355807	-20.1417990652935	-18.8705894809492	-19.0373029594949	-18.1119201506144	-16.3045652285568	-18.7208621298642
HEB24045	-1.42792811565718	-3.40660439138952	-7.90601190505007	-9.52141057274602	-9.03341381385032	-1.69900255658856	-10.1838130215928	-11.2089664988211	-4.62740631484282	-5.25793078575529	-10.4749037125575	-3.55823945866727	-11.0973982697753	-12.2308812752496	-13.3537380230351	-10.6557665604847	-10.2272056171062	-5.61361998020196	-4.92831228844439	-12.0127011052	-13.0127011052	-12.7370666625866	-7.35976181066286	-14.0907036172013	-14.3220291633078	-14.5236630244774	-9.07740679458784	-13.8011970000063	-16.8705894809492	-15.3861595007275	-14.5236630244774	-14.5976636059212	-16.2606286186436	-16.2606286186436	-16.5236630244774	-18.0686680818985	-18.3552249009769	-16.8455911193648	-15.6756661179225	-17.6877884635083	-18.425551946527	-19.3507946182767	-12.3537380230351	-10.8625975446705	-18.0179784361009	-16.5236630244774	-18.8364572394867	-18.5568365645724	-15.8455911193648	-14.3861595007275	-19.5641606567738	-17.8705934942268	-19.2704664355807	-17.8455911193648	-18.8705894809492	-19.0373029594949	-19.5568365645724	-19.0105800075329	-17.2606286186436
HEB24055	-1.76111488791003	-4.57053562452141	-7.43213892829342	-9.14585724148048	-8.95598213886753	-3.23540428243005	-9.80851480720316	-11.0357828500806	-4.14672228760051	-4.60040388758886	-9.98539256928724	-1.71044009078052	-10.6694191975375	-12.098670556036	-12.9239920246231	-10.4037352132898	-9.97552232526317	-3.75600175622902	-4.15389327222345	-11.6907928483301	-13.0844566968163	-11.4714798199256	-7.63276072695865	-12.8261447012249	-14.0019945366244	-13.6694191975375	-10.1202574182442	-13.3993300341698	-13.7124879194294	-15.2974504201505	-13.7568820387878	-14.5089545253442	-15.4349539439005	-16.1719195380667	-15.5869570373455	-15.4349539439005	-18.3552249009769	-18.8198709704062	-18.9341861274943	-17.6877884635083	-16.1719195380667	-19.3507946182767	-11.0915461216027	-11.049522906707	-18.0179784361009	-15.2974504201505	-18.8364572394867	-18.5568365645724	-15.1719195380667	-14.2333200827308	-19.5641606567738	-17.8705934942268	-19.2704664355807	-20.1417990652935	-18.8705894809492	-19.0373029594949	-16.7568820387878	-19.0105800075329	-18.7208621298642
