feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.__	Total_water_percentage	Total_water_percentage	-0.350340384594493	0.0883560717969572	36	36	0.000359705124744362	0.0284167048548046
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__SMB53	Total_water_percentage	Total_water_percentage	1.03849392929735	0.313568284308139	36	36	0.00226666357287304	0.0895332111284851
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__	Total_water_percentage	Total_water_percentage	0.837655989446424	0.304938585567339	36	36	0.00960092122151376	0.231845527248972
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Epulopiscium	Total_water_percentage	Total_water_percentage	-0.476303159100839	0.182565274317567	36	36	0.0134062675232547	0.231845527248972
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia	Total_water_percentage	Total_water_percentage	-0.275704315378889	0.110195419904665	36	36	0.017608521056884	0.231845527248972
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Mogibacteriaceae..g__	Total_water_percentage	Total_water_percentage	0.188188910501672	0.07318015798549	36	36	0.0151966777813088	0.231845527248972
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.g__	Total_water_percentage	Total_water_percentage	-0.425272713064394	0.180080576975794	36	36	0.0248374865438722	0.245270179620738
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae.g__Pseudoramibacter_Eubacterium	Total_water_percentage	Total_water_percentage	0.414229953603574	0.175791108996763	36	36	0.0243572317880767	0.245270179620738
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Oscillospira	Total_water_percentage	Total_water_percentage	-0.426295153879905	0.185638600689	36	36	0.0288994062418295	0.253672565900504
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Dehalobacteriaceae.g__Dehalobacterium	Total_water_percentage	Total_water_percentage	-0.30685993708663	0.149052526086174	36	36	0.0481615460624852	0.348872487278667
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Coprococcus	Total_water_percentage	Total_water_percentage	-0.276638074214322	0.135224389610893	36	16	0.048577181772979	0.348872487278667
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.__	Total_water_percentage	Total_water_percentage	-0.342670532497069	0.173800002636832	36	36	0.0568322747179904	0.374145808560103
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae.g__Akkermansia	Total_water_percentage	Total_water_percentage	-0.413652372960192	0.222970051018721	36	36	0.0725221022498318	0.381949738515781
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__	Total_water_percentage	Total_water_percentage	-0.348610410572524	0.183035525524081	36	36	0.0653200551328665	0.381949738515781
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Nocardiopsaceae.g__Prauseria	Total_water_percentage	Total_water_percentage	0.228337813284674	0.121345327850442	36	7	0.0684580920678905	0.381949738515781
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__	Total_water_percentage	Total_water_percentage	0.42492999800729	0.250368338787213	36	36	0.0987925221548829	0.41468654402952
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.__.__	Total_water_percentage	Total_water_percentage	-0.227735618647984	0.128275621994863	36	36	0.0858315319006312	0.41468654402952
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptococcaceae.g__rc4.4	Total_water_percentage	Total_water_percentage	-0.106553637644019	0.0639734419442306	36	36	0.104983935197347	0.41468654402952
k__Bacteria.p__Bacteroidetes.__.__.__.__	Total_water_percentage	Total_water_percentage	-0.313659872196408	0.187155716845166	36	21	0.102925642045057	0.41468654402952
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Paenibacillaceae.__	Total_water_percentage	Total_water_percentage	-0.198226500232906	0.11382699119401	36	8	0.0922653760694037	0.41468654402952
k__Bacteria.p__Firmicutes.c__Clostridia.__.__.__	Total_water_percentage	Total_water_percentage	-0.240640289678712	0.148280790286204	36	36	0.115173192644586	0.422759086252935
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Allobaculum	Total_water_percentage	Total_water_percentage	0.667054246382494	0.415335175461486	36	36	0.117730378450185	0.422759086252935
