feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Firmicutes.c__Clostridia.__	AUC	AUC	-0.549304308376482	0.174606259137758	18	18	0.00714881534501345	0.20731564500539
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales	AUC	AUC	-0.34076214324312	0.135349111211556	18	3	0.0246121780652507	0.356876581946136
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales	AUC	AUC	0.0932787863422722	0.0668188842760709	18	18	0.184460783910731	0.482557057885055
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales	AUC	AUC	0.448492929386449	0.358512485252352	18	18	0.231443372010464	0.482557057885055
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales	AUC	AUC	-0.0958599968549459	0.0646325531270815	18	18	0.160193718752899	0.482557057885055
k__Bacteria.__.__.__	AUC	AUC	-0.161573594060728	0.0946183614054814	18	18	0.109773380855823	0.482557057885055
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales	AUC	AUC	-0.256451675789132	0.213503738773642	18	18	0.249617621953916	0.482557057885055
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales	AUC	AUC	-0.106185225117611	0.0731725362579545	18	18	0.168771901806087	0.482557057885055
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales	AUC	AUC	-0.0745491687356631	0.0667521359999998	18	18	0.282878275311929	0.482557057885055
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales	AUC	AUC	-0.0986119179547786	0.0804181038950701	18	18	0.240334231729476	0.482557057885055
k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39	AUC	AUC	-0.279024989548819	0.193074599934694	18	18	0.170421422866518	0.482557057885055
k__Bacteria.p__Firmicutes.__.__	AUC	AUC	-0.280977296549111	0.16700951494553	18	18	0.11465044903085	0.482557057885055
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales	AUC	AUC	-0.161749006052585	0.143301245525671	18	18	0.277981112245924	0.482557057885055
k__Bacteria.p__Deferribacteres.c__Deferribacteres.o__Deferribacterales	AUC	AUC	-0.169261224560735	0.122405314828196	18	18	0.188387842813128	0.482557057885055
Unassigned.__.__.__	AUC	AUC	0.171463663170771	0.153187538545637	18	6	0.281846641696013	0.482557057885055
k__Bacteria.p__Bacteroidetes.__.__	AUC	AUC	-0.342903914091984	0.279899421113177	18	10	0.240751462391386	0.482557057885055
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.__	AUC	AUC	0.138747342706651	0.0887707382323815	18	2	0.14037263578281	0.482557057885055
k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta	AUC	AUC	-0.0685133247539177	0.0664193785050358	18	18	0.319785935152619	0.488094322075049
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales	AUC	AUC	0.202657394380704	0.194565551315405	18	4	0.315256180177439	0.488094322075049
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales	AUC	AUC	0.29254734477208	0.300711603885003	18	8	0.347137649403202	0.503349591634643
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales	AUC	AUC	0.602664539316434	0.699225994539185	18	18	0.403263301436878	0.556887416269974
k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales	AUC	AUC	-0.115466039737002	0.200856561543655	18	18	0.574503147627305	0.666423651247674
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales	AUC	AUC	-0.0707421262100412	0.117959172265589	18	18	0.558276921749474	0.666423651247674
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales	AUC	AUC	-0.0740413965616265	0.121241317681196	18	18	0.551188200824581	0.666423651247674
k__Bacteria.p__Actinobacteria.c__Actinobacteria.__	AUC	AUC	-0.158089696061221	0.260415029114973	18	4	0.553524386195823	0.666423651247674
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales	AUC	AUC	0.0846600778309849	0.175489689043997	18	18	0.636961803525588	0.710457396240079
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales	AUC	AUC	0.161846214867599	0.384876741219557	18	10	0.680492970041517	0.730899856711259
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales	AUC	AUC	-0.116758314318982	0.448539768608094	18	18	0.798415964312026	0.826930820180312
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32	AUC	AUC	-0.0235008629578247	0.118519439867388	18	18	0.845671021112158	0.845671021112158
