feature	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales	k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales	k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales	k__Bacteria.__.__.__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales	k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales	k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales	k__Bacteria.p__Firmicutes.c__Clostridia.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales	k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32	k__Bacteria.p__Firmicutes.__.__	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales	k__Bacteria.p__Deferribacteres.c__Deferribacteres.o__Deferribacterales	Unassigned.__.__.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales	k__Bacteria.p__Bacteroidetes.__.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.__	k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales
HEB24055	131206	19862	3463	47036	494	211	239053	272	101	57	440	156	27	53	398	41	11	32	22	10	0	0	11	0	23	0	0	4	0
HEB24056	189303	24612	5046	53407	802	305	387675	369	165	67	600	149	44	95	697	64	26	49	32	18	0	0	9	0	29	7	0	3	5
HEB24129	222711	93369	3427	67909	1674	243	174209	214	104	45	831	67	27	60	420	50	12	24	6	9	3	4	0	0	51	0	0	0	0
HEB24130	375990	99770	3625	131271	534	443	137141	284	133	76	604	135	31	68	1050	43	24	18	19	13	0	4	8	0	74	4	0	0	0
HEB24131	303527	26936	2478	180841	388	394	45699	193	100	48	491	200	30	32	274	29	17	9	9	6	0	4	0	0	55	0	0	0	0
HEB24132	272414	26924	3276	102925	524	385	139202	271	102	53	121894	77	32	36	306	43	11	20	20	11	4	2	5	0	61	4	3	0	0
HEB24133	150697	119519	2572	54329	606	290	102458	167	107	52	423	57	24	42	611	17	12	14	13	8	0	4	0	5	28	0	0	0	2
HEB24134	276314	6766	2906	186210	2141	259	127916	229	96	48	483	363	28	35	1754	27	16	18	14	10	0	0	0	0	20	2	0	0	0
HEB24135	236675	98758	3478	37732	737	280	148105	257	95	66	419	80	36	56	901	48	17	19	13	13	0	0	0	0	31	9	0	0	6
HEB24136	257878	86170	3375	160585	5111	617	117221	267	114	55	539	67	34	47	1294	34	14	28	8	7	3	0	6	0	88	4	0	0	0
HEB24137	164944	65973	3969	150777	496	397	161269	270	121	57	7433	157	34	54	517	41	22	30	12	13	3	2	4	9	27	0	0	0	0
HEB24138	271142	106293	3441	103167	523	377	169634	239	109	53	523	61	21	50	656	24	13	13	12	10	0	0	6	0	89	3	0	0	4
HEB24139	277801	11388	2871	206027	1156	443	100047	217	88	52	564	87	20	41	644	27	15	11	11	7	3	5	3	0	45	0	0	0	0
HEB24140	297093	161467	3262	214394	402	220	40755	207	102	58	438	66	34	55	268	32	14	16	14	9	0	0	0	0	49	2	3	0	0
HEB24141	189568	15499	2775	64150	5276	294	117241	263	86	44	72195	69	19	23	469	31	11	24	13	9	3	5	0	2	22	9	0	0	0
HEB24142	161927	29739	3451	157923	2756	500	170033	231	107	54	485	70	30	37	600	30	13	28	11	12	0	0	5	4	106	6	0	3	0
HEB24143	148011	11776	2046	97418	15124	188	83503	170	74	45	277	87	16	26	624	25	13	9	9	3	0	0	3	0	34	0	0	0	0
HEB24144	159045	80066	2314	50918	314	230	92611	158	63	34	348	195	19	37	643	24	5	16	7	9	0	0	0	0	21	0	0	0	0
