feature	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales	k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales	k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales	k__Bacteria.__.__.__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales	k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales	k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales	k__Bacteria.p__Firmicutes.c__Clostridia.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales	k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32	k__Bacteria.p__Firmicutes.__.__	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales	k__Bacteria.p__Deferribacteres.c__Deferribacteres.o__Deferribacterales	Unassigned.__.__.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales	k__Bacteria.p__Bacteroidetes.__.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.__	k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales
HEB24055	0.296187438344135	0.0448369350516837	0.00781745574886621	0.106180146867939	0.00111516694771583	0.000476316246898865	0.539643733506703	0.00061401904813503	0.000227999720079552	0.000128673109351826	0.000993266107277254	0.000352157983489208	6.09504202192861e-05	0.000119643417467487	0.000898454342491698	9.25543418144714e-05	2.48316526819314e-05	7.22375350747094e-05	4.96633053638627e-05	2.25742297108467e-05	0	0	2.48316526819314e-05	0	5.19207283349474e-05	0	0	9.02969188433868e-06	0
HEB24056	0.285276184563081	0.0370898372158209	0.00760423039944061	0.0804833794972106	0.00120859944121113	0.000459629463303485	0.584219187495667	0.000556076301504872	0.000248652004737951	0.000100967783742077	0.000904189108138003	0.000224540295187604	6.63072012634536e-05	0.000143163275455184	0.00105036634728698	9.6446838201387e-05	3.91815280193135e-05	7.3842110497937e-05	4.82234191006935e-05	2.71256732441401e-05	0	0	1.35628366220701e-05	0	4.37024735600035e-05	1.05488729282767e-05	0	4.52094554069002e-06	7.53490923448336e-06
HEB24129	0.393851829189575	0.165117804866403	0.00606045601085117	0.120093232343418	0.00296037448560399	0.00042973178016832	0.30807878062281	0.000378446917514488	0.000183918128137882	7.95799592904297e-05	0.00146957658156327	0.000118485717165751	4.77479755742578e-05	0.00010610661238724	0.000742746286710677	8.84221769893663e-05	2.12213224774479e-05	4.24426449548959e-05	1.0610661238724e-05	1.59159918580859e-05	5.30533061936198e-06	7.07377415914931e-06	0	0	9.01906205291537e-05	0	0	0	0
HEB24130	0.500411253164254	0.132785528147551	0.00482457191074342	0.174710725322814	0.0007107093518171	0.000589595960402576	0.182523204527245	0.00037798025452445	0.00017701187975969	0.000101149645576966	0.000803873499059042	0.000179673712538031	4.12584080642886e-05	9.05023144636008e-05	0.00139746220862913	5.72294047343358e-05	3.19419933400944e-05	2.39564950050708e-05	2.52874113942414e-05	1.73019130592178e-05	0	5.3236655566824e-06	1.06473311133648e-05	0	9.84878127986244e-05	5.3236655566824e-06	0	0	0
HEB24131	0.540314369125605	0.0479493021931074	0.00441113642836799	0.321918612930789	0.000690686414127029	0.000701367131871262	0.0813496866989462	0.000343563087439476	0.000178011962403874	8.54457419538593e-05	0.000874038735403019	0.000356023924807747	5.34035887211621e-05	5.69638279692395e-05	0.000487752776986613	5.16234690971233e-05	3.02620336086585e-05	1.60210766163486e-05	1.60210766163486e-05	1.06807177442324e-05	0	7.12047849615494e-06	0	0	9.79065793221304e-05	0	0	0	0
HEB24132	0.407436378728846	0.0402689181205645	0.00489975396534576	0.15393991968352	0.000783721330232349	0.000575825786525677	0.208197665288175	0.000405321527658333	0.000152556442144465	7.92695238593789e-05	0.18231093096821	0.000115165157305135	4.7860844594342e-05	5.38434501686347e-05	0.000457669326433395	6.4313009923647e-05	1.6452165329305e-05	2.99130278714637e-05	2.99130278714637e-05	1.6452165329305e-05	5.98260557429274e-06	2.99130278714637e-06	7.47825696786593e-06	0	9.12347350079643e-05	5.98260557429274e-06	4.48695418071956e-06	0	0
HEB24133	0.348789627294547	0.276627852343557	0.00595291824921249	0.125744982722187	0.00140259271346142	0.000671207734164705	0.237140006989818	0.000386523074501744	0.000247652508812495	0.000120354490264016	0.000979037488109208	0.000131927037404787	5.55482262756997e-05	9.72093959824745e-05	0.00141416526060219	3.93466602786206e-05	2.77741131378499e-05	3.24031319941582e-05	3.0088622566004e-05	1.85160754252332e-05	0	9.25803771261662e-06	0	1.15725471407708e-05	6.48062639883164e-05	0	0	0	4.62901885630831e-06
HEB24134	0.456223427528874	0.0111713764436849	0.00479811113587769	0.307452262426629	0.00353501580933039	0.000427636195523854	0.211202747438723	0.000378103045463176	0.00015850608019417	7.9253040097085e-05	0.000797483715976918	0.000599351115734205	4.62309400566329e-05	5.77886750707911e-05	0.00289603817354765	4.45798350546103e-05	2.64176800323617e-05	2.97198900364069e-05	2.31154700283165e-05	1.6511050020226e-05	0	0	0	0	3.30221000404521e-05	3.30221000404521e-06	0	0	0
HEB24135	0.44839162534978	0.187101553338095	0.00658923026499012	0.0714850018282367	0.00139628024879175	0.000530472821793339	0.280591704541795	0.000486898268574601	0.000179981850251312	0.000125040022279859	0.00079381468689789	0.000151563663369525	6.82036485162865e-05	0.000106094564358668	0.00170698575869928	9.09381980217153e-05	3.22072784660242e-05	3.59963700502623e-05	2.46290952975479e-05	2.46290952975479e-05	0	0	0	0	5.87309195556911e-05	1.70509121290716e-05	0	0	1.13672747527144e-05
HEB24136	0.407026260878898	0.136007929718451	0.00532699040036871	0.253462149168358	0.00806703642556577	0.000973852763563701	0.185017819769369	0.000421424129451391	0.00017993389796801	8.68102139319345e-05	0.000850740096532958	0.000105750624244357	5.36644958851959e-05	7.41832737236531e-05	0.00204240757868951	5.36644958851959e-05	2.20971453644924e-05	4.41942907289848e-05	1.26269402082814e-05	1.10485726822462e-05	4.73510257810552e-06	0	9.47020515621103e-06	0	0.000138896342291095	6.31347010414069e-06	0	0	0
HEB24137	0.296325572955872	0.118521965179805	0.0071303969775309	0.270874241643027	0.000891075056904844	0.000713219349982304	0.289723353532232	0.000485061018879653	0.00021737919734977	0.000102401770652371	0.0133535501975276	0.000282053999867057	6.10817579329933e-05	9.70122037759305e-05	0.000928802025039928	7.36574139780213e-05	3.9523490427231e-05	5.38956687644059e-05	2.15582675057623e-05	2.33547897979092e-05	5.38956687644059e-06	3.59304458429372e-06	7.18608916858745e-06	1.61687006293218e-05	4.85061018879653e-05	0	0	0	0
HEB24138	0.413034702641276	0.16191773184475	0.00524172725652474	0.157155848844489	0.000796693796908584	0.000574289792417851	0.258406033546445	0.000364072308721131	0.000166041345818424	8.07357002603345e-05	0.000796693796908584	9.29222210543473e-05	3.19896170842835e-05	7.61657549625798e-05	0.000999294705109046	3.65595623820383e-05	1.98030962902707e-05	1.98030962902707e-05	1.82797811910191e-05	1.5233150992516e-05	0	0	9.13989059550957e-06	0	0.000135575043833392	4.56994529775479e-06	0	0	6.09326039700638e-06
HEB24139	0.461791004582985	0.0189303708776823	0.00477248812696049	0.34248046371762	0.00192162879650516	0.000736402730840646	0.166308993256014	0.000360720976506592	0.000146283160979632	8.64400496697824e-05	0.00093754207718764	0.000144620852332136	3.32461729499163e-05	6.81546545473284e-05	0.0010705267689873	4.4882333482387e-05	2.49346297124372e-05	1.8285395122454e-05	1.8285395122454e-05	1.16361605324707e-05	4.98692594248745e-06	8.31154323747908e-06	4.98692594248745e-06	0	7.48038891373117e-05	0	0	0	0
HEB24140	0.413226048737065	0.224584121508846	0.00453710915767219	0.298200178034939	0.000559140981417603	0.000305997552019584	0.0566860465116279	0.000287915878491154	0.000141871592299989	8.06720818960721e-05	0.000609213308111717	9.17992656058752e-05	4.7290530766663e-05	7.6499388004896e-05	0.000372760654278402	4.45087348392122e-05	1.94725714921553e-05	2.22543674196061e-05	1.94725714921553e-05	1.25180816735284e-05	0	0	0	0	6.81540002225437e-05	2.78179592745076e-06	4.17269389117614e-06	0	0
