feature	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales	k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales	k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales	k__Bacteria.__.__.__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales	k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales	k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales	k__Bacteria.p__Firmicutes.c__Clostridia.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales	k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32	k__Bacteria.p__Firmicutes.__.__	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales	k__Bacteria.p__Deferribacteres.c__Deferribacteres.o__Deferribacterales	Unassigned.__.__.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales	k__Bacteria.p__Bacteroidetes.__.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.__	k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales
HEB24055	-1.7554176393481	-4.47916852752935	-6.99908513694247	-3.23541405278191	-9.80852457755502	-11.0357926204325	-0.889920823775841	-10.6694289678894	-12.0986803263879	-12.924001794975	-9.97553209561504	-11.4714895902774	-14.0020043069762	-13.0289713545765	-10.120267188596	-13.3993398045216	-15.2974601905024	-13.7568918091397	-14.2974601905024	-15.4349637142523	-18.6881728897084	-19.3507946182767	-15.2974601905024	-18.8364572394867	-14.2333298530827	-19.4555519816703	-18.8705894809492	-16.7568918091397	-18.7208621298642
HEB24056	-1.80956878206116	-4.75283225378722	-7.03898204001193	-3.63516530459274	-9.69244810453331	-11.087241098538	-0.775418353546243	-10.8124295249278	-11.9735843167424	-13.2738173405305	-10.1110878404923	-12.1207380105261	-13.8804749123509	-12.7700509226573	-9.89489168511981	-13.3399065309882	-14.6394668128471	-13.725196686873	-14.3399065309882	-15.1699815295459	-18.6881728897084	-19.3507946182767	-16.1699815295459	-18.8364572394867	-14.4819255358607	-16.5325516089306	-18.8705894809492	-17.7549440302671	-17.0179784361009
HEB24129	-1.34427511875554	-2.59843239857633	-7.36635793323414	-3.05777324225924	-8.40000459720297	-11.1842759061475	-1.69862877682194	-11.3676214233522	-12.4086486916122	-13.6172353134236	-9.41038374298297	-13.0429992192955	-14.3542009075898	-13.2021978141448	-10.3948428920872	-13.4652322199786	-15.5241259090322	-14.5241259090322	-16.5241259090322	-15.939163408311	-17.5241259090322	-17.1090884097533	-18.6134177906643	-18.8364572394867	-13.4366630677818	-19.4555519816703	-18.8705894809492	-18.7549440302671	-18.7208621298642
HEB24130	-0.998813861934952	-2.91283017416229	-7.69538334842582	-2.51695991825789	-10.4584526965279	-10.7279857396605	-2.4538482066301	-11.3694015087108	-12.4638661927143	-13.2712211147719	-10.2807438888904	-12.4423330311646	-14.5649523178286	-13.4316857869651	-9.48297501566199	-14.0928838735134	-14.9341861274943	-15.3492236267732	-15.2712211147719	-15.8187089100744	-18.6881728897084	-17.5191486282155	-16.5191486282155	-18.8364572394867	-13.3096952625865	-17.5191486282155	-18.8705894809492	-18.7549440302671	-18.7208621298642
HEB24131	-0.888129045365845	-4.38234636994047	-7.82463390362752	-1.63523210084085	-10.499681533581	-10.4775425563117	-3.6197194001	-11.5071373385	-12.4557381859934	-13.514631875047	-10.1600151614534	-11.4557381859934	-14.1927037801596	-14.0995943757681	-11.0015622928076	-14.2416133806405	-15.0121315345178	-15.9296693743258	-15.9296693743258	-16.514631875047	-18.6881728897084	-17.0995943757681	-18.6134177906643	-18.8364572394867	-13.3182346622435	-19.4555519816703	-18.8705894809492	-18.7549440302671	-18.7208621298642
HEB24132	-1.29535329507303	-4.63418947694135	-7.6730749766357	-2.69956069518072	-10.3173716167393	-10.7620799826944	-2.26397420442514	-11.2686455769228	-12.6783692763052	-13.6228741637135	-2.45552703004981	-13.0840080775818	-14.3507946182767	-14.1808696168344	-11.0934067755841	-13.9245298635746	-15.8913629996394	-15.0288665233893	-15.0288665233893	-15.8913629996394	-17.3507946182767	-18.3507946182767	-17.0288665233894	-18.8364572394867	-13.4200572807138	-17.3507946182767	-17.7658321175556	-18.7549440302671	-18.7208621298642
HEB24133	-1.51957095865221	-1.85398167297969	-7.3921872025362	-2.99142725784841	-9.4776881463912	-10.5409530398492	-2.07618901993393	-11.3371578373901	-11.979395143463	-13.0204224117231	-9.9963482767442	-12.8879721156994	-14.135899629143	-13.3285447070854	-9.46583356004542	-14.6333992886138	-15.135899629143	-14.9135072078065	-15.0204224117231	-15.7208621298642	-18.6881728897084	-16.7208621298642	-18.6134177906643	-16.3989340349768	-13.9135072078065	-19.4555519816703	-18.8705894809492	-18.7549440302671	-17.7208621298642
HEB24134	-1.13218756250318	-6.4840492361704	-7.70331771033155	-1.70156567177471	-8.14406761757888	-11.1913284102778	-2.24329949271732	-11.3689329098674	-12.6231741972432	-13.6231741972432	-10.2922573191286	-10.7043109599686	-14.4007817759068	-14.0788536810194	-8.43170366551966	-14.4532491958009	-15.2081366979644	-15.0382116965221	-15.4007817759068	-15.886208603077	-18.6881728897084	-19.3507946182767	-18.6134177906643	-18.8364572394867	-14.886208603077	-18.2081366979644	-18.8705894809492	-18.7549440302671	-18.7208621298642
HEB24135	-1.15716876183584	-2.4181065588428	-7.24567434108905	-3.80621560603424	-9.48419574930057	-10.8804335414507	-1.83345573736691	-11.0040920092018	-12.4398609500647	-12.9653224390372	-10.2989101246963	-12.6877884635083	-13.8397915569533	-13.202361636338	-9.1943332625821	-13.4247540576745	-14.9222537171453	-14.7617890449521	-15.3092768402545	-15.3092768402545	-18.6881728897084	-19.3507946182767	-18.6134177906643	-18.8364572394867	-14.0555202480088	-15.8397915569533	-18.8705894809492	-18.7549440302671	-16.4247540576745
HEB24136	-1.29680621632327	-2.87823732700014	-7.55246360360401	-1.9801577767881	-6.95374551442936	-10.0040087112802	-2.43426386601163	-11.212439458742	-12.4402453762648	-13.4917756769049	-10.1989939276771	-13.2070461999718	-14.1856725491792	-13.7185465387519	-8.93551348843706	-14.1856725491792	-15.465780468372	-14.465780468372	-16.2731353904296	-16.465780468372	-17.6881728897084	-19.3507946182767	-16.6881728897084	-18.8364572394867	-12.8137037717923	-17.2731353904296	-18.8705894809492	-18.7549440302671	-18.7208621298642
