feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Firmicutes.c__Clostridia.__	AUC	AUC	-0.586811717646858	0.172141209518659	18	18	0.00439293765165112	0.127395191897882
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales	AUC	AUC	-0.355181609543834	0.130543316092146	18	3	0.017157938079309	0.24879010214998
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales	AUC	AUC	0.0932787863422722	0.0668188842760709	18	18	0.184460783911044	0.445780227785023
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales	AUC	AUC	-0.0958599968549459	0.0646325531270814	18	18	0.160193718752931	0.445780227785023
k__Bacteria.__.__.__	AUC	AUC	-0.161573594060727	0.0946183614054813	18	18	0.109773380855934	0.445780227785023
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales	AUC	AUC	-0.296811840778718	0.210805098955157	18	18	0.181495559400425	0.445780227785023
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales	AUC	AUC	-0.106185225117611	0.0731725362579546	18	18	0.168771901806148	0.445780227785023
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales	AUC	AUC	-0.130102059814587	0.0757210871426254	18	18	0.109288512677296	0.445780227785023
k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39	AUC	AUC	-0.347127795127693	0.163242761363132	18	18	0.0539001540286792	0.445780227785023
k__Bacteria.p__Firmicutes.__.__	AUC	AUC	-0.280977296549111	0.16700951494553	18	18	0.114650449030943	0.445780227785023
k__Bacteria.p__Deferribacteres.c__Deferribacteres.o__Deferribacterales	AUC	AUC	-0.206091276159208	0.119265329846966	18	18	0.106942067656894	0.445780227785023
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.__	AUC	AUC	0.143981772498007	0.0886043171261898	18	2	0.126610441654222	0.445780227785023
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales	AUC	AUC	0.44849292938645	0.358512485252352	18	18	0.231443372010905	0.455748332447417
k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta	AUC	AUC	-0.0818730032725934	0.0654950377255175	18	18	0.232319185086207	0.455748332447417
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales	AUC	AUC	-0.0745491687356625	0.0667521359999998	18	18	0.28287827531219	0.455748332447417
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales	AUC	AUC	-0.161749006052584	0.143301245525671	18	18	0.277981112245977	0.455748332447417
Unassigned.__.__.__	AUC	AUC	0.17146366317077	0.153187538545637	18	6	0.281846641696762	0.455748332447417
k__Bacteria.p__Bacteroidetes.__.__	AUC	AUC	-0.342903914091984	0.279899421113177	18	10	0.240751462391208	0.455748332447417
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales	AUC	AUC	0.292547344772082	0.300711603885003	18	8	0.347137649403321	0.529841675405069
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales	AUC	AUC	0.602664539316435	0.699225994539185	18	18	0.403263301437191	0.584731787083927
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales	AUC	AUC	-0.0832092768062184	0.117422007407406	18	18	0.490318091067334	0.595118569012335
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales	AUC	AUC	-0.0819889296279162	0.116160720106893	18	18	0.492511919182622	0.595118569012335
k__Bacteria.p__Actinobacteria.c__Actinobacteria.__	AUC	AUC	-0.198932533910015	0.253752790469811	18	4	0.446703055966834	0.595118569012335
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales	AUC	AUC	0.14626416227898	0.189416744992311	18	4	0.453441109892876	0.595118569012335
k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales	AUC	AUC	-0.10188762276189	0.200276349081085	18	18	0.618922587580133	0.710457396240202
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales	AUC	AUC	0.0846600778309841	0.175489689043997	18	18	0.636961803525699	0.710457396240202
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales	AUC	AUC	0.1618462148676	0.384876741219557	18	10	0.680492970041545	0.730899856711289
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32	AUC	AUC	-0.0235008629578251	0.118519439867388	18	18	0.845671021112216	0.875873557580509
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales	AUC	AUC	-0.0278028402854262	0.44182110441385	18	18	0.950738571575259	0.950738571575259
