feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium	Time_0	Time_0	0.910039393422302	0.274095281324458	18	17	0.00505540723683776	0.4429806272447
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium	Hormone	PL	-2.09474629833092	0.638516707469459	18	17	0.00546889663265061	0.4429806272447
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Megamonas	Time_0	Time_0	-0.490645947360962	0.130204971346451	18	3	0.0020770497492874	0.4429806272447
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32.f__.g__	Time_0	Time_0	0.29944316628776	0.105111089704939	18	18	0.0128797245467735	0.653611116343266
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Brevibacteriaceae.g__Brevibacterium	Hormone	PL	-1.22508704031952	0.43336843995803	18	15	0.0134487884021248	0.653611116343266
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.__.__	Time_0	Time_0	0.141636771024985	0.057887885530436	18	18	0.0282200889386794	0.733347136838427
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.__.__	Hormone	PL	-0.326456648348676	0.134852310819277	18	18	0.029659619766176	0.733347136838427
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32.f__.g__	Hormone	PL	-0.590554593155615	0.244860789257724	18	18	0.0301788945200999	0.733347136838427
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__	Time_0	Time_0	0.649103421961681	0.253081617247792	18	9	0.0224629959877649	0.733347136838427
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Megamonas	Hormone	PL	0.805304525041479	0.303318062239375	18	3	0.0188448232272718	0.733347136838427
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus	Hormone	PGH	-1.49790969363749	0.661094549425765	18	18	0.0398475845242798	0.760109830638836
