feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Megamonas	Time_0	Time_0	-0.447290131737008	0.124630195502745	18	3	0.00249646680974178	0.202213811589084
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium	Time_0	Time_0	0.815333649169556	0.266201954100584	18	17	0.007696401046592	0.237760724634548
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__	Time_0	Time_0	0.597274662021444	0.200301175132725	18	9	0.00880595276424253	0.237760724634548
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32.f__.g__	Time_0	Time_0	0.253931760275348	0.0992353250117599	18	18	0.0210248137709885	0.425752478862517
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae.g__Akkermansia	Time_0	Time_0	0.872341287767607	0.363209066442892	18	18	0.0288181163952	0.466853485602239
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.__.__	Time_0	Time_0	0.113746480122142	0.0548544225371874	18	18	0.0546340399936551	0.578935447013563
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella	Time_0	Time_0	-0.359042927957252	0.180699595199103	18	16	0.0643261607792848	0.578935447013563
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Plesiomonas	Time_0	Time_0	0.161216828547936	0.0735023811094501	18	2	0.0440805176723068	0.578935447013563
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Acidaminococcus	Time_0	Time_0	0.39936128295347	0.19554521620326	18	7	0.0579619980106066	0.578935447013563
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__	Time_0	Time_0	0.324017855751087	0.175208277490075	18	18	0.0868564102119699	0.703536922716956
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24.7.g__	Time_0	Time_0	-0.0270013778380888	0.0662937475176502	18	18	0.689185666008883	0.949192058996936
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__	Time_0	Time_0	-0.246485255611528	0.362821142976155	18	18	0.506621284858106	0.949192058996936
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__.Exiguobacteraceae..g__	Time_0	Time_0	0.018642151418209	0.0725401184536977	18	18	0.800461338558797	0.949192058996936
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus	Time_0	Time_0	0.0482348474982352	0.0630576858972262	18	18	0.455447229228142	0.949192058996936
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Bacillus	Time_0	Time_0	0.0655864663770047	0.0446297225317669	18	18	0.161067143458357	0.949192058996936
k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae.g__Turicibacter	Time_0	Time_0	0.160685375900076	0.176684785229124	18	18	0.376610985081267	0.949192058996936
k__Bacteria.__.__.__.__.__	Time_0	Time_0	0.0869559255549481	0.10029807489667	18	18	0.39877151484149	0.949192058996936
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__	Time_0	Time_0	-0.216658745200444	0.555069013559332	18	18	0.701442833536021	0.949192058996936
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.__.__	Time_0	Time_0	0.110093185206357	0.189482068558668	18	18	0.570425355313466	0.949192058996936
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae.g__	Time_0	Time_0	0.0508235833766862	0.0768470456807694	18	18	0.517792725797764	0.949192058996936
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.g__	Time_0	Time_0	0.0677607491971999	0.251183708975489	18	18	0.790788823699001	0.949192058996936
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__	Time_0	Time_0	0.0220184022428224	0.070277711822006	18	18	0.758095728891236	0.949192058996936
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__mitochondria.g__Lardizabala	Time_0	Time_0	0.0439151043417847	0.0610131847118123	18	18	0.482052677022877	0.949192058996936
