feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Verrucomicrobia	Time_0	Time_0	0.872339937047989	0.363207860530281	18	18	0.0288178722871627	0.288178722871627
k__Bacteria.p__Bacteroidetes	Time_0	Time_0	-0.0268896755934869	0.0660482695724741	18	18	0.689313350633329	0.844847759893002
k__Bacteria.p__Firmicutes	Time_0	Time_0	0.013588279783207	0.0437954653494677	18	18	0.760362983903701	0.844847759893002
k__Bacteria.__	Time_0	Time_0	0.0869545748353304	0.100296430852281	18	18	0.398771119207406	0.844847759893002
k__Bacteria.p__Proteobacteria	Time_0	Time_0	0.0300234205753479	0.0643199239780934	18	18	0.646948371166754	0.844847759893002
k__Bacteria.p__Actinobacteria	Time_0	Time_0	0.0517416747993321	0.07662227131044	18	18	0.509138573622503	0.844847759893002
k__Bacteria.p__Tenericutes	Time_0	Time_0	0.196470439106831	0.186288942853851	18	18	0.307249842566688	0.844847759893002
k__Bacteria.p__Deferribacteres	Time_0	Time_0	-0.0578931152116807	0.119764381222621	18	18	0.635366156798304	0.844847759893002
Unassigned.__	Time_0	Time_0	0.0953480590823942	0.145229887935357	18	6	0.520813451671011	0.844847759893002
k__Bacteria.p__Cyanobacteria	Time_0	Time_0	0.00366099586708878	0.0606807783917989	18	18	0.952638346222505	0.952638346222505
