feature	k__Bacteria.p__Bacteroidetes	k__Bacteria.p__Firmicutes	k__Bacteria.p__Verrucomicrobia	k__Bacteria.__	k__Bacteria.p__Proteobacteria	k__Bacteria.p__Cyanobacteria	k__Bacteria.p__Actinobacteria	k__Bacteria.p__Tenericutes	k__Bacteria.p__Deferribacteres	Unassigned.__
HEB24055	-1.75529669228585	-0.514787670534377	-9.80852457755502	-11.0357926204325	-10.1385063068811	-12.0986803263879	-11.8865270895563	-10.120267188596	-15.4349637142523	-18.6881797210012
HEB24056	-1.80950019388916	-0.492892017989332	-9.69244810453331	-11.087241098538	-10.2287708607535	-11.9735843167424	-11.7853176793106	-9.89489168511981	-15.1699815295459	-18.6881797210012
HEB24129	-1.34427511875554	-0.734609245035563	-8.40000459720297	-11.1842759061475	-10.8423018690584	-12.4086486916122	-11.7781715316387	-10.3948428920872	-15.939163408311	-17.5241259090322
HEB24130	-0.998788926113875	-1.01202563736653	-10.4584584568358	-10.7279914999684	-10.7214928626696	-12.4638719530222	-11.9877729280071	-9.48298077596991	-15.8187146703823	-18.6881797210012
HEB24131	-0.888129045365845	-1.1301291559389	-10.499681533581	-10.4775425563117	-10.8659746990084	-12.4557381859934	-12.2416133806405	-11.0015622928076	-16.514631875047	-18.6881797210012
HEB24132	-1.29532681549046	-0.761794575118704	-10.3173716167393	-10.7620799826944	-10.7214379981971	-12.6783692763052	-12.2215116013317	-11.0934067755841	-15.8913629996394	-17.3507946182767
HEB24133	-1.51957095865221	-0.629034221241848	-9.4776881463912	-10.5409530398492	-10.6228300469036	-11.979395143463	-12.1973001738071	-9.46583356004542	-15.7208621298642	-18.6881797210012
HEB24134	-1.13218756250318	-0.899557688979857	-8.14406761757888	-11.1913284102778	-10.8115319167825	-12.6231741972432	-12.8505846933463	-8.43170366551966	-15.886208603077	-18.6881797210012
HEB24135	-1.15716876183584	-0.871049775321087	-9.48419574930057	-10.8804335414507	-10.3515050756438	-12.4398609500647	-11.9329009613448	-9.1943332625821	-15.3092768402545	-18.6881797210012
HEB24136	-1.29677948108641	-0.783843026173854	-6.95375234572219	-10.004015542573	-10.6957133936867	-12.4402522075577	-11.8722627854402	-8.9355203197299	-16.4657872996648	-17.6881797210012
HEB24137	-1.75470997247139	-0.514697956510543	-10.1321654218047	-10.4533665350487	-10.4533665350487	-12.167498494917	-12.0529387306542	-10.0723412618767	-15.3859220140505	-17.5013992314705
HEB24138	-1.27563317027343	-0.776872171527226	-10.2936870374713	-10.7659334604496	-10.8939016220527	-12.5561698489413	-11.9756260194872	-9.96680216910019	-16.0024260788309	-18.6881797210012
HEB24139	-1.11467244463218	-0.906188991661478	-9.0234546088848	-10.4072174028305	-10.8764521964981	-12.7389486727482	-12.3782013289703	-9.86746341327086	-16.3910253693279	-17.6134177906643
HEB24140	-1.27499689392913	-0.774155701389542	-10.8045002904914	-11.6741922681457	-11.0805125503234	-12.7831266396988	-12.36808914042	-11.3894627912126	-16.285626980228	-18.6881797210012
HEB24141	-1.30410747823098	-0.783465588364363	-6.47123455426828	-10.6367910586835	-10.3207635652358	-12.4101986488177	-12.5510611846576	-9.96301929100445	-15.6665384020775	-17.2515009027987
HEB24142	-1.70558966493772	-0.546068510985933	-7.58225807695225	-10.0448339649945	-10.5676747538078	-12.2691512632554	-11.5430126995735	-9.78179955916066	-15.4256557489354	-18.6881797210012
HEB24143	-1.28018187995871	-0.881583433111654	-4.57100386096072	-10.9009671432703	-10.4725624202536	-12.246102629319	-12.0461650588102	-9.1701537760857	-16.8705934942268	-18.6881797210012
HEB24144	-1.28318556800949	-0.773313374260526	-10.2676403112127	-10.71677100916	-10.7613611601841	-12.5849811366044	-12.2047090554863	-9.23358613277641	-15.392336058662	-18.6881797210012
