feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Verrucomicrobia	Time_0	Time_0	0.728341332505968	0.452005960629213	18	18	0.129411028799265	0.776466172795591
k__Bacteria.p__Actinobacteria	Time_0	Time_0	0.147336234689275	0.0874874965146043	18	18	0.11431985480015	0.776466172795591
k__Bacteria.p__Actinobacteria	Hormone	PGH	-0.316963562916796	0.195351931749465	18	18	0.126986364349483	0.776466172795591
k__Bacteria.p__Actinobacteria	Hormone	PL	-0.380422752001657	0.203805873451446	18	18	0.0830426153703592	0.776466172795591
k__Bacteria.p__Tenericutes	Hormone	PGH	0.948137651200499	0.466224763542032	18	18	0.0613936905451424	0.776466172795591
k__Bacteria.p__Bacteroidetes	Time_0	Time_0	-0.0432213704244351	0.0846675257225643	18	18	0.61766664004662	0.957079843980655
k__Bacteria.p__Bacteroidetes	Hormone	PGH	0.03757802387893	0.189055183486585	18	18	0.845302276127739	0.957079843980655
k__Bacteria.p__Bacteroidetes	Hormone	PL	0.0748309078428441	0.197236630607889	18	18	0.710085979780063	0.957079843980655
k__Bacteria.p__Firmicutes	Time_0	Time_0	0.0163598020375445	0.0562368015663983	18	18	0.775385969821615	0.957079843980655
k__Bacteria.p__Firmicutes	Hormone	PL	-0.0233022469195584	0.131006039948145	18	18	0.86137185958259	0.957079843980655
k__Bacteria.p__Verrucomicrobia	Hormone	PL	0.842859941131699	1.0529672613951	18	18	0.436816873784163	0.957079843980655
k__Bacteria.__	Time_0	Time_0	0.0551578154569332	0.127265072616196	18	18	0.671321175369186	0.957079843980655
k__Bacteria.__	Hormone	PGH	0.182345066668157	0.284171781914683	18	18	0.531452323848374	0.957079843980655
k__Bacteria.__	Hormone	PL	0.080877109417288	0.296469442122803	18	18	0.788988949101916	0.957079843980655
k__Bacteria.p__Proteobacteria	Time_0	Time_0	0.0739542852534792	0.0800724276228443	18	18	0.371343614900424	0.957079843980655
k__Bacteria.p__Proteobacteria	Hormone	PGH	-0.128782350521248	0.178794731123443	18	18	0.48320576723151	0.957079843980655
k__Bacteria.p__Proteobacteria	Hormone	PL	-0.184844926120022	0.186532152606827	18	18	0.338526646738957	0.957079843980655
k__Bacteria.p__Cyanobacteria	Time_0	Time_0	0.0472228909712413	0.0735575229831866	18	18	0.531254382378084	0.957079843980655
k__Bacteria.p__Cyanobacteria	Hormone	PGH	-0.0704458534821877	0.164247518581955	18	18	0.67452185606569	0.957079843980655
k__Bacteria.p__Cyanobacteria	Hormone	PL	-0.217280389100703	0.171355402974762	18	18	0.225476804062768	0.957079843980655
k__Bacteria.p__Tenericutes	Time_0	Time_0	0.0372053109408304	0.208796693281317	18	18	0.861127095353919	0.957079843980655
k__Bacteria.p__Tenericutes	Hormone	PL	0.384443577983886	0.486400847472745	18	18	0.442486664644616	0.957079843980655
k__Bacteria.p__Deferribacteres	Time_0	Time_0	-0.0326544061778354	0.15168292900042	18	18	0.832653121093812	0.957079843980655
k__Bacteria.p__Deferribacteres	Hormone	PL	-0.170148134118016	0.353351885288474	18	18	0.637582461769259	0.957079843980655
Unassigned.__	Time_0	Time_0	0.145727133557563	0.185415110215662	18	6	0.444995843629196	0.957079843980655
Unassigned.__	Hormone	PGH	-0.204280207805217	0.414015732523826	18	6	0.629371551924282	0.957079843980655
Unassigned.__	Hormone	PL	-0.17838034308585	0.431932447424542	18	6	0.68587520729518	0.957079843980655
k__Bacteria.p__Firmicutes	Hormone	PGH	0.0114848461456239	0.125571861798255	18	18	0.928422589515109	0.960437161567354
k__Bacteria.p__Deferribacteres	Hormone	PGH	0.0337460688626829	0.338694720664485	18	18	0.922046262356085	0.960437161567354
k__Bacteria.p__Verrucomicrobia	Hormone	PGH	0.022943086055614	1.00928979670197	18	18	0.982184942172792	0.982184942172792
