feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Verrucomicrobia	Time_0	Time_0	0.872339937047989	0.363207860530281	18	18	0.0288178722873636	0.288178722873636
k__Bacteria.p__Bacteroidetes	Time_0	Time_0	-0.0268896755934871	0.0660482695724742	18	18	0.689313350633427	0.844847759892961
k__Bacteria.p__Firmicutes	Time_0	Time_0	0.0135882797832069	0.0437954653494677	18	18	0.760362983903665	0.844847759892961
k__Bacteria.__	Time_0	Time_0	0.086954574835331	0.100296430852281	18	18	0.398771119207824	0.844847759892961
k__Bacteria.p__Proteobacteria	Time_0	Time_0	0.0300234205753474	0.0643199239780934	18	18	0.646948371166957	0.844847759892961
k__Bacteria.p__Actinobacteria	Time_0	Time_0	0.090888583144323	0.0796710290926212	18	18	0.271945139528925	0.844847759892961
k__Bacteria.p__Tenericutes	Time_0	Time_0	0.116043184080427	0.191933673853466	18	18	0.554056061850431	0.844847759892961
k__Bacteria.p__Deferribacteres	Time_0	Time_0	-0.0578931152116812	0.119764381222621	18	18	0.635366156798286	0.844847759892961
Unassigned.__	Time_0	Time_0	0.0953480590823934	0.145229887935357	18	6	0.520813451671214	0.844847759892961
k__Bacteria.p__Cyanobacteria	Time_0	Time_0	0.00366099586708816	0.0606807783917989	18	18	0.952638346222538	0.952638346222538
