feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae.g__Akkermansia.s__muciniphila	Time_0	Time_0	0.872341335340854	0.36320885250357	18	18	0.0288180277282102	0.751073856477577
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Plesiomonas.s__shigelloides	Time_0	Time_0	0.164666580898359	0.0712720850280037	18	2	0.0345321313323024	0.751073856477577
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__.s__	Time_0	Time_0	0.597274709594694	0.200301889653102	18	9	0.00880614363656877	0.751073856477577
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Megamonas.s__	Time_0	Time_0	-0.332485026036565	0.127465635727028	18	3	0.0190123921392342	0.751073856477577
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella.s__	Time_0	Time_0	-0.359042880384003	0.180700033153295	18	16	0.0643267728613836	0.932738206490063
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Acidaminococcus.s__	Time_0	Time_0	0.399361330526718	0.195545800239947	18	7	0.0579626401595897	0.932738206490063
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24.7.g__.s__	Time_0	Time_0	-0.0270013302648407	0.0662929591951564	18	18	0.689182697173299	0.970455445772777
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__.s__	Time_0	Time_0	-0.246485208038279	0.362820800367837	18	18	0.506620970021732	0.970455445772777
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__.Exiguobacteraceae..g__.s__	Time_0	Time_0	0.0186421989914569	0.0725408488073302	18	18	0.800462803678107	0.970455445772777
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__	Time_0	Time_0	0.0482348950714838	0.0630584382984077	18	18	0.455452075762241	0.970455445772777
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Bacillus.s__cereus	Time_0	Time_0	0.0638058535103326	0.0444608028931487	18	18	0.170517106286029	0.970455445772777
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__	Time_0	Time_0	-0.00911376389316092	0.0725527274044042	18	18	0.901600968823748	0.970455445772777
k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae.g__Turicibacter.s__	Time_0	Time_0	0.160685423473324	0.176684046822428	18	18	0.376608902023908	0.970455445772777
k__Bacteria.__.__.__.__.__.__	Time_0	Time_0	0.0869559731281962	0.10029769555485	18	18	0.398769519077341	0.970455445772777
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__.s__	Time_0	Time_0	-0.405652052323733	0.555456810421065	18	18	0.475762867417887	0.970455445772777
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__helveticus	Time_0	Time_0	-0.0109727239758198	0.0728096552785071	18	18	0.88209262885475	0.970455445772777
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.__.__.__	Time_0	Time_0	0.0359816926403309	0.182709008826736	18	18	0.846358726715718	0.970455445772777
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae.g__.s__	Time_0	Time_0	0.0508236309499347	0.0768478372338915	18	18	0.517796593993946	0.970455445772777
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.g__.s__	Time_0	Time_0	0.0677607967704483	0.251184654460449	18	18	0.790789448012083	0.970455445772777
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__.s__	Time_0	Time_0	0.0220184498160712	0.0702783577464965	18	18	0.758097371467975	0.970455445772777
k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta.f__.g__.s__	Time_0	Time_0	0.00366239415995392	0.0606819445300975	18	18	0.952621189406717	0.970455445772777
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__mitochondria.g__Lardizabala.s__biternata	Time_0	Time_0	0.0439151519150343	0.0610133265230444	18	18	0.482053212175586	0.970455445772777
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__	Time_0	Time_0	0.0349585675969741	0.0540756377609894	18	18	0.527136895616642	0.970455445772777
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Lactococcus.s__	Time_0	Time_0	0.0530994354305962	0.0772241063226816	18	18	0.501550465997077	0.970455445772777
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.__.__	Time_0	Time_0	0.00447058376977374	0.0772026363169427	18	18	0.954539636271443	0.970455445772777
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.__.__	Time_0	Time_0	0.181242101198427	0.205200904791165	18	18	0.390183738989488	0.970455445772777
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Epulopiscium.s__	Time_0	Time_0	-0.0378584021671093	0.205655950074237	18	18	0.856258781208764	0.970455445772777
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus.s__	Time_0	Time_0	0.0630043741752613	0.272775042850372	18	18	0.820261432075497	0.970455445772777
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Parabacteroides.s__gordonii	Time_0	Time_0	0.00230546941851537	0.0612818261303514	18	18	0.970455445772777	0.970455445772777
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.s__	Time_0	Time_0	0.289720868138264	0.170411406920152	18	18	0.108460206240212	0.970455445772777
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospira.s__	Time_0	Time_0	0.0566399442968437	0.296776608604757	18	18	0.851043435983094	0.970455445772777
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__SMB53.s__	Time_0	Time_0	0.359825212665964	0.640825987376209	18	18	0.582235474460873	0.970455445772777
