feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Megamonas.s__	Time_0	Time_0	-0.490645947360962	0.130204971346451	18	3	0.0020770497492874	0.542109984564012
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32.f__.g__.s__	Time_0	Time_0	0.299445210219565	0.105111693800676	18	18	0.0128796464940046	0.702011492811543
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Brevibacteriaceae.g__Brevibacterium.s__casei	Hormone	PL	-1.22509463864479	0.433369436517761	18	15	0.0134484960308725	0.702011492811543
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium.s__	Time_0	Time_0	0.870189090817618	0.285242021290895	18	17	0.0086377162139181	0.702011492811543
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium.s__	Hormone	PL	-1.97158148628253	0.664483516047831	18	17	0.0101950665716611	0.702011492811543
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus.s__	Hormone	PGH	-1.50097322372875	0.665932182358187	18	18	0.0407497273203461	0.748762695435227
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus.s__	Hormone	PL	-1.30375443482414	0.694750693630188	18	18	0.081576402317437	0.748762695435227
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.s__	Time_0	Time_0	0.436405223722148	0.200290110280358	18	18	0.0469203580924052	0.748762695435227
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__SMB53.s__	Hormone	PGH	3.04790879499555	1.63377754375779	18	18	0.0831958550483586	0.748762695435227
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.__	Hormone	PL	-0.54772054955797	0.281905465301907	18	3	0.0724128439593717	0.748762695435227
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.__.__.__	Time_0	Time_0	0.141638814956792	0.0578881371180092	18	18	0.0282187497044349	0.748762695435227
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.__.__.__	Hormone	PGH	-0.243557225061785	0.129259149728822	18	18	0.0804650867947858	0.748762695435227
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.__.__.__	Hormone	PL	-0.32646424667394	0.134852896903313	18	18	0.0296570118026044	0.748762695435227
k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39.f__.g__.s__	Hormone	PGH	0.948131713961102	0.466227013116849	18	18	0.0613962270670573	0.748762695435227
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Bacillus.s__	Time_0	Time_0	0.437226654351504	0.206608332735113	18	16	0.0527261350258617	0.748762695435227
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Bacillus.s__	Hormone	PL	-1.09020442045081	0.481302967772059	18	16	0.0398997035661174	0.748762695435227
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__longum	Hormone	PGH	-0.603887831837183	0.262421587354062	18	18	0.0372644989184299	0.748762695435227
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__longum	Hormone	PL	-0.550537776779777	0.273777998222206	18	18	0.0640034198325515	0.748762695435227
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32.f__.g__.s__	Hormone	PL	-0.59056219148088	0.244862196524638	18	18	0.0301779010173221	0.748762695435227
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Streptomycetaceae.g__Streptomyces.s__	Hormone	PGH	-1.4029045032043	0.643315733809549	18	12	0.04675618588281	0.748762695435227
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus.__	Hormone	PGH	-0.880824338215038	0.456737575043664	18	16	0.0743199733780144	0.748762695435227
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus.__	Hormone	PL	-0.894208529922637	0.476503096674006	18	16	0.081572455102572	0.748762695435227
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Plesiomonas.s__shigelloides	Time_0	Time_0	0.156360248245703	0.0817986724609832	18	2	0.0766266261514994	0.748762695435227
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Intrasporangiaceae.g__.s__	Hormone	PGH	-0.986823408815553	0.51314223271325	18	2	0.0750481698865228	0.748762695435227
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Intrasporangiaceae.g__.s__	Hormone	PL	-1.0338680329218	0.535348690982347	18	2	0.0739602718392077	0.748762695435227
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium.s__	Hormone	PGH	-1.26682568077332	0.636920498302251	18	17	0.0666109475699679	0.748762695435227
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__.s__	Time_0	Time_0	0.649105465893488	0.253082442395394	18	9	0.0224630084647183	0.748762695435227
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Acidaminococcus.s__	Time_0	Time_0	0.504411880909833	0.246905611250915	18	7	0.0603573060231066	0.748762695435227
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Megamonas.s__	Hormone	PL	0.805304525041479	0.303318062239375	18	3	0.0188448232272718	0.748762695435227
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Catenibacterium.s__	Time_0	Time_0	0.218211551937538	0.118224895163467	18	18	0.086182447148798	0.749787290194542
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.__.__.__	Hormone	PL	-0.844274420505781	0.490845099594402	18	18	0.107442440188318	0.803854216905452
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.__.__	Time_0	Time_0	0.40076648603874	0.239922507396911	18	18	0.117036246139491	0.803854216905452
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.__.__	Hormone	PGH	-0.899888674928852	0.535725985510832	18	18	0.115172980398707	0.803854216905452
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.s__	Hormone	PGH	-0.748699113600526	0.447230307327971	18	18	0.116300271053068	0.803854216905452
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.__.__.__	Hormone	PL	-1.23567809420534	0.723103352877006	18	6	0.109542357600679	0.803854216905452
