feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Megamonas.s__	Time_0	Time_0	-0.447290131737008	0.124630195502745	18	3	0.00249646680974178	0.217192612447535
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__.s__	Time_0	Time_0	0.597274709594693	0.200301889653102	18	9	0.00880614363656537	0.383067248190594
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium.s__	Time_0	Time_0	0.76041665294076	0.275092070045738	18	17	0.0140375669712939	0.407089442167523
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32.f__.g__.s__	Time_0	Time_0	0.253933611972853	0.0992359723701444	18	18	0.0210247317960905	0.457287916564969
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae.g__Akkermansia.s__muciniphila	Time_0	Time_0	0.872341335340855	0.36320885250357	18	18	0.0288180277284058	0.501433682474261
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.__.__.__	Time_0	Time_0	0.113749035749062	0.0548547972399233	18	18	0.0546306887358974	0.621825470993118
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella.s__	Time_0	Time_0	-0.359042880384004	0.180700033153295	18	16	0.064326772861357	0.621825470993118
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Plesiomonas.s__shigelloides	Time_0	Time_0	0.161216828547936	0.0735023811094501	18	2	0.0440805176723068	0.621825470993118
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Acidaminococcus.s__	Time_0	Time_0	0.399361330526719	0.195545800239947	18	7	0.0579626401598903	0.621825470993118
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.s__	Time_0	Time_0	0.324019138289982	0.175209304100156	18	18	0.0868568481806614	0.755654579171754
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Bacillus.s__	Time_0	Time_0	0.335227102084631	0.193202860287479	18	16	0.101995348948425	0.806690487137544
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24.7.g__.s__	Time_0	Time_0	-0.0270013302648409	0.0662929591951564	18	18	0.689182697173521	0.967221305363608
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__.s__	Time_0	Time_0	-0.24648520803828	0.362820800367837	18	18	0.506620970021645	0.967221305363608
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__.Exiguobacteraceae..g__.s__	Time_0	Time_0	0.0186421989914568	0.0725408488073302	18	18	0.800462803678159	0.967221305363608
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__	Time_0	Time_0	0.0482348950714831	0.0630584382984077	18	18	0.455452075762649	0.967221305363608
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Bacillus.s__cereus	Time_0	Time_0	0.0638058535103316	0.0444608028931487	18	18	0.170517106285985	0.967221305363608
k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae.g__Turicibacter.s__	Time_0	Time_0	0.160685423473324	0.176684046822428	18	18	0.376608902024006	0.967221305363608
k__Bacteria.__.__.__.__.__.__	Time_0	Time_0	0.0869559731281959	0.10029769555485	18	18	0.398769519077592	0.967221305363608
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__.s__	Time_0	Time_0	-0.216657236873789	0.555068884983441	18	18	0.701444737439999	0.967221305363608
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.__.__.__	Time_0	Time_0	0.110095254073051	0.189483276118728	18	18	0.57042057011123	0.967221305363608
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae.g__.s__	Time_0	Time_0	0.050823630949934	0.0768478372338915	18	18	0.517796593994063	0.967221305363608
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.g__.s__	Time_0	Time_0	0.0677607967704477	0.25118465446045	18	18	0.790789448012029	0.967221305363608
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__.s__	Time_0	Time_0	0.0220184498160702	0.0702783577464965	18	18	0.758097371467975	0.967221305363608
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__mitochondria.g__Lardizabala.s__biternata	Time_0	Time_0	0.0439151519150325	0.0610133265230444	18	18	0.482053212175935	0.967221305363608
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__	Time_0	Time_0	0.0349585675969741	0.0540756377609894	18	18	0.527136895616675	0.967221305363608
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Lactococcus.s__	Time_0	Time_0	0.0530994354305958	0.0772241063226816	18	18	0.501550465997217	0.967221305363608
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.__.__	Time_0	Time_0	0.231998131428598	0.211074832472519	18	18	0.292213756375115	0.967221305363608
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Epulopiscium.s__	Time_0	Time_0	-0.0378584021671091	0.205655950074237	18	18	0.856258781208789	0.967221305363608
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus.s__	Time_0	Time_0	0.284123850369237	0.280177108616026	18	18	0.325642621809698	0.967221305363608
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospira.s__	Time_0	Time_0	0.0566399442968437	0.296776608604757	18	18	0.851043435983168	0.967221305363608
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__SMB53.s__	Time_0	Time_0	0.143667130465933	0.662817311963856	18	18	0.831259640769892	0.967221305363608
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium.s__prausnitzii	Time_0	Time_0	-0.0213754384624389	0.0903793561156061	18	18	0.81603973395822	0.967221305363608
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.__.__	Time_0	Time_0	0.13703877795532	0.135848395296008	18	18	0.328101544574999	0.967221305363608
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia.s__	Time_0	Time_0	-0.0793549943911138	0.141059852255346	18	18	0.581530061333656	0.967221305363608
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.__	Time_0	Time_0	0.0567677902475291	0.110022521549944	18	3	0.613445836082614	0.967221305363608
k__Bacteria.p__Firmicutes.c__Clostridia.__.__.__.__	Time_0	Time_0	-0.303728959148944	0.192470292149513	18	18	0.13411682112573	0.967221305363608
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Oscillospira.s__	Time_0	Time_0	0.165296896357632	0.290833017529433	18	18	0.577683234801039	0.967221305363608
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae.g__Pseudoramibacter_Eubacterium.s__	Time_0	Time_0	0.318244206895834	0.297168816961328	18	18	0.300094438206207	0.967221305363608
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae.g__Acinetobacter.s__	Time_0	Time_0	-0.0679660970156199	0.0736708826882091	18	18	0.369937999997302	0.967221305363608
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Allobaculum.s__	Time_0	Time_0	-0.203461431709197	0.83610230478264	18	18	0.81083047004746	0.967221305363608
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__.g__.s__	Time_0	Time_0	-0.190242898685061	0.320274412423797	18	17	0.560817660530452	0.967221305363608
k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39.f__.g__.s__	Time_0	Time_0	0.116046386739124	0.191934185395737	18	18	0.554046321319363	0.967221305363608
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Catenibacterium.s__	Time_0	Time_0	0.124511502297868	0.0984989795647969	18	18	0.224304113735012	0.967221305363608
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__.s__	Time_0	Time_0	0.0445089073653778	0.142437476340046	18	18	0.758711268086837	0.967221305363608
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__longum	Time_0	Time_0	0.0907187726466687	0.110978841422383	18	18	0.425682271651465	0.967221305363608
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae.g__.s__	Time_0	Time_0	-0.0487446362323863	0.134482418651345	18	18	0.721750829067832	0.967221305363608
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Candidatus.Arthromitus.s__	Time_0	Time_0	0.0640874331619219	0.117101360879254	18	18	0.591737848486352	0.967221305363608
k__Bacteria.p__Firmicutes.__.__.__.__.__	Time_0	Time_0	-0.0281017045588116	0.165332855460144	18	18	0.867163928946683	0.967221305363608
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae.g__Sutterella.s__	Time_0	Time_0	-0.0678667597421861	0.134956391988571	18	18	0.621900639219235	0.967221305363608
k__Bacteria.p__Deferribacteres.c__Deferribacteres.o__Deferribacterales.f__Deferribacteraceae.g__Mucispirillum.s__	Time_0	Time_0	-0.0578917169188167	0.119765956089673	18	18	0.635378678776711	0.967221305363608
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Streptomycetaceae.g__Streptomyces.s__	Time_0	Time_0	-0.0515716419053035	0.267020525209963	18	12	0.849306324585818	0.967221305363608
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Brevibacteriaceae.g__Brevibacterium.s__casei	Time_0	Time_0	0.117401443176896	0.178830205032974	18	15	0.521002952459188	0.967221305363608
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus.__	Time_0	Time_0	0.0997369729619441	0.189275807720375	18	16	0.60560947438815	0.967221305363608
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Corynebacteriaceae.g__Corynebacterium.s__	Time_0	Time_0	0.0785560196620996	0.268010010450677	18	13	0.773206624961691	0.967221305363608
Unassigned.__.__.__.__.__.__	Time_0	Time_0	0.0953461646213379	0.145227965056682	18	6	0.52081617885703	0.967221305363608
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Intrasporangiaceae.g__.s__	Time_0	Time_0	0.111851588130792	0.213165138885931	18	2	0.60708525276026	0.967221305363608
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Dermabacteraceae.g__Brachybacterium.s__	Time_0	Time_0	0.206975975002979	0.212040992975437	18	5	0.343536846867417	0.967221305363608
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales.f__Xanthomonadaceae.g__Stenotrophomonas.s__maltophilia	Time_0	Time_0	-0.074608852090964	0.283468323836248	18	8	0.795755817393424	0.967221305363608
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Dehalobacteriaceae.g__Dehalobacterium.s__	Time_0	Time_0	-0.112001018238088	0.219499401499028	18	18	0.618531168115657	0.967221305363608
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Mogibacteriaceae..g__.s__	Time_0	Time_0	0.128691492838468	0.0966855222727605	18	18	0.201835364824179	0.967221305363608
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae.g__Jeotgalicoccus.s__	Time_0	Time_0	-0.072835969204601	0.19519644564224	18	5	0.714496559297448	0.967221305363608
k__Bacteria.p__Bacteroidetes.__.__.__.__.__	Time_0	Time_0	0.179145684653593	0.281792028027444	18	10	0.535223306475163	0.967221305363608
k__Bacteria.p__Actinobacteria.c__Actinobacteria.__.__.__.__	Time_0	Time_0	0.212444462133618	0.229400305133921	18	4	0.368159927741695	0.967221305363608
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__.s__	Time_0	Time_0	0.208687645762084	0.255471109797189	18	11	0.427937621752984	0.967221305363608
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Dialister.s__	Time_0	Time_0	0.117211824201409	0.380290652424388	18	13	0.761894066910329	0.967221305363608
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Streptomycetaceae.__.__	Time_0	Time_0	0.0614575144558569	0.0904430821024965	18	2	0.506523550758256	0.967221305363608
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Coprococcus.s__	Time_0	Time_0	0.268590356679229	0.208501546300263	18	7	0.218154308596786	0.967221305363608
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Adlercreutzia.s__	Time_0	Time_0	0.109893262257531	0.169613067822022	18	18	0.52623494647916	0.967221305363608
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Methylobacteriaceae.g__.s__	Time_0	Time_0	0.108958726004279	0.224434956206074	18	6	0.633919020533225	0.967221305363608
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.__.__.__	Time_0	Time_0	0.0811170748764886	0.0827894653751928	18	2	0.348322902843152	0.967221305363608
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Nocardiopsaceae.g__Prauseria.s__	Time_0	Time_0	-0.174893925622709	0.234658894258801	18	6	0.4687191652432	0.967221305363608
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.__.__.__.__	Time_0	Time_0	-0.0840373951415383	0.0825672541064455	18	2	0.323914933669097	0.967221305363608
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Rhizobiaceae.__.__	Time_0	Time_0	0.19764570460392	0.169707503015653	18	4	0.261242059175338	0.967221305363608
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Megasphaera.s__	Time_0	Time_0	0.0396842488374068	0.0951999575854893	18	2	0.682325976187489	0.967221305363608
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae.g__Gallibacterium.s__	Time_0	Time_0	-0.0643767778733459	0.144103894939823	18	3	0.661051397330673	0.967221305363608
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium.s__thermopalmarium	Time_0	Time_0	0.0614575144558569	0.0904430821024965	18	2	0.506523550758256	0.967221305363608
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Paenibacillaceae.g__Paenibacillus.s__	Time_0	Time_0	0.0489552780057375	0.125232529253576	18	2	0.701204216374619	0.967221305363608
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__.s__	Time_0	Time_0	0.144829504559029	0.153287173570113	18	3	0.35881118025287	0.967221305363608
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__	Time_0	Time_0	-0.00911376389316161	0.0725527274044043	18	18	0.901600968823753	0.96838622577366
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__helveticus	Time_0	Time_0	-0.0109727239758198	0.0728096552785072	18	18	0.882092628854779	0.96838622577366
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptococcaceae.g__rc4.4.s__	Time_0	Time_0	-0.0132967543372888	0.0953268281363849	18	18	0.890806848854932	0.96838622577366
k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta.f__.g__.s__	Time_0	Time_0	0.00366239415995308	0.0606819445300975	18	18	0.952621189406728	0.984486717299076
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.__.__	Time_0	Time_0	0.00447058376977259	0.0772026363169428	18	18	0.954539636271478	0.984486717299076
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Parabacteroides.s__gordonii	Time_0	Time_0	0.0023054694185148	0.0612818261303515	18	18	0.970455445772795	0.984486717299076
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__uniformis	Time_0	Time_0	-0.00234232617294281	0.117794102020426	18	18	0.984486717299076	0.984486717299076
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.__.__.__	Time_0	Time_0	0.00654731539318036	0.281326406934703	18	6	0.981733355534357	0.984486717299076
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__.s__	Time_0	Time_0	-0.0312272963685333	0.356905058852085	18	13	0.931364002474998	0.984486717299076
