feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Actinobacteria	Antibiotics	Non_ABX	-5.42824065671544	0.419182049880199	66	66	2.04654699420528e-19	4.91171278609267e-18
k__Bacteria.__	Antibiotics	Non_ABX	-5.59102974287378	0.452924403613878	66	66	1.80354909584491e-18	1.08212945750694e-17
k__Bacteria.p__Cyanobacteria	Antibiotics	Non_ABX	-7.12833095391308	0.573376239627903	66	66	1.31101876900305e-18	1.08212945750694e-17
Unassigned.__	Antibiotics	Non_ABX	-7.27800733455735	0.58828748493282	66	51	1.63375239591995e-18	1.08212945750694e-17
k__Bacteria.p__Proteobacteria	Antibiotics	Non_ABX	-4.94667706086661	0.431663245393026	66	66	4.71286239417744e-17	2.26217394920517e-16
k__Archaea.p__Euryarchaeota	Antibiotics	Non_ABX	-4.5100228602222	0.469415400167839	66	29	5.82947939082256e-14	2.33179175632903e-13
k__Bacteria.p__Bacteroidetes	Antibiotics	Non_ABX	3.82760092889604	0.4306794248709	66	66	1.01460609833961e-12	3.47864948002151e-12
k__Bacteria.__	Day_Num	Day_Num	1.49579885037434	0.227252648195599	66	66	1.06316438817025e-08	3.18949316451074e-08
k__Bacteria.p__Actinobacteria	Day_Num	Day_Num	1.3711514778795	0.210322583970426	66	66	1.365248858943e-08	3.64066362384799e-08
k__Bacteria.p__Tenericutes	Antibiotics	Non_ABX	2.89248919081534	0.457524762328897	66	65	2.98639838136253e-08	7.16735611527007e-08
k__Bacteria.p__Cyanobacteria	Day_Num	Day_Num	1.77931399544163	0.287688779470047	66	66	5.13418538137705e-08	1.07332787249948e-07
Unassigned.__	Day_Num	Day_Num	1.82227024031955	0.295170425317342	66	51	5.3666393624974e-08	1.07332787249948e-07
k__Archaea.p__Euryarchaeota	Day_Num	Day_Num	1.35007997526663	0.235526926658782	66	29	3.01304539645767e-07	5.56254534730647e-07
k__Bacteria.p__Proteobacteria	Day_Num	Day_Num	1.19196103379149	0.216584963984189	66	66	7.2713336717306e-07	1.24651434372525e-06
k__Bacteria.p__.Thermi.	Antibiotics	Non_ABX	-1.92872022370399	0.511021486628335	66	13	0.000357431363672755	0.000571890181876409
k__Bacteria.p__Tenericutes	Day_Num	Day_Num	-0.528277990395637	0.22956085612676	66	65	0.0246970412099297	0.0370455618148945
k__Bacteria.p__Firmicutes	Day_Num	Day_Num	-0.0783221315157946	0.0369603616121665	66	66	0.0388598156816359	0.0548609162564272
k__Bacteria.p__Deferribacteres	Antibiotics	Non_ABX	0.486034982824923	0.233638404282996	66	64	0.0601512292979262	0.0802016390639016
k__Bacteria.p__Bacteroidetes	Day_Num	Day_Num	-0.351927461578225	0.216091336753644	66	66	0.108387621675828	0.136910680011572
k__Bacteria.p__Deferribacteres	Day_Num	Day_Num	0.161567419081999	0.105345552336266	66	64	0.130934981020419	0.157121977224503
k__Bacteria.p__Verrucomicrobia	Antibiotics	Non_ABX	0.408560549261781	0.268945175305326	66	66	0.160274420014192	0.183170765730505
k__Bacteria.p__Verrucomicrobia	Day_Num	Day_Num	0.159449442213108	0.130651690660635	66	66	0.227789228374381	0.248497340044779
k__Bacteria.p__.Thermi.	Day_Num	Day_Num	0.24573512562985	0.256402581080934	66	13	0.341526933935027	0.356375931062637
k__Bacteria.p__Firmicutes	Antibiotics	Non_ABX	0.0181130797752411	0.090754389803117	66	66	0.845973738620669	0.845973738620669
