feature	k__Bacteria.p__Bacteroidetes	k__Bacteria.p__Firmicutes	k__Bacteria.p__Verrucomicrobia	k__Bacteria.__	k__Bacteria.p__Proteobacteria	k__Bacteria.p__Cyanobacteria	k__Bacteria.p__Actinobacteria	k__Bacteria.p__Tenericutes	k__Bacteria.p__Deferribacteres	Unassigned.__	k__Archaea.p__Euryarchaeota	k__Bacteria.p__.Thermi.
HEB24001	100421	186716	791	192	222	59	50	607	4	0	0	0
HEB24002	162208	206529	1523	205	224	60	63	353	7	0	0	0
HEB24003	136027	152340	406	163	194	68	52	493	7	0	0	0
HEB24004	85961	309725	1500	350	320	71	74	761	5	0	0	0
HEB24005	90306	375142	494	383	405	122	110	1102	14	4	0	0
HEB24006	137927	263255	388	223	248	81	90	379	12	4	0	0
HEB24011	203850	294203	353	186	239	88	104	315	3	4	0	0
HEB24013	2811	531567	548	92513	24843	54963	13010	126	8	1571	64	0
HEB24016	86428	458319	627	392	410	108	153	1514	8	6	0	0
HEB24019	1818	208106	241	30741	159740	157722	15283	8	7	1001	50	35
HEB24023	20075	511028	689	619	506	113	152	421	18	7	2	0
HEB24024	3811	551500	495	110331	25506	68486	25746	17	9	3173	564	96
HEB24025	150453	274093	1209	179	254	78	100	298	10	0	0	0
HEB24026	3125	755758	540	2971	7895	2278	427	1029	9	12	0	0
HEB24034	383474	254290	1321	334	389	147	105	1602	7	0	0	0
HEB24036	60864	400864	422	51855	49465	107604	19464	890	8	1343	130	88
HEB24037	169196	330276	488	370	336	111	111	218	13	5	0	0
HEB24044	234629	330108	517	368	426	103	159	260	9	4	0	0
HEB24047	2504	668928	369	781	729	287	584	455	9	11	0	0
HEB24059	164277	197771	381	202	277	114	86	1355	9	0	0	0
HEB24060	286861	524180	2792	1052	603	170	287	6332	23	3	0	0
HEB24063	5066	700417	475	6665	17042	17285	1609	64	9	77	7	3
HEB24066	269827	479687	1137	760	454	128	252	1997	10	4	0	0
HEB24075	7721	436521	890	91813	75988	102266	10889	53	7	1523	60	40
HEB24076	12164	637176	667	142721	65439	166586	22739	74	39	3162	156	85
HEB24077	10333	515248	518	125702	42692	101996	18450	129	9	1942	243	58
HEB24078	5663	582267	449	191258	62886	140733	20049	32	11	2515	72	31
HEB24079	3205	415850	301	138960	11954	36097	15131	21	0	1825	42	0
HEB24080	3984	179724	162	56341	16355	45608	5513	0	3	989	10	0
HEB24081	24259	633256	568	567	386	106	177	829	11	2	0	0
HEB24085	235446	350316	457	338	285	98	96	408	6	3	0	0
HEB24092	11976	834692	1478	1760	6566	7100	1633	413	9	27	3	0
HEB24096	223376	527279	359	273	331	70	147	4804	10	0	0	0
HEB24106	213645	380906	1926	574	429	113	198	318	11	0	0	0
HEB24108	4129	707781	666	12255	2330	1249	561	783	18	85	5	0
HEB24110	61425	519771	688	787	584	119	155	166	13	2	0	0
HEB24113	64562	292792	437	308	341	77	110	183	9	0	0	0
HEB24116	7591	558321	897	24554	27643	56147	35244	77	6	1739	61	0
HEB24118	11409	296606	1498	22794	151625	133954	11225	8	0	1204	87	174
HEB24119	2136	519543	273	5607	1021	174	5171	359	3	15	0	0
HEB24122	232145	540089	589	446	528	126	196	1052	9	5	0	0
HEB24125	202300	419137	638	278	353	112	127	392	11	0	0	0
HEB24133	150697	279372	606	290	274	107	92	611	8	0	0	0
HEB24134	276314	324662	2141	259	337	96	82	1754	10	0	0	0
HEB24135	236675	288591	737	280	404	95	135	901	13	0	0	0
HEB24136	257884	367988	5111	617	382	114	169	1294	7	3	0	0
HEB24137	164948	389608	496	397	397	121	131	517	13	3	4	0
HEB24138	271148	383132	523	377	345	109	163	656	10	0	0	0
HEB24151	15751	1268610	1032	41104	154475	419336	50147	180	20	6176	640	0
HEB24152	26106	1423299	2094	136688	89025	141618	127402	275	13	5393	1105	229
HEB24153	30767	1210878	1508	284777	127527	136644	56696	301	23	4609	1874	98
HEB24154	64075	868081	12438	145879	22623	74601	34598	346	59	2077	34	0
HEB24155	39624	958253	4504	32333	21500	80953	36812	315	28	1937	15	0
HEB24156	55040	1235853	13114	68468	51067	75120	9225	170	34	172	11	0
HEB24169	540479	789869	1371	1059	792	221	304	1546	29	4	0	0
HEB24170	321756	1018137	1271	850	1029	273	415	3969	33	10	0	0
HEB24171	396062	614251	1199	775	655	183	252	1291	16	7	0	0
HEB24172	146505	1200041	1965	3887	1281	315	414	6558	37	13	0	0
HEB24173	463100	783542	1069	666	851	206	260	1654	17	9	0	0
HEB24174	334763	1159222	1127	665	754	228	288	2821	28	5	0	0
HEB24187	33349	719062	5837	250032	70383	68376	64213	194	12	3573	162	3
HEB24188	55702	1172550	2406	238892	51175	126495	77726	584	19	3804	485	0
HEB24189	24863	1089587	1745	128038	215264	338918	44013	442	21	3879	626	0
HEB24190	53486	1099978	3871	564113	40864	168468	40650	93	338	6801	609	0
HEB24191	10709	592369	879	359491	143965	177266	18865	92	22	2067	99	17
HEB24192	15482	773287	1346	66381	123947	214603	249028	167	67	2099	91	0
